original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Aeronautical]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. agreed to [[purchase]] a 50 percent interest in nine [[malls]] [[owned]] by [[General]] [[Motors]] Asset Management Corp. for just over \$1 [[billion]], creating a [[new]] [[joint]] [[venture]] between the [[groups]]. [[The]] [[deal]] [[will]] [[extend]] ...","Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. agreed to [[procure]] a 50 percent interest in nine [[shopping]] [[own]] by [[Universal]] [[Driver]] Asset Management Corp. for just over \$1 [[trillion]], creating a [[novel]] [[ensemble]] [[enterprise]] between the [[regrouping]]. [[Both]] [[processing]] [[volition]] [[amplify]] ...",2
"Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is [[expected]] to [[release]] a [[new]] [[version]] of its [[operating]] [[system]] today - a big [[part]] of the struggling [[computer]] maker #39;s plan to save itself.","Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is [[forecast]] to [[publicized]] a [[nuevo]] [[printouts]] of its [[operation]] [[systems]] today - a big [[percentage]] of the struggling [[equipment]] maker #39;s plan to save itself.",3
"Fed [[Cup]] all [[tied]] up FRANCE #39;[[S]] Russian-born [[Tatiana]] Golovin [[left]] the Fed [[Cup]] [[final]] hanging in the balance today as she beat Russia #39;s [[US]] [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles match.","Fed [[Football]] all [[embroiled]] up FRANCE #39;[[seconds]] Russian-born [[Natalie]] Golovin [[leaving]] the Fed [[Mug]] [[definitive]] hanging in the balance today as she beat Russia #39;s [[OUR]] [[Startup]] [[slugger]] Svetlana Kuznetsova 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles match.",1
"[[Nokia]] [[announces]] [[Near]] Field [[Communication]] [[products]] [[With]] the [[Nokia]] NFC ([[Near]] Field [[Communication]]) shell on their [[phone]], consumers will be able to access a variety of services and exchange information with a simple [[touch]] gesture.","[[Motorola]] [[advertising]] [[Neighborhood]] Field [[Disseminate]] [[commodities]] [[At]] the [[Motorola]] NFC ([[Roundabout]] Field [[Imparting]]) shell on their [[dialling]], consumers will be able to access a variety of services and exchange information with a simple [[poked]] gesture.",3
[[Today]] in [[Athens]] Leontien Zijlaard-van Moorsel of the [[Netherlands]] [[wipes]] a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #39;s road cycling [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in [[Athens]] on [[Wednesday]]. ,[[Dates]] in [[Parthenon]] Leontien Zijlaard-van Moorsel of the [[Holland]] [[swabbing]] a [[torn]] after [[conquered]] the [[oro]] [[kaleidoscope]] in the [[females]] #39;s road cycling [[alone]] [[minute]] [[courthouse]] at the Vouliagmeni [[Olimpia]] [[Stations]] in [[Acropolis]] on [[Wed]]. ,1
[[President]] [[Hu]] congratulates Sihamoni on becoming king of [[Cambodia]] [[Chinese]] [[President]] [[Hu]] Jintao sent a message to Norodom Sihamoni on [[Thursday]] to [[congratulate]] him on his [[election]] as the [[king]] of [[Cambodia]].,[[Jefe]] [[Wook]] congratulates Sihamoni on becoming king of [[Minh]] [[Wah]] [[Armchair]] [[Yoon]] Jintao sent a message to Norodom Sihamoni on [[Thu]] to [[appreciative]] him on his [[voter]] as the [[kung]] of [[Phnom]].,0
"Afghans rocky road to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] There were toothless old men, turbaned and gray-bearded, and [[young]] [[men]] not yet [[old]] enough to [[shave]]. There were mullahs and mujahedeen, and the [[presidential]] [[candidate]] #39;s 3-year-old [[son]].","Afghans rocky road to [[story]] [[selections]] KALAKAN, [[Iraqi]] There were toothless old men, turbaned and gray-bearded, and [[teen]] [[dudes]] not yet [[alumni]] enough to [[razor]]. There were mullahs and mujahedeen, and the [[preside]] [[bidders]] #39;s 3-year-old [[filho]].",0
[[Oil]] [[Prices]] Set a [[New]] Record [[Above]] \$50  SINGAPORE (Reuters) - Oil [[prices]] [[set]] a [[new]] [[record]] above \$50  a [[barrel]] on [[Tuesday]] as a prolonged U.S. [[production]] [[outage]]  following [[Hurricane]] [[Ivan]] [[attracted]] [[fresh]] speculative [[buying]].,[[Yau]] [[Expenditures]] Set a [[Updated]] Record [[Avant]] \$50  SINGAPORE (Reuters) - Oil [[primes]] [[defines]] a [[updated]] [[document]] above \$50  a [[barrels]] on [[Thu]] as a prolonged U.S. [[generates]] [[stoppage]]  following [[Thunderstorms]] [[Ioan]] [[attractiveness]] [[costa]] speculative [[pandering]].,2
Sun's Looking Glass [[Provides]] 3D [[View]] [[Developers]] get [[early]] [[code]] for new operating system 'skin' still being [[crafted]].,Sun's Looking Glass [[Entrusts]] 3D [[Belvedere]] [[Architects]] get [[vite]] [[scrambling]] for new operating system 'skin' still being [[constructed]].,3
"[[US]] suspends helicopter flights after [[Japan]] [[crash]] (AFP) AFP - The United [[States]] suspended [[flights]] of CH-53D military helicopters in [[Japan]], bowing to protests over a [[crash]] in an [[Okinawa]] university campus.","[[WE]] suspends helicopter flights after [[Nagoya]] [[collision]] (AFP) AFP - The United [[Argues]] suspended [[aviation]] of CH-53D military helicopters in [[Tokio]], bowing to protests over a [[collision]] in an [[Osaka]] university campus.",0
