"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war [[risk]] [[insurance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war [[endangering]] [[ensuring]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.29119229316711426,0.5683336853981018,2,0,2,110,"Successful"
"Mills [[Grabs]] \$1B [[Portfolio]]; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by [[General]] Motors [[Asset]] [[Management]] Corp. for just over \$1 billion, creating a new [[joint]] [[venture]] between the groups. The deal will extend ...","Mills [[Seizes]] \$1B [[Pocketbook]]; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by [[Omnibus]] Motors [[Possessions]] [[Stewardship]] Corp. for just over \$1 billion, creating a new [[communal]] [[dangers]] between the groups. The deal will extend ...",0.3376368284225464,0.6068880558013916,2,0,2,195,"Successful"
"[[Sun]] to [[shine]] [[spotlight]] on [[new]] operating [[system]], Solaris 10 [[Sun]] Microsystems SUNW is [[expected]] to release a [[new]] [[version]] of its operating system [[today]] - a [[big]] [[part]] of the struggling [[computer]] [[maker]] #39;s plan to [[save]] itself.","[[Soils]] to [[glimmering]] [[attention]] on [[recent]] operating [[diets]], Solaris 10 [[Daylight]] Microsystems SUNW is [[projected]] to release a [[novo]] [[print]] of its operating system [[underway]] - a [[sizable]] [[portion]] of the struggling [[pcs]] [[creator]] #39;s plan to [[salvage]] itself.",0.3324791193008423,0.3686336278915405,3,3,3,593,"Failed"
"Fed [[Cup]] all [[tied]] up FRANCE #39;[[S]] Russian-born [[Tatiana]] Golovin [[left]] the Fed [[Cup]] [[final]] [[hanging]] in the [[balance]] [[today]] as she [[beat]] [[Russia]] #39;s [[US]] Open champion Svetlana Kuznetsova 6-4, 6-1 to [[level]] the tie at 2-2 and take it to the final doubles match.","Fed [[Football]] all [[entangled]] up FRANCE #39;[[r]] Russian-born [[Galina]] Golovin [[departs]] the Fed [[Cutting]] [[definitive]] [[discontinued]] in the [[balances]] [[mondays]] as she [[topped]] [[Russo]] #39;s [[V]] Open champion Svetlana Kuznetsova 6-4, 6-1 to [[grades]] the tie at 2-2 and take it to the final doubles match.",0.16281884908676147,0.5906469821929932,1,2,1,374,"Successful"
"[[Nokia]] [[announces]] [[Near]] [[Field]] [[Communication]] [[products]] [[With]] the [[Nokia]] NFC ([[Near]] [[Field]] [[Communication]]) [[shell]] on their [[phone]], consumers [[will]] [[be]] [[able]] to [[access]] a [[variety]] of [[services]] and [[exchange]] [[information]] with a [[simple]] [[touch]] [[gesture]].","[[Motorola]] [[announced]] [[Neighbourhood]] [[Zone]] [[Notifications]] [[belongings]] [[Per]] the [[Iphone]] NFC ([[About]] [[Area]] [[Notification]]) [[bombings]] on their [[mobiles]], consumers [[desiring]] [[sunt]] [[incompetent]] to [[accesses]] a [[respective]] of [[service]] and [[dividing]] [[indications]] with a [[mere]] [[impacted]] [[posturing]].",0.3045305609703064,0.3718879818916321,3,3,3,703,"Failed"
"[[Today]] in [[Athens]] Leontien Zijlaard-van Moorsel of the Netherlands [[wipes]] a tear after [[winning]] the [[gold]] [[medal]] in the [[women]] #39;s road cycling [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in Athens on Wednesday. ","[[Sunday]] in [[Greece]] Leontien Zijlaard-van Moorsel of the Netherlands [[swabbing]] a tear after [[succeeded]] the [[oro]] [[medallion]] in the [[hoochie]] #39;s road cycling [[alone]] [[temps]] [[courthouse]] at the Vouliagmeni [[Olympus]] [[Stations]] in Athens on Wednesday. ",0.13710230588912964,0.7028401494026184,1,0,1,341,"Successful"
"[[President]] [[Hu]] congratulates Sihamoni on becoming [[king]] of [[Cambodia]] [[Chinese]] President [[Hu]] Jintao [[sent]] a message to Norodom Sihamoni on Thursday to [[congratulate]] him on his [[election]] as the king of [[Cambodia]].","[[Chairmanship]] [[Ryu]] congratulates Sihamoni on becoming [[rey]] of [[Phnom]] [[Rmb]] President [[Rhee]] Jintao [[expedition]] a message to Norodom Sihamoni on Thursday to [[rejoice]] him on his [[constituents]] as the king of [[Phnom]].",0.20218151807785034,0.8359047770500183,0,2,0,348,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.9033666253089905,0.9033666253089905,2,2,3,1,"Skipped"
"Afghans [[rocky]] [[road]] to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] There were [[toothless]] [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not yet [[old]] enough to [[shave]]. There were mullahs and mujahedeen, and the [[presidential]] [[candidate]] #39;s 3-year-old son.","Afghans [[rocko]] [[footpath]] to [[yesteryear]] [[selection]] KALAKAN, [[Taliban]] There were [[incompetent]] [[senior]] [[dude]], turbaned and gray-bearded, and [[jr]] [[lads]] not yet [[alumni]] enough to [[bearded]]. There were mullahs and mujahedeen, and the [[preside]] [[hopefuls]] #39;s 3-year-old son.",0.1946616768836975,0.5829879641532898,0,1,0,384,"Successful"
"[[Oil]] Prices Set a New Record Above \$50  SINGAPORE ([[Reuters]]) - [[Oil]] prices [[set]] a new record above \$50  a barrel on [[Tuesday]] as a [[prolonged]] [[U]].[[S]]. [[production]] [[outage]]  [[following]] [[Hurricane]] [[Ivan]] [[attracted]] [[fresh]] speculative buying.","[[Petrol]] Prices Set a New Record Above \$50  SINGAPORE ([[Newsday]]) - [[Petrol]] prices [[establishing]] a new record above \$50  a barrel on [[Nowadays]] as a [[elongated]] [[yu]].[[p]]. [[industrialists]] [[intermission]]  [[aftermath]] [[Storms]] [[Whitehall]] [[ignited]] [[fresco]] speculative buying.",0.2833949327468872,0.5607270002365112,2,0,2,365,"Successful"
