original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[security]] SINGAPORE : The government is extending third-party war risk [[assurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[air]] group.",2
"Viacom, Disney pay \$1.5M FCC fine [[Disney]] and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable [[television]] networks violated advertising restrictions, the FCC said Thursday.","Viacom, Disney pay \$1.5M FCC fine [[online]] and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable [[broadband]] networks violated advertising restrictions, the FCC said Thursday.",2
"Annan Starts Reshuffling UN Staff for Reform Push (Reuters) Reuters - U.N. [[Secretary-General]] Kofi\Annan on Monday chose the high-profile British head of a key\agency as his new chief of staff, the start of a [[reshuffle]]\aimed at instituting [[U]].N. reforms and combating scandals.","Annan Starts Reshuffling UN Staff for Reform Push (Reuters) Reuters - U.N. [[editor]] Kofi\Annan on Monday chose the high-profile British head of a key\agency as his new chief of staff, the start of a [[company]]\aimed at instituting [[e]].N. reforms and combating scandals.",0
PeopleSoft customers reassured Oracle [[Corp]]. President Charles Phillips on Monday said PeopleSoft Inc. customers have become more comfortable with the prospect of a [[merger]] between the two software firms even as the proposed transaction awaits a critical ruling from a Delaware court.,PeopleSoft customers reassured Oracle [[ms]]. President Charles Phillips on Monday said PeopleSoft Inc. customers have become more comfortable with the prospect of a [[merging]] between the two software firms even as the proposed transaction awaits a critical ruling from a Delaware court.,2
"SICK KIDS VS. DISNEY IN  #39;PETER PAN #39; DUSTUP It #39;s a story that would make Peter Pan glad that he never grew up. Walt Disney [[Co]]. is caught in a feud with a UK children #39;s hospital over the copyright to JM Barrie #39;s classic novel,  quot;Peter Pan.","SICK KIDS VS. DISNEY IN  #39;PETER PAN #39; DUSTUP It #39;s a story that would make Peter Pan glad that he never grew up. Walt Disney [[company]]. is caught in a feud with a UK children #39;s hospital over the copyright to JM Barrie #39;s classic novel,  quot;Peter Pan.",2
Movie Studios to Sue Illegal [[Film-File]] Traders Movie studios and the Motion Picture Association of America said on Thursday they would sue individuals suspected of illegally distributing movies over the [[Internet]].,Movie Studios to Sue Illegal [[way]] Traders Movie studios and the Motion Picture Association of America said on Thursday they would sue individuals suspected of illegally distributing movies over the [[day]].,3
"[[Profit]] Plunges at International Game Tech International Game Technology, the world #39;s biggest maker of slot machines, Tuesday said said [[profit]] for its latest quarter fell 50 percent from a year ago due to a charge for early redemption of debt and a tax adjustment.","[[news]] Plunges at International Game Tech International Game Technology, the world #39;s biggest maker of slot machines, Tuesday said said [[profits]] for its latest quarter fell 50 percent from a year ago due to a charge for early redemption of debt and a tax adjustment.",2
"Florida weather may help Israeli citrus [[industry]] [[As]] sunshine state licks its wounds from Hurricane Frances, Gan Shmuel [[could]] [[reap]] the benefits. The most important news for Florida #39;s 2.8 million residents this [[week]] has not been from the Republican ","Florida weather may help Israeli citrus [[s]] [[though]] sunshine state licks its wounds from Hurricane Frances, Gan Shmuel [[shall]] [[suffer]] the benefits. The most important news for Florida #39;s 2.8 million residents this [[morning]] has not been from the Republican ",2
"Sudan to attract most ICRC funds in 2005, 30-percent [[drop]] in cash for Iraq (AFP) AFP - Strife-torn [[Sudan]] will become the largest focus of aid work for the International [[Committee]] of the Red Cross in 2005, while money earmarked for Iraq will [[fall]] by [[almost]] one third, the agency said.","Sudan to attract most ICRC funds in 2005, 30-percent [[investment]] in cash for Iraq (AFP) AFP - Strife-torn [[uganda]] will become the largest focus of aid work for the International [[board]] of the Red Cross in 2005, while money earmarked for Iraq will [[lower]] by [[nearly]] one third, the agency said.",0
"Maid sues Sony Pictures exec [[p2pnet]].net News- James Jackson, vp of legal affairs for Sony Pictures Entertainment, filed for bankruptcy protection just days before a lawsuit accusing him and his wife of involuntary servitude, false imprisonment, invasion of privacy, negligence and ","Maid sues Sony Pictures exec [[dit]].net News- James Jackson, vp of legal affairs for Sony Pictures Entertainment, filed for bankruptcy protection just days before a lawsuit accusing him and his wife of involuntary servitude, false imprisonment, invasion of privacy, negligence and ",3
Atlas Copco to Sell [[Electric]] Tool Business Swedish engineering company Atlas Copco said Monday it will sell its [[electric]] tool business to Hong Kong-based Techtronic Industries Co.,Atlas Copco to Sell [[generation]] Tool Business Swedish engineering company Atlas Copco said Monday it will sell its [[powered]] tool business to Hong Kong-based Techtronic Industries Co.,2
"Citrix buying VPN company [[Net6]] for \$50 million BOSTON - Citrix Systems is buying Net6, a [[privately-held]] maker of SSL (Secure Socket Layer) VPN ([[Virtual]] Private [[Network]]) technology, for \$50 million cash, Citrix said Tuesday.","Citrix buying VPN company [[stock]] for \$50 million BOSTON - Citrix Systems is buying Net6, a [[retail]] maker of SSL (Secure Socket Layer) VPN ([[wire]] Private [[addressing]]) technology, for \$50 million cash, Citrix said Tuesday.",3
"Techs lead gains on Wall Street [[Shares]] surged on Wall [[Street]] on Friday night, pushing the Dow over 100 points higher, as tech [[stocks]] rallied and drug giant Merck staged a 1 per cent rebound following its 26 per cent fall on Thursday.","Techs lead gains on Wall Street [[were]] surged on Wall [[st]] on Friday night, pushing the Dow over 100 points higher, as tech [[s]] rallied and drug giant Merck staged a 1 per cent rebound following its 26 per cent fall on Thursday.",2
"Lawyers In the Limelight By all appearances, Steven Woghin was a lawyer at the top of his game. After years in government service, the former Justice Department attorney had worked his way up to a comfortable six-figure [[salary]] and the chief legal job at software maker Computer Associates International [[Inc]].","Lawyers In the Limelight By all appearances, Steven Woghin was a lawyer at the top of his game. After years in government service, the former Justice Department attorney had worked his way up to a comfortable six-figure [[earning]] and the chief legal job at software maker Computer Associates International [[incorporated]].",2
"Fischer's Fiancee: Marriage Plans Genuine (AP) AP - Former [[chess]] champion Bobby Fischer's announcement thathe is engaged to a Japanese woman could win him sympathy among Japanese officials and help him avoid [[deportation]] to the United States, his fiancee and one of his supporters said Tuesday.","Fischer's Fiancee: Marriage Plans Genuine (AP) AP - Former [[grandmaster]] champion Bobby Fischer's announcement thathe is engaged to a Japanese woman could win him sympathy among Japanese officials and help him avoid [[emigration]] to the United States, his fiancee and one of his supporters said Tuesday.",0
"Mobile phone  #39;[[deafness]] #39; risk [[p2pnet]].[[net]] News:- Defects in Siemens 65 series mobile [[phones]] could cause deafness, says the company.  quot;In extreme cases, this volume could lead to hearing damage.","Mobile phone  #39;[[wire]] #39; risk [[estimate]].[[financial]] News:- Defects in Siemens 65 series mobile [[wire]] could cause deafness, says the company.  quot;In extreme cases, this volume could lead to hearing damage.",3
