original_text,perturbed_text,label
"Singapore govt extends third-party war [[risk]] insurance SINGAPORE : The government is extending third-party war [[risk]] [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war [[damage]] insurance SINGAPORE : The government is extending third-party war [[risking]] [[assurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[air]] group.",2
"Viacom, Disney pay \$1.5M FCC fine [[Disney]] and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s [[cable]] [[television]] networks violated advertising restrictions, the FCC [[said]] Thursday.","Viacom, Disney pay \$1.5M FCC fine [[online]] and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s [[tv]] [[based]] networks violated advertising restrictions, the FCC [[observed]] Thursday.",2
"Alamosa Offers to Buy AirGate (Reuters) [[Reuters]] - Alamosa Holdings Inc.  said\on Monday it made an unsolicited bid for AirGate PCS Inc.\ worth about  #36;380 million, which would create one of\the largest sellers of wireless telephone service under the\Sprint  brand.","Alamosa Offers to Buy AirGate (Reuters) [[reuters]] - Alamosa Holdings Inc.  said\on Monday it made an unsolicited bid for AirGate PCS Inc.\ worth about  #36;380 million, which would create one of\the largest sellers of wireless telephone service under the\Sprint  brand.",3
"[[ESPN]].[[com]] news services Six months [[ago]], Scottie Pippen [[issued]] a  quot;This is probably it for me quot; declaration, that last season was looking more and more like his last in an NBA uniform.","[[deadline]].[[internet]] news services Six months [[back]], Scottie Pippen [[posted]] a  quot;This is probably it for me quot; declaration, that last season was looking more and more like his last in an NBA uniform.",1
"Veterans Committee counts for little The Hall of [[Fame]] released the latest Veterans Committee ballot yesterday. As you might (or might not) remember, there #39;s a (nearly) new committee in town.","Veterans Committee counts for little The Hall of [[fame]] released the latest Veterans Committee ballot yesterday. As you might (or might not) remember, there #39;s a (nearly) new committee in town.",1
PeopleSoft customers reassured Oracle [[Corp]]. President Charles Phillips on [[Monday]] said PeopleSoft Inc. customers have become more [[comfortable]] with the prospect of a merger between the two software firms even as the proposed transaction awaits a critical ruling from a Delaware [[court]].,PeopleSoft customers reassured Oracle [[corp]]. President Charles Phillips on [[amazon]] said PeopleSoft Inc. customers have become more [[preoccupied]] with the prospect of a merger between the two software firms even as the proposed transaction awaits a critical ruling from a Delaware [[jurist]].,2
Movie Studios to Sue Illegal [[Film-File]] Traders Movie studios and the Motion Picture Association of America said on Thursday they would sue individuals suspected of illegally distributing movies over the [[Internet]].,Movie Studios to Sue Illegal [[stock]] Traders Movie studios and the Motion Picture Association of America said on Thursday they would sue individuals suspected of illegally distributing movies over the [[day]].,3
"ATA: [[Customers]] Won #39;t Be Affected By Bankruptcy INDIANAPOLIS -- [[ATA]] says it will honor all tickets and [[maintain]] its full schedule, after filing for Chapter 11 bankruptcy Tuesday.","ATA: [[p]] Won #39;t Be Affected By Bankruptcy INDIANAPOLIS -- [[pa]] says it will honor all tickets and [[retain]] its full schedule, after filing for Chapter 11 bankruptcy Tuesday.",2
[[Shares]] of Video Game Makers Rise Sharply Shares of video game makers rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.,[[shares]] of Video Game Makers Rise Sharply Shares of video game makers rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.,2
"Florida weather may help Israeli [[citrus]] industry As sunshine state licks its wounds from Hurricane Frances, Gan Shmuel could reap the benefits. The most important news for Florida #39;s 2.8 million residents this week has not been from the Republican ","Florida weather may help Israeli [[business]] industry As sunshine state licks its wounds from Hurricane Frances, Gan Shmuel could reap the benefits. The most important news for Florida #39;s 2.8 million residents this week has not been from the Republican ",2
