original_text,perturbed_text,label
"Alamosa Offers to Buy AirGate (Reuters) [[Reuters]] - Alamosa Holdings Inc.  said\on Monday it made an unsolicited bid for AirGate PCS Inc.\ worth about  #36;380 million, which would create one of\the largest sellers of wireless telephone [[service]] under the\Sprint  brand.","Alamosa Offers to Buy AirGate (Reuters) [[news]] - Alamosa Holdings Inc.  said\on Monday it made an unsolicited bid for AirGate PCS Inc.\ worth about  #36;380 million, which would create one of\the largest sellers of wireless telephone [[company]] under the\Sprint  brand.",3
"Annan Starts [[Reshuffling]] UN Staff for Reform Push (Reuters) Reuters - U.N. [[Secretary-General]] [[Kofi]]\[[Annan]] on Monday chose the high-profile British head of a key\agency as his [[new]] [[chief]] of staff, the start of a reshuffle\aimed at instituting U.N. reforms and combating scandals.","Annan Starts [[being]] UN Staff for Reform Push (Reuters) Reuters - U.N. [[online]] [[twitter]]\[[business]] on Monday chose the high-profile British head of a key\agency as his [[newest]] [[head]] of staff, the start of a reshuffle\aimed at instituting U.N. reforms and combating scandals.",0
"Cloud rat arrives at [[London]] Zoo London zoo celebrates the birth of a Panay cloud rat, a very rare [[tree-living]] rodent from the Philippines.","Cloud rat arrives at [[bombay]] Zoo London zoo celebrates the birth of a Panay cloud rat, a very rare [[exotic]] rodent from the Philippines.",3
"SBC links e-mail, voice messages, fax [[SBC]] on Monday announced a new service that integrates voice messages, faxes and e-mails into a single mailbox that can be accessed from anywhere by phone or the Internet.","SBC links e-mail, voice messages, fax [[people]] on Monday announced a new service that integrates voice messages, faxes and e-mails into a single mailbox that can be accessed from anywhere by phone or the Internet.",2
"Veterans Committee counts for little The Hall of [[Fame]] released the latest Veterans Committee ballot yesterday. As you might (or might not) remember, there #39;s a (nearly) new committee in town.","Veterans Committee counts for little The Hall of [[remember]] released the latest Veterans Committee ballot yesterday. As you might (or might not) remember, there #39;s a (nearly) new committee in town.",1
PeopleSoft customers reassured Oracle Corp. President Charles Phillips on Monday [[said]] PeopleSoft Inc. customers have become more comfortable with the prospect of a merger between the two software firms even as the proposed transaction awaits a critical ruling from a Delaware court.,PeopleSoft customers reassured Oracle Corp. President Charles Phillips on Monday [[say]] PeopleSoft Inc. customers have become more comfortable with the prospect of a merger between the two software firms even as the proposed transaction awaits a critical ruling from a Delaware court.,2
"Oil Edges Down, Microsoft Boosts Techs  NEW [[YORK]] (Reuters) - Oil [[prices]] touched 2-month lows near  \$45 a barrel on [[Monday]] before taking back most of their losses,  but the downward trend knocked energy company [[stocks]] lower and  U.S. stock indexes ended little [[changed]]. [[A]] [[rise]] in Microsoft  shares helped boost the technology [[sector]].","Oil Edges Down, Microsoft Boosts Techs  NEW [[times]] (Reuters) - Oil [[price]] touched 2-month lows near  \$45 a barrel on [[weekdays]] before taking back most of their losses,  but the downward trend knocked energy company [[earnings]] lower and  U.S. stock indexes ended little [[bit]]. [[continued]] [[increase]] in Microsoft  shares helped boost the technology [[coverage]].",2
Movie Studios to Sue Illegal Film-File Traders Movie studios and the Motion Picture Association of America said on Thursday they would sue individuals suspected of illegally distributing movies over the [[Internet]].,Movie Studios to Sue Illegal Film-File Traders Movie studios and the Motion Picture Association of America said on Thursday they would sue individuals suspected of illegally distributing movies over the [[world]].,3
"ATA: Customers Won #39;t Be [[Affected]] [[By]] Bankruptcy INDIANAPOLIS -- [[ATA]] says it will honor all tickets and maintain its [[full]] schedule, after filing for Chapter 11 bankruptcy [[Tuesday]].","ATA: Customers Won #39;t Be [[affected]] [[via]] Bankruptcy INDIANAPOLIS -- [[is]] says it will honor all tickets and maintain its [[active]] schedule, after filing for Chapter 11 bankruptcy [[check]].",2
9:22 am: Missing explosives have experts wondering what else is &[[lt]];[[b]]&[[gt]];...&lt;/[[b]]&[[gt]]; Revelations that nearly 400 tons of conventional explosives have gone [[missing]] in Iraq have experts wondering what other weapons might be in jeopardy of falling into insurgent or terrorist hands.,9:22 am: Missing explosives have experts wondering what else is &[[x]];[[rf]]&[[os]];...&lt;/[[re]]&[[os]]; Revelations that nearly 400 tons of conventional explosives have gone [[left]] in Iraq have experts wondering what other weapons might be in jeopardy of falling into insurgent or terrorist hands.,0
"PeopleSoft CEO [[Ousted]] for  #39;Situational Ethics #39; [[AccountingWEB]].com - October 06, 2004 - [[The]] opening of a trial related to Oracle #39;s takeover bid of [[PeopleSoft]] featured the revelation that CEO Craig Conway was fired last week for making misleading statements about [[PeopleSoft]] #39;s sales.","PeopleSoft CEO [[p]] for  #39;Situational Ethics #39; [[space]].com - October 06, 2004 - [[this]] opening of a trial related to Oracle #39;s takeover bid of [[company]] featured the revelation that CEO Craig Conway was fired last week for making misleading statements about [[software]] #39;s sales.",2
"Cable   Wireless to [[Cut]] 600 Jobs  [[LONDON]] (Reuters) - Britain's Cable   Wireless posted its  first net [[profit]] in over 3 years and announced plans to cut 600  jobs and return cash to investors, sending the telecom  company's shares racing to 5-month highs on Wednesday.","Cable   Wireless to [[cut]] 600 Jobs  [[online]] (Reuters) - Britain's Cable   Wireless posted its  first net [[gains]] in over 3 years and announced plans to cut 600  jobs and return cash to investors, sending the telecom  company's shares racing to 5-month highs on Wednesday.",2
"Florida weather may help Israeli citrus industry [[As]] sunshine [[state]] licks its wounds from Hurricane Frances, Gan Shmuel could reap the [[benefits]]. The most important news for Florida #39;s 2.8 million residents this week has not been from the Republican ","Florida weather may help Israeli citrus industry [[like]] sunshine [[rays]] licks its wounds from Hurricane Frances, Gan Shmuel could reap the [[result]]. The most important news for Florida #39;s 2.8 million residents this week has not been from the Republican ",2
"[[Same-sex]] divorce rules still hazy Now that an Ontario couple has been given Canada #39;s first [[same-sex]] divorce, experts are divided over just how easy it will be for gays and lesbians in other provinces to end their marriages.","[[american]] divorce rules still hazy Now that an Ontario couple has been given Canada #39;s first [[proper]] divorce, experts are divided over just how easy it will be for gays and lesbians in other provinces to end their marriages.",0
Hurricane Frances Nears NE [[Caribbean]] (AP) [[AP]] - Hurricane Frances strengthened as it [[churned]] near islands of the northeastern Caribbean with ferocious winds expected to graze Puerto Rico on [[Tuesday]] before the storm plows on toward the Bahamas and the southeastern United States.,Hurricane Frances Nears NE [[i]] (AP) [[track]] - Hurricane Frances strengthened as it [[proceeded]] near islands of the northeastern Caribbean with ferocious winds expected to graze Puerto Rico on [[display]] before the storm plows on toward the Bahamas and the southeastern United States.,0
