"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The [[government]] is extending third-party war [[risk]] insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines [[group]].","Singapore govt extends third-party war risk [[policy]] SINGAPORE : The [[politics]] is extending third-party war [[danger]] insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines [[radical]].",0.012731730937957764,0.7565891146659851,2,0,2,193,"Successful"
"[[Mills]] [[Grabs]] \$1B Portfolio; Taubman Likely to [[Lose]] [[Contracts]] [[Mills]] Corp. [[agreed]] to purchase a 50 percent interest in nine malls [[owned]] by [[General]] Motors Asset [[Management]] Corp. for just over \$[[1]] [[billion]], [[creating]] a new joint [[venture]] between the [[groups]]. The [[deal]] will [[extend]] ...","[[factory]] [[seize]] \$1B Portfolio; Taubman Likely to [[suffer]] [[sign]] [[grind]] Corp. [[correspond]] to purchase a 50 percent interest in nine malls [[have]] by [[world-wide]] Motors Asset [[direction]] Corp. for just over \$[[single]] [[million]], [[make]] a new joint [[speculation]] between the [[group]]. The [[bargain]] will [[unfold]] ...",0.002469480037689209,0.0059125423431396484,2,2,2,494,"Failed"
"[[Fed]] [[Cup]] all [[tied]] up FRANCE #[[39]];S Russian-born Tatiana Golovin [[left]] the [[Fed]] [[Cup]] final [[hanging]] in the [[balance]] today as she [[beat]] [[Russia]] #[[39]];s US [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to [[level]] the [[tie]] at 2-2 and [[take]] it to the final [[doubles]] [[match]].","[[flow]] [[transfuse]] all [[bond]] up FRANCE #[[thirty-nine]];S Russian-born Tatiana Golovin [[impart]] the [[fertilize]] [[transfuse]] final [[advert]] in the [[counterbalance]] today as she [[mystify]] [[USSR]] #[[thirty-nine]];s US [[afford]] [[prizewinning]] Svetlana Kuznetsova 6-4, 6-1 to [[charge]] the [[bond]] at 2-2 and [[payoff]] it to the final [[image]] [[equate]].",0.0008314847946166992,0.9994077086448669,1,2,1,732,"Successful"
"Nokia [[announces]] [[Near]] [[Field]] Communication [[products]] With the Nokia NFC ([[Near]] [[Field]] Communication) [[shell]] on their [[phone]], consumers will be [[able]] to [[access]] a [[variety]] of services and [[exchange]] [[information]] with a [[simple]] [[touch]] [[gesture]].","Nokia [[harbinger]] [[penny-pinching]] [[bailiwick]] Communication [[production]] With the Nokia NFC ([[nearly]] [[bailiwick]] Communication) [[case]] on their [[call]], consumers will be [[able-bodied]] to [[admission]] a [[diverseness]] of services and [[rally]] [[data]] with a [[elementary]] [[concern]] [[motion]].",0.008052408695220947,0.33184564113616943,3,3,3,417,"Failed"
"[[Sun]] to shine [[spotlight]] on [[new]] [[operating]] system, Solaris [[10]] Sun Microsystems SUNW is [[expected]] to [[release]] a new [[version]] of its operating [[system]] today - a [[big]] [[part]] of the struggling computer [[maker]] #39;s plan to [[save]] itself.","[[Dominicus]] to shine [[foreground]] on [[fresh]] [[maneuver]] system, Solaris [[tenner]] Sun Microsystems SUNW is [[wait]] to [[loss]] a new [[variation]] of its operating [[organization]] today - a [[liberal]] [[divide]] of the struggling computer [[manufacturer]] #39;s plan to [[economize]] itself.",0.010750412940979004,0.5068703889846802,3,2,3,469,"Successful"
"[[President]] Hu congratulates Sihamoni on becoming [[king]] of Cambodia Chinese [[President]] Hu Jintao sent a message to Norodom Sihamoni on [[Thursday]] to congratulate him on his election as the [[king]] of Cambodia.","[[prexy]] Hu congratulates Sihamoni on becoming [[mogul]] of Cambodia Chinese [[chair]] Hu Jintao sent a message to Norodom Sihamoni on [[Th]] to congratulate him on his election as the [[mogul]] of Cambodia.",0.0015633702278137207,0.7477615475654602,0,2,0,125,"Successful"
"[[Today]] in [[Athens]] Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #[[39]];s road [[cycling]] [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in [[Athens]] on [[Wednesday]]. ","[[nowadays]] in [[Athinai]] Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[rent]] after [[acquire]] the [[gilded]] [[decoration]] in the [[char]] #[[ixl]];s road [[motorbike]] [[mortal]] [[clock]] [[visitation]] at the Vouliagmeni [[Olympian]] [[sum]] in [[Athinai]] on [[Wed]]. ",0.0008934140205383301,0.9062961339950562,1,3,1,230,"Successful"
"[[Afghans]] [[rocky]] [[road]] to [[historic]] elections KALAKAN, Afghanistan There were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not [[yet]] [[old]] enough to shave. There were mullahs and mujahedeen, and the presidential [[candidate]] #[[39]];s 3-year-old [[son]].","[[Paxto]] [[bouldered]] [[route]] to [[historical]] elections KALAKAN, Afghanistan There were toothless [[one-time]] [[humans]], turbaned and gray-bearded, and [[offspring]] [[mankind]] not [[however]] [[sometime]] enough to shave. There were mullahs and mujahedeen, and the presidential [[prospect]] #[[ixl]];s 3-year-old [[Logos]].",0.0006858110427856445,0.5434924960136414,0,3,0,255,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.7401055097579956,0.7401055097579956,2,2,3,1,"Skipped"
"Sun's [[Looking]] Glass [[Provides]] 3D [[View]] Developers [[get]] [[early]] code for [[new]] [[operating]] system 'skin' [[still]] being crafted.","Sun's [[search]] Glass [[offer]] 3D [[consider]] Developers [[become]] [[other]] code for [[fresh]] [[work]] system 'skin' [[allay]] being crafted.",0.028189480304718018,0.06880837678909302,3,3,3,403,"Failed"
