"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[insuarnce]] SINGAPORE : The government is extending third-party war risk [[insuranec]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Aiflines]] group.",0.2762451767921448,0.8577015399932861,2,0,2,40,"Successful"
"[[Mills]] [[Grabs]] \$[[1B]] [[Portfolio]]; Taubman [[Likely]] to [[Lose]] [[Contracts]] [[Mills]] [[Corp]]. [[agreed]] to [[purchase]] a 50 [[percent]] [[interest]] in [[nine]] [[malls]] owned by General [[Motors]] Asset Management [[Corp]]. for just over \$1 [[billion]], creating a [[new]] [[joint]] venture between the groups. The [[deal]] will extend ...","[[Milljs]] [[Gaabs]] \$[[1tB]] [[Porvtfolio]]; Taubman [[Libkely]] to [[Lfse]] [[ContracQs]] [[Mpills]] [[CorE]]. [[agered]] to [[purchfase]] a 50 [[percetn]] [[interesb]] in [[nne]] [[malfs]] owned by General [[Motosr]] Asset Management [[Crop]]. for just over \$1 [[ibllion]], creating a [[neQ]] [[joitn]] venture between the groups. The [[eal]] will extend ...",0.27719563245773315,0.8908138275146484,2,3,2,148,"Successful"
"[[Sun]] to shine spotlight on [[new]] operating system, [[Solaris]] 10 [[Sun]] [[Microsystems]] [[SUNW]] is expected to release a new version of its operating system today - a big part of the struggling [[computer]] maker #[[39]];s [[plan]] to save itself.","[[dun]] to shine spotlight on [[jew]] operating system, [[oSlaris]] 10 [[Su]] [[MicrosysteTms]] [[SUEW]] is expected to release a new version of its operating system today - a big part of the struggling [[comYuter]] maker #[[93]];s [[lpan]] to save itself.",0.21664756536483765,0.24315816164016724,3,3,3,131,"Failed"
"[[Fed]] Cup all tied up FRANCE #[[39]];S Russian-born Tatiana [[Golovin]] left the [[Fed]] [[Cup]] [[final]] hanging in the balance today as she beat Russia #[[39]];s [[US]] Open champion Svetlana [[Kuznetsova]] [[6-4]], [[6-1]] to level the tie at 2-2 and take it to the final doubles match.","[[Fde]] Cup all tied up FRANCE #[[93]];S Russian-born Tatiana [[Golotvin]] left the [[eFd]] [[sCup]] [[finla]] hanging in the balance today as she beat Russia #[[93]];s [[U]] Open champion Svetlana [[Kuzntsova]] [[6-g]], [[61]] to level the tie at 2-2 and take it to the final doubles match.",0.3785064220428467,0.41712725162506104,1,1,1,162,"Failed"
"[[Nokia]] [[announces]] Near [[Field]] Communication products With the [[Nokia]] [[NFC]] (Near [[Field]] Communication) [[shell]] on their [[phone]], [[consumers]] will be [[able]] to [[access]] a variety of [[services]] and exchange [[information]] with a simple [[touch]] gesture.","[[NokiD]] [[annoutces]] Near [[Fdeld]] Communication products With the [[Nokpa]] [[FC]] (Near [[Fiel]] Communication) [[shlel]] on their [[hone]], [[consumuers]] will be [[albe]] to [[accIess]] a variety of [[serviecs]] and exchange [[informaion]] with a simple [[Stouch]] gesture.",0.21920883655548096,0.8054810762405396,3,1,3,120,"Successful"
"Today in Athens [[Leontien]] [[Zijlaard-van]] [[Moorsel]] of the [[Netherlands]] [[wipes]] a [[tear]] after winning the gold [[medal]] in the women #[[39]];s [[road]] [[cycling]] [[individual]] [[time]] [[trial]] at the [[Vouliagmeni]] [[Olympic]] Centre in Athens on Wednesday. ","Today in Athens [[Loentien]] [[Zijlaardvan]] [[MoorRsel]] of the [[Netzerlands]] [[wWpes]] a [[year]] after winning the gold [[mdal]] in the women #[[93]];s [[rad]] [[cyyling]] [[intividual]] [[tifme]] [[tjrial]] at the [[Vuliagmeni]] [[Olumpic]] Centre in Athens on Wednesday. ",0.37698572874069214,0.4225175380706787,1,1,1,116,"Failed"
"[[President]] [[Hu]] [[congratulates]] Sihamoni on [[becoming]] [[king]] of [[Cambodia]] [[Chinese]] [[President]] [[Hu]] Jintao [[sent]] a [[message]] to [[Norodom]] Sihamoni on Thursday to congratulate him on his [[election]] as the [[king]] of [[Cambodia]].","[[PreOident]] [[uH]] [[congratulatges]] Sihamoni on [[becwming]] [[bing]] of [[Cabodia]] [[ChinesD]] [[Presidet]] [[H]] Jintao [[Usent]] a [[messae]] to [[Noordom]] Sihamoni on Thursday to congratulate him on his [[eletcion]] as the [[xking]] of [[CRmbodia]].",0.3016444444656372,0.7447828650474548,0,3,0,84,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.85254967212677,0.85254967212677,2,2,3,1,"Skipped"
"Afghans rocky road to historic elections KALAKAN, Afghanistan [[There]] were [[toothless]] [[old]] [[men]], [[turbaned]] and gray-bearded, and young [[men]] not yet [[old]] enough to [[shave]]. [[There]] were [[mullahs]] and [[mujahedeen]], and the [[presidential]] [[candidate]] #[[39]];s 3-year-old son.","Afghans rocky road to historic elections KALAKAN, Afghanistan [[here]] were [[toothLess]] [[ol]] [[en]], [[turbane]] and gray-bearded, and young [[me]] not yet [[ol]] enough to [[shane]]. [[here]] were [[mlulahs]] and [[mujaheeden]], and the [[presdential]] [[andidate]] #[[9]];s 3-year-old son.",0.30201250314712524,0.32879191637039185,0,0,0,134,"Failed"
"[[Oil]] [[Prices]] [[Set]] a [[New]] Record Above \$[[50]]  [[SINGAPORE]] ([[Reuters]]) - Oil [[prices]] [[set]] a [[new]] record above \$[[50]]  a [[barrel]] on [[Tuesday]] as a [[prolonged]] U.S. production [[outage]]  following [[Hurricane]] [[Ivan]] [[attracted]] [[fresh]] [[speculative]] [[buying]].","[[iOl]] [[PriIces]] [[eSt]] a [[Ne]] Record Above \$[[5]]  [[SINSGAPORE]] ([[eRuters]]) - Oil [[pMices]] [[est]] a [[neG]] record above \$[[05]]  a [[barre]] on [[Tuesdy]] as a [[prologned]] U.S. production [[utage]]  following [[HurrFcane]] [[van]] [[attracRted]] [[frehs]] [[spRculative]] [[uying]].",0.26649755239486694,0.8371086120605469,2,3,2,133,"Successful"
"[[Sun's]] Looking [[Glass]] [[Provides]] [[3D]] View Developers [[get]] [[early]] [[code]] for new [[operating]] [[system]] '[[skin']] [[still]] being [[crafted]].","[[un's]] Looking [[Gass]] [[ProviWes]] [[3]] View Developers [[ge]] [[Aarly]] [[coxde]] for new [[Boperating]] [[sysbem]] '[[ski']] [[tsill]] being [[crofted]].",0.22008997201919556,0.33815842866897583,3,3,3,79,"Failed"
