"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Helicopter]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Flight]] group.",0.321449339389801,0.5754300355911255,2,0,2,107,"Successful"
"[[Mills]] [[Grabs]] \$1B [[Portfolio]]; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, [[creating]] a [[new]] [[joint]] venture between the groups. The [[deal]] will extend ...","[[Installations]] [[Catches]] \$1B [[Wallet]]; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, [[constructions]] a [[newest]] [[mutual]] venture between the groups. The [[face]] will extend ...",0.2582966089248657,0.8643985390663147,2,3,2,294,"Successful"
"[[Sun]] to shine spotlight on [[new]] operating [[system]], Solaris 10 [[Sun]] Microsystems SUNW is expected to [[release]] a new [[version]] of its operating system [[today]] - a big part of the struggling computer maker #39;s plan to save itself.","[[Sohn]] to shine spotlight on [[recent]] operating [[arrangements]], Solaris 10 [[Soleil]] Microsystems SUNW is expected to [[discharges]] a new [[stepping]] of its operating system [[ora]] - a big part of the struggling computer maker #39;s plan to save itself.",0.1786329746246338,0.5404677391052246,3,2,3,159,"Successful"
"[[Fed]] [[Cup]] all tied up FRANCE #39;[[S]] Russian-born [[Tatiana]] Golovin left the Fed Cup [[final]] [[hanging]] in the [[balance]] [[today]] as she [[beat]] [[Russia]] #39;s [[US]] [[Open]] [[champion]] [[Svetlana]] Kuznetsova 6-4, 6-1 to level the [[tie]] at 2-2 and take it to the final doubles match.","[[Nourished]] [[Football]] all tied up FRANCE #39;[[r]] Russian-born [[Petrova]] Golovin left the Fed Cup [[conclusive]] [[halt]] in the [[scales]] [[ayer]] as she [[defeating]] [[Soviets]] #39;s [[VS]] [[Tennis]] [[champ]] [[Petrova]] Kuznetsova 6-4, 6-1 to level the [[tying]] at 2-2 and take it to the final doubles match.",0.15631932020187378,0.18518352508544922,1,1,1,597,"Failed"
"[[Nokia]] announces [[Near]] [[Field]] [[Communication]] [[products]] [[With]] the [[Nokia]] NFC ([[Near]] [[Field]] [[Communication]]) [[shell]] on their [[phone]], consumers [[will]] [[be]] [[able]] to [[access]] a [[variety]] of [[services]] and exchange [[information]] with a [[simple]] [[touch]] [[gesture]].","[[Handset]] announces [[Adjoining]] [[Regions]] [[Reports]] [[staples]] [[Under]] the [[Motorola]] NFC ([[Shut]] [[Sector]] [[Disclosing]]) [[typo]] on their [[cellphone]], consumers [[willingness]] [[constituted]] [[incompetent]] to [[entry]] a [[assortment]] of [[servicing]] and exchange [[endorsements]] with a [[rationalized]] [[affected]] [[posturing]].",0.14274901151657104,0.5356811285018921,3,2,3,610,"Successful"
"[[Today]] in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #39;s road [[cycling]] [[individual]] time [[trial]] at the Vouliagmeni [[Olympic]] Centre in [[Athens]] on [[Wednesday]]. ","[[Yesterday]] in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[dismembered]] after [[gaining]] the [[dorado]] [[ornamental]] in the [[girl]] #39;s road [[biking]] [[solo]] time [[experiments]] at the Vouliagmeni [[Medalist]] Centre in [[Parthenon]] on [[Nowadays]]. ",0.14205873012542725,0.933116614818573,1,3,1,350,"Successful"
"[[President]] [[Hu]] congratulates Sihamoni on [[becoming]] [[king]] of [[Cambodia]] [[Chinese]] [[President]] [[Hu]] Jintao [[sent]] a [[message]] to Norodom Sihamoni on Thursday to [[congratulate]] him on his [[election]] as the [[king]] of Cambodia.","[[Chair]] [[Zhou]] congratulates Sihamoni on [[are]] [[kaiser]] of [[Vietnam]] [[Beijing]] [[Presidents]] [[Xu]] Jintao [[transmitting]] a [[emails]] to Norodom Sihamoni on Thursday to [[congratulated]] him on his [[opt]] as the [[roi]] of Cambodia.",0.2675498127937317,0.8523277640342712,0,1,0,417,"Successful"
"Govt. to [[Test]] New Air Passenger [[Screening]] [[Program]] The [[US]] government [[unveiled]] plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to [[Scrutiny]] New Air Passenger [[Audit]] [[Scheme]] The [[AMERICANA]] government [[unveiling]] plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.15429049730300903,0.5407724380493164,3,2,3,214,"Successful"
"[[Afghans]] rocky road to historic [[elections]] KALAKAN, [[Afghanistan]] There were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not yet [[old]] enough to [[shave]]. There were mullahs and mujahedeen, and the [[presidential]] [[candidate]] #39;s 3-year-old son.","[[Baghdad]] rocky road to historic [[selection]] KALAKAN, [[Bagdad]] There were toothless [[vieux]] [[muchachos]], turbaned and gray-bearded, and [[junior]] [[guys]] not yet [[veteran]] enough to [[stubble]]. There were mullahs and mujahedeen, and the [[presided]] [[bidders]] #39;s 3-year-old son.",0.2020391821861267,0.6834391951560974,0,1,0,314,"Successful"
"[[Oil]] [[Prices]] [[Set]] a [[New]] [[Record]] Above \$50  [[SINGAPORE]] ([[Reuters]]) - Oil prices [[set]] a new record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following Hurricane Ivan attracted [[fresh]] [[speculative]] [[buying]].","[[Gaz]] [[Prize]] [[Sets]] a [[Fiction]] [[Archive]] Above \$50  [[LUMPUR]] ([[Newsday]]) - Oil prices [[define]] a new record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following Hurricane Ivan attracted [[gentle]] [[theoretical]] [[takeover]].",0.17092347145080566,0.6453839540481567,2,0,2,300,"Successful"
