original_text,perturbed_text,label
"[[Singapore]] [[govt]] [[extends]] third-party [[war]] risk insurance [[SINGAPORE]] : The government is extending third-party war risk insurance [[cover]] to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","[[Brunei]] [[governmental]] [[enlargements]] third-party [[tussle]] risk insurance [[MALAYSIA]] : The government is extending third-party war risk insurance [[blanketed]] to the Civil [[Aircrafts]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. agreed to [[purchase]] a 50 [[percent]] [[interest]] in nine [[malls]] [[owned]] by General Motors [[Asset]] Management Corp. for just over \$1 [[billion]], [[creating]] a new joint [[venture]] between the [[groups]]. [[The]] deal will extend ...","Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. agreed to [[takeover]] a 50 [[cent]] [[usefulness]] in nine [[mul]] [[holds]] by General Motors [[Assets]] Management Corp. for just over \$1 [[million]], [[producing]] a new joint [[ventures]] between the [[bundled]]. [[Both]] deal will extend ...",2
"Sun to [[shine]] [[spotlight]] on new operating [[system]], [[Solaris]] 10 Sun Microsystems SUNW is expected to release a new version of its operating system [[today]] - a [[big]] [[part]] of the struggling computer maker #39;s plan to save itself.","Sun to [[shining]] [[targeted]] on new operating [[device]], [[Unix]] 10 Sun Microsystems SUNW is expected to release a new version of its operating system [[wed]] - a [[broader]] [[halves]] of the struggling computer maker #39;s plan to save itself.",3
"[[Fed]] [[Cup]] all tied up [[FRANCE]] #39;[[S]] Russian-born Tatiana Golovin [[left]] the Fed [[Cup]] [[final]] [[hanging]] in the balance [[today]] as she [[beat]] Russia #39;s [[US]] [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to [[level]] the tie at 2-2 and take it to the final doubles match.","[[Fueled]] [[Glass]] all tied up [[FRANCIA]] #39;[[r]] Russian-born Tatiana Golovin [[exited]] the Fed [[Coffeemaker]] [[ultima]] [[hung]] in the balance [[ora]] as she [[subjugate]] Russia #39;s [[AMERICA]] [[Tennis]] [[advocating]] Svetlana Kuznetsova 6-4, 6-1 to [[ranked]] the tie at 2-2 and take it to the final doubles match.",1
"Nokia announces [[Near]] Field Communication [[products]] [[With]] the Nokia NFC (Near Field Communication) [[shell]] on their [[phone]], consumers [[will]] be [[able]] to [[access]] a variety of [[services]] and [[exchange]] [[information]] with a [[simple]] touch [[gesture]].","Nokia announces [[Alongside]] Field Communication [[manufactures]] [[Of]] the Nokia NFC (Near Field Communication) [[almond]] on their [[calling]], consumers [[gonna]] be [[probable]] to [[entrance]] a variety of [[service]] and [[shares]] [[communication]] with a [[uncomplicated]] touch [[signal]].",3
[[Today]] in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a tear after winning the gold medal in the women #39;s road [[cycling]] individual time [[trial]] at the Vouliagmeni [[Olympic]] Centre in Athens on [[Wednesday]]. ,[[Moment]] in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a tear after winning the gold medal in the women #39;s road [[motorbikes]] individual time [[judging]] at the Vouliagmeni [[Olympus]] Centre in Athens on [[Nowadays]]. ,1
[[President]] Hu [[congratulates]] Sihamoni on becoming king of [[Cambodia]] Chinese President Hu Jintao sent a message to Norodom Sihamoni on Thursday to [[congratulate]] him on his election as the king of Cambodia.,[[Armchair]] Hu [[compliment]] Sihamoni on becoming king of [[Lao]] Chinese President Hu Jintao sent a message to Norodom Sihamoni on Thursday to [[appreciates]] him on his election as the king of Cambodia.,0
[[Govt]]. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.,[[Goverment]]. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.,3
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[blackjack]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their [[children]] #39;s cable television networks [[violated]] [[advertising]] [[restrictions]], the FCC [[said]] [[Thursday]].","Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their [[adolescence]] #39;s cable television networks [[encroach]] [[publicize]] [[frontiers]], the FCC [[testified]] [[Nowadays]].",2
Pfizer Sends Out Update On Drug Bextra Pfizer Inc. [[said]] [[Friday]] that it will [[provide]] health-care [[professionals]] with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the [[drug]] #39;s long-term [[cardiovascular]] [[safety]] [[record]].,Pfizer Sends Out Update On Drug Bextra Pfizer Inc. [[tells]] [[Mon]] that it will [[introduces]] health-care [[professional]] with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the [[physicians]] #39;s long-term [[cardiac]] [[integrity]] [[recorder]].,2
The Next [[Giant]] Leap [[Rendezvous]] quot; for the [[docking]] [[techniques]] he [[developed]] while at [[MIT]] [[earning]] his PhD in astronautics. Lessig: [[Technology]] over ideology!,The Next [[Magnate]] Leap [[Appointed]] quot; for the [[copulation]] [[practices]] he [[engendered]] while at [[ERT]] [[renta]] his PhD in astronautics. Lessig: [[Technician]] over ideology!,3
"TruSecure merges with Betrusted BOSTON - Information [[security]] services companies TruSecure Corp. and Betrusted plan to announce on Tuesday that they have merged, forming a new company called Cybertrust.","TruSecure merges with Betrusted BOSTON - Information [[assured]] services companies TruSecure Corp. and Betrusted plan to announce on Tuesday that they have merged, forming a new company called Cybertrust.",3
"[[AOL]] [[drops]] [[Microsoft]] antispam [[technology]] com [[September]] 16, 2004, 1:15 [[PM]] PT. This fourth priority #39;s main focus has been improving or obtaining CRM and [[ERP]] software for the past year and a half.","[[YAHOO]] [[fell]] [[Adobe]] antispam [[techniques]] com [[Feb]] 16, 2004, 1:15 [[MIDDAY]] PT. This fourth priority #39;s main focus has been improving or obtaining CRM and [[LES]] software for the past year and a half.",3
"[[US]] Airways, Pilots Union Near Agreement US Airways is seeking \$800 million in concessions from employee [[unions]] as it [[attempts]] to [[avoid]] [[filing]] [[Chapter]] 11. The [[Air]] Line Pilots Association [[will]] [[present]] its [[proposal]] on the [[evening]] of ","[[AMERICANA]] Airways, Pilots Union Near Agreement US Airways is seeking \$800 million in concessions from employee [[syndicate]] as it [[aspires]] to [[dissuade]] [[file]] [[Paragraphs]] 11. The [[Helicopter]] Line Pilots Association [[goes]] [[presently]] its [[premise]] on the [[soiree]] of ",2
"[[Military]] [[Buoys]] [[Profit]] at [[Defense]] [[Firms]]  [[CHICAGO]] ([[Reuters]]) - Robust demand for military equipment  and technology led four U.S. defense [[companies]] to post [[higher]]  quarterly profit on Wednesday, with [[jet]] [[maker]] [[Boeing]] Co. &[[lt]];[[A]] HREF=""http://www.[[investor]].reuters.com/FullQuote.aspx?ticker=BA.N target=/stocks/quickinfo/fullquote""&gt;[[BA]].N&lt;/A&gt;  reporting a 78 percent jump in earnings despite a decline in  commercial airplane revenue.","[[Martial]] [[Signposts]] [[Earnings]] at [[Protective]] [[Company]]  [[ILLINOIS]] ([[Newsday]]) - Robust demand for military equipment  and technology led four U.S. defense [[entrepreneur]] to post [[superior]]  quarterly profit on Wednesday, with [[airline]] [[producing]] [[Cessna]] Co. &[[lieutenant]];[[another]] HREF=""http://www.[[capitalism]].reuters.com/FullQuote.aspx?ticker=BA.N target=/stocks/quickinfo/fullquote""&gt;[[BACCALAUREATE]].N&lt;/A&gt;  reporting a 78 percent jump in earnings despite a decline in  commercial airplane revenue.",2
