"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Planes]] group.",0.4653235077857971,0.6040332317352295,2,0,2,70,"Successful"
"[[Mills]] Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills [[Corp]]. agreed to purchase a 50 percent interest in nine [[malls]] [[owned]] by General Motors Asset [[Management]] Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...","[[Installations]] Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills [[Enterprise]]. agreed to purchase a 50 percent interest in nine [[hypermarket]] [[own]] by General Motors Asset [[Admin]] Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...",0.27796465158462524,0.6015688180923462,2,3,2,133,"Successful"
"[[Sun]] to [[shine]] [[spotlight]] on new [[operating]] [[system]], Solaris 10 Sun Microsystems SUNW is expected to release a new [[version]] of its [[operating]] [[system]] today - a big part of the struggling computer maker #39;s plan to save itself.","[[Sohn]] to [[bright]] [[concentrate]] on new [[operates]] [[plan]], Solaris 10 Sun Microsystems SUNW is expected to release a new [[step]] of its [[operation]] [[systems]] today - a big part of the struggling computer maker #39;s plan to save itself.",0.3734065890312195,0.75578773021698,3,2,3,201,"Successful"
"[[Fed]] [[Cup]] all [[tied]] up FRANCE #39;[[S]] Russian-born [[Tatiana]] Golovin [[left]] the Fed Cup final [[hanging]] in the balance [[today]] as she [[beat]] [[Russia]] #39;s [[US]] [[Open]] [[champion]] [[Svetlana]] Kuznetsova 6-4, 6-1 to [[level]] the [[tie]] at 2-2 and take it to the final doubles match.","[[Mus]] [[Cups]] all [[thereto]] up FRANCE #39;[[ies]] Russian-born [[Petrova]] Golovin [[abandoning]] the Fed Cup final [[halted]] in the balance [[yesterday]] as she [[downs]] [[Putin]] #39;s [[AMERICA]] [[Starts]] [[backer]] [[Tatiana]] Kuznetsova 6-4, 6-1 to [[tier]] the [[bond]] at 2-2 and take it to the final doubles match.",0.3391352891921997,0.4010912775993347,1,1,1,618,"Failed"
"[[Nokia]] [[announces]] [[Near]] [[Field]] [[Communication]] [[products]] With the [[Nokia]] NFC ([[Near]] Field [[Communication]]) [[shell]] on their [[phone]], [[consumers]] [[will]] [[be]] [[able]] to [[access]] a [[variety]] of [[services]] and [[exchange]] [[information]] with a [[simple]] [[touch]] gesture.","[[Bluetooth]] [[announce]] [[Vicinity]] [[Arena]] [[Disclosing]] [[generated]] With the [[Motorola]] NFC ([[Nears]] Field [[Disclosure]]) [[almond]] on their [[telephone]], [[patrons]] [[go]] [[arrive]] [[unable]] to [[accessible]] a [[plethora]] of [[amenities]] and [[traded]] [[apprised]] with a [[mere]] [[contacted]] gesture.",0.3645128011703491,0.4913479685783386,3,3,3,699,"Failed"
"[[Today]] in [[Athens]] Leontien Zijlaard-van Moorsel of the [[Netherlands]] [[wipes]] a [[tear]] after [[winning]] the gold [[medal]] in the [[women]] #39;s [[road]] [[cycling]] [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in [[Athens]] on [[Wednesday]]. ","[[Time]] in [[Greece]] Leontien Zijlaard-van Moorsel of the [[Dutch]] [[wiping]] a [[crying]] after [[vanquishing]] the gold [[adorned]] in the [[maid]] #39;s [[arteries]] [[motorcyclists]] [[persona]] [[stardate]] [[magistrates]] at the Vouliagmeni [[Medalist]] [[Amid]] in [[Greek]] on [[Mondays]]. ",0.3311253786087036,0.7975636124610901,1,0,1,466,"Successful"
"[[President]] Hu congratulates Sihamoni on [[becoming]] [[king]] of Cambodia [[Chinese]] [[President]] [[Hu]] Jintao [[sent]] a [[message]] to Norodom Sihamoni on [[Thursday]] to [[congratulate]] him on his [[election]] as the [[king]] of [[Cambodia]].","[[Wheelchairs]] Hu congratulates Sihamoni on [[acquires]] [[roi]] of Cambodia [[Hua]] [[Heads]] [[Xu]] Jintao [[transferred]] a [[emails]] to Norodom Sihamoni on [[Hier]] to [[welcoming]] him on his [[selecting]] as the [[roi]] of [[Lao]].",0.3539525270462036,0.8061650991439819,0,1,0,383,"Successful"
"[[Govt]]. to [[Test]] [[New]] Air [[Passenger]] Screening Program The [[US]] [[government]] unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a [[threat]] to air travel.","[[Councils]]. to [[Essay]] [[Ny]] Air [[Vacationers]] Screening Program The [[OURSELVES]] [[govt]] unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a [[menace]] to air travel.",0.3510187864303589,0.6242136359214783,3,2,3,213,"Successful"
"[[Afghans]] rocky [[road]] to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] There were [[toothless]] [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not yet [[old]] enough to [[shave]]. There were mullahs and mujahedeen, and the [[presidential]] [[candidate]] #39;s 3-year-old son.","[[Afghanistan]] rocky [[routed]] to [[stories]] [[reelection]] KALAKAN, [[Afghan]] There were [[impotent]] [[eldest]] [[bulls]], turbaned and gray-bearded, and [[junior]] [[males]] not yet [[previous]] enough to [[razor]]. There were mullahs and mujahedeen, and the [[preside]] [[claimant]] #39;s 3-year-old son.",0.3527958393096924,0.36421293020248413,0,0,0,402,"Failed"
"Oil [[Prices]] [[Set]] a [[New]] Record [[Above]] \$50  [[SINGAPORE]] (Reuters) - [[Oil]] [[prices]] [[set]] a [[new]] [[record]] above \$50  a [[barrel]] on [[Tuesday]] as a [[prolonged]] U.S. production outage  following Hurricane Ivan attracted fresh speculative buying.","Oil [[Price]] [[Gaming]] a [[Roman]] Record [[Superior]] \$50  [[LUMPUR]] (Reuters) - [[Gaz]] [[charging]] [[defining]] a [[innovative]] [[discs]] above \$50  a [[cannon]] on [[Sundays]] as a [[long]] U.S. production outage  following Hurricane Ivan attracted fresh speculative buying.",0.28892290592193604,0.8588518500328064,2,3,2,389,"Successful"
