"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war [[risk]] insurance SINGAPORE : The [[government]] is extending third-party war risk insurance cover to the Civil [[Aviation]] [[Authority]] of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war [[endangerment]] insurance SINGAPORE : The [[politics]] is extending third-party war risk insurance cover to the Civil [[air]] [[authorization]] of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.11653441190719604,0.5710496306419373,2,0,2,206,"Successful"
"[[Mills]] [[Grabs]] \$1B Portfolio; Taubman [[Likely]] to Lose [[Contracts]] [[Mills]] Corp. [[agreed]] to purchase a 50 percent [[interest]] in nine malls owned by [[General]] Motors [[Asset]] [[Management]] Corp. for just over \$1 billion, creating a [[new]] joint venture between the groups. The [[deal]] will [[extend]] ...","[[factory]] [[snatch]] \$1B Portfolio; Taubman [[belike]] to Lose [[press]] [[factory]] Corp. [[jibe]] to purchase a 50 percent [[stake]] in nine malls owned by [[world-wide]] Motors [[plus]] [[direction]] Corp. for just over \$1 billion, creating a [[Modern]] joint venture between the groups. The [[batch]] will [[exsert]] ...",0.09481698274612427,0.6564571857452393,2,0,2,431,"Successful"
"[[Sun]] to shine spotlight on new operating [[system]], Solaris [[10]] [[Sun]] Microsystems SUNW is expected to [[release]] a new [[version]] of its operating [[system]] today - a big [[part]] of the struggling computer maker #39;s plan to [[save]] itself.","[[Sunday]] to shine spotlight on new operating [[organization]], Solaris [[tenner]] [[insolate]] Microsystems SUNW is expected to [[loss]] a new [[interpretation]] of its operating [[arrangement]] today - a big [[divide]] of the struggling computer maker #39;s plan to [[redeem]] itself.",0.023694396018981934,0.510988712310791,3,2,3,398,"Successful"
"Today in Athens Leontien Zijlaard-van Moorsel of the [[Netherlands]] wipes a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #[[39]];s road [[cycling]] [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] Centre in [[Athens]] on [[Wednesday]]. ","Today in Athens Leontien Zijlaard-van Moorsel of the [[Holland]] wipes a [[teardrop]] after [[fetching]] the [[Au]] [[medallion]] in the [[woman]] #[[thirty-nine]];s road [[motorbike]] [[case-by-case]] [[sentence]] [[tribulation]] at the Vouliagmeni [[Olympian]] Centre in [[Athinai]] on [[Midweek]]. ",0.005615115165710449,0.20471930503845215,1,1,1,230,"Failed"
"[[Fed]] Cup all [[tied]] up FRANCE #39;[[S]] Russian-born Tatiana Golovin [[left]] the [[Fed]] [[Cup]] final [[hanging]] in the balance [[today]] as she beat [[Russia]] #39;s [[US]] [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to [[level]] the [[tie]] at 2-2 and [[take]] it to the final doubles [[match]].","[[course]] Cup all [[tie]] up FRANCE #39;[[randomness]] Russian-born Tatiana Golovin [[left-hand]] the [[course]] [[cupful]] final [[hang]] in the balance [[now]] as she beat [[USSR]] #39;s [[America]] [[subject]] [[virtuoso]] Svetlana Kuznetsova 6-4, 6-1 to [[tied]] the [[tie-up]] at 2-2 and [[engage]] it to the final doubles [[couple]].",0.006817638874053955,0.05620163679122925,1,1,1,758,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.6312080025672913,0.6312080025672913,2,2,3,1,"Skipped"
"[[President]] Hu [[congratulates]] Sihamoni on [[becoming]] [[king]] of [[Cambodia]] [[Chinese]] [[President]] Hu Jintao [[sent]] a [[message]] to Norodom Sihamoni on [[Thursday]] to [[congratulate]] him on his election as the [[king]] of Cambodia.","[[prexy]] Hu [[felicitate]] Sihamoni on [[suit]] [[magnate]] of [[Kampuchea]] [[Formosan]] [[prexy]] Hu Jintao [[mail]] a [[content]] to Norodom Sihamoni on [[Th]] to [[compliment]] him on his election as the [[tycoon]] of Cambodia.",0.007934153079986572,0.3332904577255249,0,0,0,167,"Failed"
"[[Afghans]] [[rocky]] road to historic elections KALAKAN, Afghanistan There were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not [[yet]] [[old]] [[enough]] to [[shave]]. There were [[mullahs]] and [[mujahedeen]], and the presidential [[candidate]] #[[39]];s 3-year-old son.","[[Pashtu]] [[rough]] road to historic elections KALAKAN, Afghanistan There were toothless [[honest-to-goodness]] [[workforce]], turbaned and gray-bearded, and [[new]] [[workforce]] not [[notwithstanding]] [[onetime]] [[sufficiency]] to [[trim]]. There were [[Mullah]] and [[mujahidin]], and the presidential [[prospect]] #[[thirty-nine]];s 3-year-old son.",0.005236923694610596,0.025691747665405273,0,0,0,272,"Failed"
"Nokia [[announces]] [[Near]] [[Field]] Communication [[products]] With the Nokia NFC ([[Near]] [[Field]] Communication) [[shell]] on their [[phone]], [[consumers]] will be [[able]] to [[access]] a [[variety]] of [[services]] and [[exchange]] [[information]] with a [[simple]] [[touch]] [[gesture]].","Nokia [[foretell]] [[dear]] [[champaign]] Communication [[intersection]] With the Nokia NFC ([[penny-pinching]] [[bailiwick]] Communication) [[blast]] on their [[call]], [[consumer]] will be [[able-bodied]] to [[entree]] a [[assortment]] of [[servicing]] and [[commutation]] [[data]] with a [[dim-witted]] [[advert]] [[motion]].",0.013179004192352295,0.06136220693588257,3,3,3,417,"Failed"
"[[US]] [[suspends]] [[helicopter]] [[flights]] after [[Japan]] [[crash]] (AFP) AFP - The United [[States]] suspended flights of CH-53D military [[helicopters]] in [[Japan]], bowing to [[protests]] over a [[crash]] in an Okinawa university campus.","[[uranium]] [[freeze]] [[whirlybird]] [[trajectory]] after [[Nihon]] [[ram]] (AFP) AFP - The United [[express]] suspended flights of CH-53D military [[whirlybird]] in [[Nippon]], bowing to [[resist]] over a [[dash]] in an Okinawa university campus.",0.004810333251953125,0.6996588706970215,0,3,0,201,"Successful"
"Sun's [[Looking]] [[Glass]] [[Provides]] 3D [[View]] [[Developers]] [[get]] [[early]] [[code]] for [[new]] [[operating]] [[system]] 'skin' [[still]] being crafted.","Sun's [[face]] [[shabu]] [[offer]] 3D [[survey]] [[developer]] [[puzzle]] [[former]] [[codification]] for [[fresh]] [[function]] [[arrangement]] 'skin' [[motionless]] being crafted.",0.012820065021514893,0.03802365064620972,3,3,3,403,"Failed"
"[[Oil]] Prices [[Set]] a [[New]] [[Record]] Above \$50  SINGAPORE (Reuters) - [[Oil]] prices [[set]] a [[new]] [[record]] above \$[[50]]  a [[barrel]] on [[Tuesday]] as a [[prolonged]] U.[[S]]. [[production]] outage  [[following]] [[Hurricane]] Ivan [[attracted]] [[fresh]] [[speculative]] [[buying]].","[[crude]] Prices [[primed]] a [[unexampled]] [[immortalise]] Above \$50  SINGAPORE (Reuters) - [[crude]] prices [[primed]] a [[fresh]] [[immortalise]] above \$[[fifty]]  a [[barrelful]] on [[Tues]] as a [[drawn-out]] U.[[s]]. [[output]] outage  [[pursual]] [[hurricane]] Ivan [[attract]] [[refreshed]] [[inquisitive]] [[bribe]].",0.015413522720336914,0.0353124737739563,2,2,2,596,"Failed"
"Viacom, Disney pay \$1.5M FCC fine Disney and Viacom [[agreed]] to a fine of \$1.5 [[million]] from the Federal Communications Commission over claims their children #[[39]];s cable [[television]] [[networks]] violated advertising restrictions, the FCC said [[Thursday]].","Viacom, Disney pay \$1.5M FCC fine Disney and Viacom [[gibe]] to a fine of \$1.5 [[meg]] from the Federal Communications Commission over claims their children #[[thirty-nine]];s cable [[video]] [[web]] violated advertising restrictions, the FCC said [[Th]].",0.015280485153198242,0.5641146898269653,2,3,2,245,"Successful"
"Anniversary remembered on game day When the attacks came on [[Sept]]. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the [[World]] Trade Center and Pentagon smoldered and the [[world]] stood still, O'Brien was a Navy man.","Anniversary remembered on game day When the attacks came on [[kinsfolk]]. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the [[Earth]] Trade Center and Pentagon smoldered and the [[humankind]] stood still, O'Brien was a Navy man.",0.0534747838973999,0.7606165409088135,1,0,1,343,"Successful"
"Pfizer [[Sends]] [[Out]] Update [[On]] [[Drug]] Bextra Pfizer [[Inc]]. [[said]] [[Friday]] that it will [[provide]] health-care professionals with [[additional]] [[information]] about its Bextra arthritis [[drug]] and that it will [[conduct]] further [[studies]] to [[confirm]] the [[drug]] #[[39]];s long-term cardiovascular [[safety]] [[record]].","Pfizer [[beam]] [[KO'd]] Update [[along]] [[dose]] Bextra Pfizer [[INC]]. [[pronounce]] [[Fri]] that it will [[allow]] health-care professionals with [[extra]] [[entropy]] about its Bextra arthritis [[dose]] and that it will [[transmit]] further [[field]] to [[corroborate]] the [[dose]] #[[thirty-nine]];s long-term cardiovascular [[condom]] [[immortalize]].",0.01576864719390869,0.5495213270187378,2,3,2,305,"Successful"
"Ljubicic Downs Hanescu at Open De Moselle Top-seeded Ivan Ljubicic of Croatia beat Victor Hanescu of Romania 6-4, 6-4 Tuesday in the first round of the Open de Moselle.","Ljubicic Downs Hanescu at Open De Moselle Top-seeded Ivan Ljubicic of Croatia beat Victor Hanescu of Romania 6-4, 6-4 Tuesday in the first round of the Open de Moselle.",0.9952902793884277,0.9952902793884277,1,1,0,1,"Skipped"
