original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk [[insur]] [[ance]] SINGAPORE : The government is extending third-party war risk [[iոsurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"Phelps Seeks [[More]] [[Gold]] at [[World]] [[Championships]]  [[INDIANAPOLIS]] ([[Reuters]]) - [[Still]] riding a wave of [[euphoria]]  from the [[Olympics]], Michael Phelps returns to the [[pool]] this [[week]]  at the [[world]] short [[course]] swimming [[championships]] [[seeking]] a  [[repeat]] of his six gold medals in Athens.","Phelps Seeks [[Morе]] [[Golԁ]] at [[Word]] [[Champioոships]]  [[INDINAPOLIS]] ([[Rеuters]]) - [[Stilⅼ]] riding a wave of [[еuphoria]]  from the [[Olymрics]], Michael Phelps returns to the [[pol]] this [[wee𝒌]]  at the [[wrold]] short [[courѕe]] swimming [[chɑmpionships]] [[sеeking]] a  [[repea𝚝]] of his six gold medals in Athens.",1
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the World [[Trade]] Center and Pentagon smoldered and the world stood [[still]], O'Brien was a Navy [[man]].","Anniversary remembered on [[gɑme]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coaϲh]]. On that day, as the World [[Traԁe]] Center and Pentagon smoldered and the world stood [[stiⅼl]], O'Brien was a Navy [[m]] [[an]].",1
"Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 [[million]] from the [[Federal]] Communications Commission over claims their children #[[39]];s [[cable]] [[television]] networks violated advertising restrictions, the FCC [[said]] Thursday.","Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 [[mіllion]] from the [[Federaⅼ]] Communications Commission over claims their children #[[3৭]];s [[cabⅼe]] [[televisiоn]] networks violated advertising restrictions, the FCC [[sɑid]] Thursday.",2
[[Pfizer]] Sends Out Update On Drug Bextra Pfizer Inc. [[said]] [[Friday]] that it will provide health-care [[professionals]] with [[additional]] information about its [[Bextra]] [[arthritis]] drug and that it will conduct further studies to [[confirm]] the [[drug]] #[[39]];s long-term cardiovascular safety [[record]].,[[Pfіzer]] Sends Out Update On Drug Bextra Pfizer Inc. [[saіd]] [[Firday]] that it will provide health-care [[pr]] [[ofessionals]] with [[additionaⅼ]] information about its [[Be×tra]] [[arthritіs]] drug and that it will conduct further studies to [[confim]] the [[druɡ]] #[[Ʒ9]];s long-term cardiovascular safety [[reco]] [[rd]].,2
Pakistan collapses at the [[WACA]] [[Opener]] Justin [[Langer]] was last out after a glorious [[innings]] of 191 as Australia totaled 381 on the second morning of the first test against Pakistan in Perth on Friday.,Pakistan collapses at the [[WAA]] [[Opeոer]] Justin [[Lnger]] was last out after a glorious [[innigns]] of 191 as Australia totaled 381 on the second morning of the first test against Pakistan in Perth on Friday.,1
Button [[defends]] [[F1]] [[decision]] [[Britain]] #39;s Jenson Button has [[justified]] his decision to [[leave]] BAR for [[Williams]] as the dispute over his future moves towards a [[conclusion]].,Button [[defendѕ]] [[Fl]] [[deciѕion]] [[Britian]] #39;s Jenson Button has [[justifiеd]] his decision to [[leaѵe]] BAR for [[Willіams]] as the dispute over his future moves towards a [[cnoclusion]].,1
Rates on [[short-term]] T-bills [[hit]] [[30-month]] [[high]] WASHINGTON -- [[Interest]] rates on short-term [[Treasury]] bills rose in [[yesterday's]] [[auction]] to the highest levels in 30 months.,Rates on [[shortterm]] T-bills [[hi𝚝]] [[30˗month]] [[hіgh]] WASHINGTON -- [[Interes𝚝]] rates on short-term [[Treasuⲅy]] bills rose in [[yesterday'ѕ]] [[auctiоn]] to the highest levels in 30 months.,2
"US [[Airways]] to [[Alter]] [[Flights]] US [[Airways]] [[said]] it will change its flight schedules in February to increase departures at its Charlotte and Philadelphia hubs and create a mini-hub in Fort Lauderdale, Fla.","US [[Airawys]] to [[Altr]] [[Fliɡhts]] US [[Aiways]] [[saіd]] it will change its flight schedules in February to increase departures at its Charlotte and Philadelphia hubs and create a mini-hub in Fort Lauderdale, Fla.",2
"Stanford [[ties]] Arizona in [[poll]] Media splits on who #39;s favorite in &lt;b&gt;...&lt;/b&gt; [[The]] two [[teams]] that shared the Pac-10 women #[[39]];s basketball [[title]] [[last]] [[season]] -- Stanford and [[Arizona]] -- are primed to share it again, according to the annual poll released at Pac-10 media day Tuesday at HP Pavilion in San Jose.","Stanford [[tieѕ]] Arizona in [[poⅼl]] Media splits on who #39;s favorite in &lt;b&gt;...&lt;/b&gt; [[T]] [[he]] two [[tеams]] that shared the Pac-10 women #[[Ʒ9]];s basketball [[titⅼe]] [[lsat]] [[seaѕon]] -- Stanford and [[Ariᴢona]] -- are primed to share it again, according to the annual poll released at Pac-10 media day Tuesday at HP Pavilion in San Jose.",1
"[[Dell]] [[Offers]] SUSE on [[Servers]] Dell (Quote, Chart) officials announced [[Wednesday]] an agreement with [[Linux]] distributor Novell (Quote, Chart) to distribute and [[support]] SUSE Enterprise [[Server]] 9 on its single- and dual-processor line of servers.","[[Del]] [[Offerѕ]] SUSE on [[Sеrvers]] Dell (Quote, Chart) officials announced [[Wednesdɑy]] an agreement with [[Lіnux]] distributor Novell (Quote, Chart) to distribute and [[sսpport]] SUSE Enterprise [[Sеrver]] 9 on its single- and dual-processor line of servers.",3
"Blue Chips Rise, [[Altria]] Higher on [[Upgrade]]  [[NEW]] YORK ([[Reuters]]) - U.S. blue chips rose on Thursday, led  by [[Altria]] Group Inc. &lt;A [[HREF]]=""http://www.[[investor]].[[reuters]].[[com]]/FullQuote.aspx?[[ticker]]=MO.N target=/stocks/quickinfo/fullquote""&gt;MO.N&lt;/A&gt; and other [[tobacco]] stocks, after a  federal appeals court expressed skepticism about whether the  government could force cigarette makers in a lawsuit to pay  billions of dollars.","Blue Chips Rise, [[Altrіa]] Higher on [[Upgrɑde]]  [[NW]] YORK ([[Rеuters]]) - U.S. blue chips rose on Thursday, led  by [[Altrіa]] Group Inc. &lt;A [[HEF]]=""http://www.[[investoⲅ]].[[rеuters]].[[cоm]]/FullQuote.aspx?[[tcker]]=MO.N target=/stocks/quickinfo/fullquote""&gt;MO.N&lt;/A&gt; and other [[tboacco]] stocks, after a  federal appeals court expressed skepticism about whether the  government could force cigarette makers in a lawsuit to pay  billions of dollars.",2
"[[China]] Says Taiwan Spy Also Operated in U.S. - Media  BEIJING (Reuters) - [[Beijing]] on Monday accused a  [[Chinese-American]] arrested for [[spying]] for Taiwan of building an  [[espionage]] network in the [[United]] States, and [[said]] he [[could]] [[go]] on  [[trial]] very [[soon]].","[[Chnia]] Says Taiwan Spy Also Operated in U.S. - Media  BEIJING (Reuters) - [[Beijnig]] on Monday accused a  [[Chinese-Ameriϲan]] arrested for [[ѕpying]] for Taiwan of building an  [[espionaɡe]] network in the [[Uinted]] States, and [[sɑid]] he [[coսld]] [[ɡo]] on  [[triɑl]] very [[so]] [[on]].",0
"Philippine [[Rebels]] Free [[Troops]], Talks in [[Doubt]]  PRESENTACION, [[Philippines]] (Reuters) - [[Philippine]] [[communist]]  [[rebels]] [[freed]] Wednesday [[two]] soldiers they had [[held]] as ""prisoners  of war"" for more than five months, [[saying]] they [[wanted]] to  rebuild confidence in peace talks with the [[government]].","Philippine [[Rebelѕ]] Free [[Troopѕ]], Talks in [[Doub𝚝]]  PRESENTACION, [[Phіlippines]] (Reuters) - [[Phiⅼippine]] [[communiѕt]]  [[rеbels]] [[feed]] Wednesday [[to]] soldiers they had [[helԁ]] as ""prisoners  of war"" for more than five months, [[sayiոg]] they [[wanteԁ]] to  rebuild confidence in peace talks with the [[governmnet]].",0
"Cingular Sales [[Rise]] in Quarter, but [[Profit]] [[Falls]] [[18]] [[Percent]] [[By]] [[Bloomberg]] News. Cingular Wireless, which is [[buying]] AT amp;T Wireless, [[said]] yesterday that third-quarter sales rose 4.9 percent, to \$4.","Cingular Sales [[Riѕe]] in Quarter, but [[Proit]] [[Fɑlls]] [[l8]] [[Percen𝚝]] [[Bу]] [[Bloоmberg]] News. Cingular Wireless, which is [[buyiոg]] AT amp;T Wireless, [[sa]] [[id]] yesterday that third-quarter sales rose 4.9 percent, to \$4.",2
Specialty Retail Tales Not every specialty [[retailer]] is cut from the same mold -- some are just moldy.,Specialty Retail Tales Not every specialty [[reailer]] is cut from the same mold -- some are just moldy.,2
"[[PeopleSoft]] [[Raises]] [[Revenue]] [[Forecasts]]  [[NEW]] YORK ([[Reuters]]) - [[PeopleSoft]] [[Inc]]. &lt;A HREF=""[[http]]://[[www]].investor.reuters.[[com]]/[[FullQuote]].aspx?ticker=PSFT.O target=/stocks/quickinfo/fullquote""&gt;PSFT.O&lt;/A&gt;, fresh from  firing its chief executive amid a hostile takeover bid from  Oracle Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORCL.O, target=/stocks/quickinfo/fullquote""&gt;ORCL.O,&lt;/A&gt; on Monday said quarterly revenue would  exceed Wall Street's expectations, helped by an increase in  customers making larger orders for its business software.","[[PeoplеSoft]] [[Rɑises]] [[Revenuе]] [[Forecɑsts]]  [[N]] [[EW]] YORK ([[Reսters]]) - [[PeoplSeoft]] [[Iոc]]. &lt;A HREF=""[[ht𝚝p]]://[[w]] [[ww]].investor.reuters.[[c]] [[om]]/[[FսllQuote]].aspx?ticker=PSFT.O target=/stocks/quickinfo/fullquote""&gt;PSFT.O&lt;/A&gt;, fresh from  firing its chief executive amid a hostile takeover bid from  Oracle Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORCL.O, target=/stocks/quickinfo/fullquote""&gt;ORCL.O,&lt;/A&gt; on Monday said quarterly revenue would  exceed Wall Street's expectations, helped by an increase in  customers making larger orders for its business software.",2
"22 [[killed]], [[100]] [[injured]] in [[Nagaland]] twin [[blasts]] : [[India]] [[News]]  gt; Guwahati, Oct 2 : At least 22 people, [[including]] women and children, were [[killed]] and over [[100]] injured when two simultaneous landmine [[blasts]] ripped through the busy [[railway]] station here and a crowded market place of this commercial town of ","22 [[killeԁ]], [[1O0]] [[iոjured]] in [[Nagalaոd]] twin [[blastѕ]] : [[Iոdia]] [[Newѕ]]  gt; Guwahati, Oct 2 : At least 22 people, [[inϲluding]] women and children, were [[killeԁ]] and over [[10]] injured when two simultaneous landmine [[blɑsts]] ripped through the busy [[raіlway]] station here and a crowded market place of this commercial town of ",0
"Same-sex divorce rules still hazy Now that an Ontario couple has been given Canada #39;s first same-sex divorce, experts are divided over just how easy it will be for [[gays]] and lesbians in other provinces to end their marriages.","Same-sex divorce rules still hazy Now that an Ontario couple has been given Canada #39;s first same-sex divorce, experts are divided over just how easy it will be for [[gaуs]] and lesbians in other provinces to end their marriages.",0
"Asian [[rust]] poses problem to area farmers David Martz, like many other area farmers, just sighed upon hearing the news that Asian soybean rust had been discovered in [[Louisiana]].","Asian [[rsut]] poses problem to area farmers David Martz, like many other area farmers, just sighed upon hearing the news that Asian soybean rust had been discovered in [[Louiiana]].",2
G7 fails to reach debt deal Hopes of a deal to write off completely the debts of some of the world #39;s poorest [[countries]] were dashed after the Group of Seven rich nations club failed to reach agreement.,G7 fails to reach debt deal Hopes of a deal to write off completely the debts of some of the world #39;s poorest [[countreis]] were dashed after the Group of Seven rich nations club failed to reach agreement.,2
"[[Sudan]] to attract most ICRC funds in 2005, 30-percent drop in cash for [[Iraq]] ([[AFP]]) AFP - Strife-torn [[Sudan]] will become the largest focus of aid work for the International Committee of the Red Cross in 2005, while money [[earmarked]] for Iraq will fall by almost one third, the agency said.","[[Suԁan]] to attract most ICRC funds in 2005, 30-percent drop in cash for [[Iaq]] ([[A]] [[FP]]) AFP - Strife-torn [[S]] [[udan]] will become the largest focus of aid work for the International Committee of the Red Cross in 2005, while money [[earmarkeԁ]] for Iraq will fall by almost one third, the agency said.",0
"Agassi [[bites]] the dust as [[Russian]] [[Safin]] [[sets]] up [[final]] clash with &lt;[[b]]&gt;...&lt;/[[b]]&[[gt]]; MADRID: Marat Safin [[defeated]] [[Andre]] Agassi 6-3, 7-6 [[yesterday]] to [[book]] a place in the Madrid [[Masters]] final against Argentina #39;s David Nalbandian.","Agassi [[biteѕ]] the dust as [[Rusѕian]] [[Safiո]] [[setѕ]] up [[fіnal]] clash with &lt;[[Ь]]&gt;...&lt;/[[Ь]]&[[g𝚝]]; MADRID: Marat Safin [[de𝚏eated]] [[Andⲅe]] Agassi 6-3, 7-6 [[yesterdɑy]] to [[Ьook]] a place in the Madrid [[Maters]] final against Argentina #39;s David Nalbandian.",1
Hurricane [[Frances]] Nears NE [[Caribbean]] (AP) AP - [[Hurricane]] Frances [[strengthened]] as it [[churned]] near islands of the [[northeastern]] Caribbean with [[ferocious]] [[winds]] expected to graze [[Puerto]] Rico on Tuesday before the storm plows on toward the Bahamas and the southeastern United States.,Hurricane [[F]] [[rances]] Nears NE [[Caibbean]] (AP) AP - [[Hսrricane]] Frances [[streոgthened]] as it [[chured]] near islands of the [[ոortheastern]] Caribbean with [[ferociоus]] [[wi]] [[nds]] expected to graze [[Pսerto]] Rico on Tuesday before the storm plows on toward the Bahamas and the southeastern United States.,0
"UPDATE [[1-Rookie]] [[Johnson]] shares Buick [[lead]] with Funk [[Rookie]] Zach Johnson produced the day #39;s joint best score, a five-under-par 65, to join [[Fred]] Funk at the top of the leaderboard after the [[second]] [[round]] of the \$4.","UPDATE [[1-Roo𝒌ie]] [[Jоhnson]] shares Buick [[led]] with Funk [[Roo𝒌ie]] Zach Johnson produced the day #39;s joint best score, a five-under-par 65, to join [[Frеd]] Funk at the top of the leaderboard after the [[sеcond]] [[rounԁ]] of the \$4.",1
"Lowe's Sees [[Profit]] Rising in 2005, 2006  ATLANTA (Reuters) - Home improvement retailer Lowe's [[Cos]].  &lt;A HREF=""[[http]]://www.[[investor]].[[reuters]].[[com]]/[[FullQuote]].[[aspx]]?[[ticker]]=[[LOW]].N target=/stocks/quickinfo/fullquote""&[[gt]];LOW.N&lt;/A&gt; on [[Tuesday]] said it expects diluted earnings per share  to rise in both 2005 and 2006 as it benefits from increased  remodeling activity and home ownership.","Lowe's Sees [[Profi𝚝]] Rising in 2005, 2006  ATLANTA (Reuters) - Home improvement retailer Lowe's [[C]] [[os]].  &lt;A HREF=""[[htp]]://www.[[i]] [[nvestor]].[[rеuters]].[[cоm]]/[[Fulluote]].[[apsx]]?[[ti]] [[cker]]=[[L]] [[OW]].N target=/stocks/quickinfo/fullquote""&[[g𝚝]];LOW.N&lt;/A&gt; on [[Tue]] [[sday]] said it expects diluted earnings per share  to rise in both 2005 and 2006 as it benefits from increased  remodeling activity and home ownership.",2
