original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Flight]] group.",2
"Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine [[malls]] owned by General [[Motors]] [[Asset]] [[Management]] Corp. for just over \$1 [[billion]], [[creating]] a new [[joint]] [[venture]] between the [[groups]]. The [[deal]] will extend ...","Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine [[shops]] owned by General [[Tricycle]] [[Goods]] [[Managerial]] Corp. for just over \$1 [[million]], [[establishing]] a new [[communal]] [[enterprise]] between the [[syndicates]]. The [[process]] will extend ...",2
"Fed [[Cup]] all [[tied]] up [[FRANCE]] #39;[[S]] Russian-born Tatiana Golovin left the Fed [[Cup]] [[final]] hanging in the balance [[today]] as she beat [[Russia]] #39;s US Open [[champion]] [[Svetlana]] Kuznetsova 6-4, 6-1 to level the [[tie]] at 2-2 and take it to the [[final]] doubles [[match]].","Fed [[Glassware]] all [[attached]] up [[FRANCIA]] #39;[[r]] Russian-born Tatiana Golovin left the Fed [[Goblet]] [[latest]] hanging in the balance [[wed]] as she beat [[Federation]] #39;s US Open [[advocate]] [[Galina]] Kuznetsova 6-4, 6-1 to level the [[tying]] at 2-2 and take it to the [[conclusive]] doubles [[teaming]].",1
"Nokia [[announces]] [[Near]] [[Field]] Communication products With the Nokia NFC ([[Near]] [[Field]] Communication) shell on their [[phone]], consumers will be able to access a [[variety]] of services and exchange [[information]] with a simple touch gesture.","Nokia [[advertisement]] [[Earliest]] [[Regions]] Communication products With the Nokia NFC ([[Beside]] [[Camps]] Communication) shell on their [[handset]], consumers will be able to access a [[assortment]] of services and exchange [[particulars]] with a simple touch gesture.",3
Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a tear after winning the gold medal in the women #39;s road cycling [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] Centre in Athens on [[Wednesday]]. ,Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a tear after winning the gold medal in the women #39;s road cycling [[specific]] [[hour]] [[magistrates]] at the Vouliagmeni [[Olympus]] Centre in Athens on [[Today]]. ,1
[[President]] [[Hu]] congratulates Sihamoni on becoming king of [[Cambodia]] [[Chinese]] President Hu Jintao [[sent]] a message to Norodom Sihamoni on Thursday to congratulate him on his [[election]] as the king of Cambodia.,[[Armchair]] [[Choi]] congratulates Sihamoni on becoming king of [[Phnom]] [[Renminbi]] President Hu Jintao [[routed]] a message to Norodom Sihamoni on Thursday to congratulate him on his [[wahl]] as the king of Cambodia.,0
"[[Afghans]] rocky [[road]] to historic elections KALAKAN, Afghanistan There were [[toothless]] old men, turbaned and gray-bearded, and [[young]] [[men]] not yet [[old]] enough to shave. There were mullahs and mujahedeen, and the [[presidential]] candidate #39;s 3-year-old son.","[[Iraqis]] rocky [[trajectory]] to historic elections KALAKAN, Afghanistan There were [[needless]] old men, turbaned and gray-bearded, and [[jong]] [[masculine]] not yet [[ancient]] enough to shave. There were mullahs and mujahedeen, and the [[chaired]] candidate #39;s 3-year-old son.",0
Oil Prices [[Set]] a [[New]] [[Record]] Above \$50  [[SINGAPORE]] (Reuters) - Oil prices set a [[new]] [[record]] above \$50  a barrel on [[Tuesday]] as a prolonged [[U]].[[S]]. [[production]] [[outage]]  following [[Hurricane]] Ivan [[attracted]] [[fresh]] speculative buying.,Oil Prices [[Establishing]] a [[Updated]] [[Tape]] Above \$50  [[BRUNEI]] (Reuters) - Oil prices set a [[updated]] [[tape]] above \$50  a barrel on [[Fridays]] as a prolonged [[oder]].[[rs]]. [[generate]] [[heckling]]  following [[Whirlwind]] Ivan [[enticed]] [[expense]] speculative buying.,2
Sun's Looking Glass Provides 3D [[View]] [[Developers]] get early [[code]] for [[new]] [[operating]] system 'skin' [[still]] being crafted.,Sun's Looking Glass Provides 3D [[Noticing]] [[Industrialists]] get early [[coded]] for [[innovative]] [[employment]] system 'skin' [[also]] being crafted.,3
"Phelps [[Seeks]] [[More]] Gold at World Championships  [[INDIANAPOLIS]] (Reuters) - Still riding a wave of euphoria  from the Olympics, Michael Phelps returns to the pool this [[week]]  at the [[world]] short [[course]] [[swimming]] [[championships]] [[seeking]] a  repeat of his six gold medals in [[Athens]].","Phelps [[Aims]] [[Longer]] Gold at World Championships  [[GREENVILLE]] (Reuters) - Still riding a wave of euphoria  from the Olympics, Michael Phelps returns to the pool this [[joo]]  at the [[worldwide]] short [[road]] [[swims]] [[starring]] [[searches]] a  repeat of his six gold medals in [[Greeks]].",1
"[[US]] suspends [[helicopter]] flights after [[Japan]] [[crash]] (AFP) AFP - The United [[States]] suspended flights of CH-53D military helicopters in [[Japan]], bowing to [[protests]] over a crash in an [[Okinawa]] [[university]] campus.","[[VS]] suspends [[flying]] flights after [[Tokyo]] [[coincidence]] (AFP) AFP - The United [[Said]] suspended flights of CH-53D military helicopters in [[Osaka]], bowing to [[phenomena]] over a crash in an [[Fukuoka]] [[stanford]] campus.",0
"Anniversary remembered on game day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on game day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coached]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television networks violated advertising restrictions, the FCC said [[Thursday]].","Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television networks violated advertising restrictions, the FCC said [[Fridays]].",2
Pfizer Sends Out Update On Drug Bextra Pfizer Inc. said Friday that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the drug #39;s long-term [[cardiovascular]] safety [[record]].,Pfizer Sends Out Update On Drug Bextra Pfizer Inc. said Friday that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the drug #39;s long-term [[myocardial]] safety [[debriefing]].,2
"Restive [[Maldives]] eases [[curfew]] after rounding up [[dissidents]] (AFP) AFP - [[A]] [[curfew]] in the capital of the [[Maldives]] was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and residents said.","Restive [[Fiji]] eases [[lockout]] after rounding up [[opponents]] (AFP) AFP - [[para]] [[lockup]] in the capital of the [[Atoll]] was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and residents said.",0
Atlas Copco to Sell Electric Tool Business Swedish engineering company Atlas Copco [[said]] [[Monday]] it will sell its electric tool business to Hong Kong-based Techtronic Industries Co.,Atlas Copco to Sell Electric Tool Business Swedish engineering company Atlas Copco [[explain]] [[Nowadays]] it will sell its electric tool business to Hong Kong-based Techtronic Industries Co.,2
[[Putin]] signs up Russia for Kyoto pact The [[Kremlin]] said Putin signed a parliament bill late on Thursday confirming Russia #39;s ratification of the protocol. Both chambers of Russia #39;s parliament approved ratification of the pact last month after Putin pointed the [[way]].,[[Moscow]] signs up Russia for Kyoto pact The [[Ussr]] said Putin signed a parliament bill late on Thursday confirming Russia #39;s ratification of the protocol. Both chambers of Russia #39;s parliament approved ratification of the pact last month after Putin pointed the [[routing]].,0
