"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk [[insurCance]] SINGAPORE : The government is extending third-party war risk [[insuarnce]] cover to the Civil [[viation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.012731730937957764,0.7606216669082642,2,0,2,44,"Successful"
"[[Mills]] Grabs \$[[1B]] Portfolio; [[Taubman]] Likely to Lose Contracts Mills Corp. agreed to purchase a [[50]] percent interest in nine [[malls]] owned by [[General]] Motors [[Asset]] Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...","[[Mils]] Grabs \$[[B1]] Portfolio; [[Taubamn]] Likely to Lose Contracts Mills Corp. agreed to purchase a [[T0]] percent interest in nine [[malSls]] owned by [[GenerDl]] Motors [[sset]] Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...",0.002469480037689209,0.6269344091415405,2,3,2,81,"Successful"
"[[Sun]] to shine [[spotlight]] on [[new]] operating [[system]], [[Solaris]] [[10]] [[Sun]] [[Microsystems]] [[SUNW]] is [[expected]] to [[release]] a [[new]] [[version]] of its [[operating]] [[system]] today - a big [[part]] of the struggling computer maker #39;s plan to [[save]] itself.","[[wun]] to shine [[spotEight]] on [[netw]] operating [[ssytem]], [[SolFris]] [[e10]] [[uSn]] [[Micbrosystems]] [[SUNeW]] is [[expecte]] to [[reflease]] a [[mnew]] [[vesion]] of its [[oEerating]] [[sQstem]] today - a big [[par]] of the struggling computer maker #39;s plan to [[Gave]] itself.",0.010750412940979004,0.1727927327156067,3,3,3,130,"Failed"
"[[Fed]] Cup all tied up FRANCE #[[39]];S [[Russian-born]] [[Tatiana]] [[Golovin]] [[left]] the Fed [[Cup]] [[final]] [[hanging]] in the [[balance]] [[today]] as she beat [[Russia]] #[[39]];s [[US]] [[Open]] [[champion]] Svetlana [[Kuznetsova]] [[6-4]], 6-1 to level the [[tie]] at [[2-2]] and take it to the [[final]] [[doubles]] match.","[[Fde]] Cup all tied up FRANCE #[[3]];S [[ussian-born]] [[TStiana]] [[GZlovin]] [[letf]] the Fed [[Cpu]] [[finla]] [[haknging]] in the [[balane]] [[tday]] as she beat [[Rssia]] #[[3t]];s [[UyS]] [[Oen]] [[cshampion]] Svetlana [[KuzCetsova]] [[6-]], 6-1 to level the [[ite]] at -[[2]] and take it to the [[finla]] [[doublFs]] match.",0.0008314847946166992,0.003205716609954834,1,1,1,161,"Failed"
"[[Nokia]] announces [[Near]] [[Field]] Communication products With the Nokia [[NFC]] ([[Near]] Field [[Communication]]) shell on their [[phone]], consumers will be [[able]] to [[access]] a [[variety]] of [[services]] and [[exchange]] [[information]] with a [[simple]] [[touch]] [[gesture]].","[[Nokdia]] announces [[ear]] [[Fielu]] Communication products With the Nokia [[FNC]] ([[Nera]] Field [[Communizcation]]) shell on their [[phoen]], consumers will be [[abel]] to [[oaccess]] a [[variey]] of [[ervices]] and [[eechange]] [[inzformation]] with a [[sBmple]] [[tocuh]] [[gesturG]].",0.008052408695220947,0.0488429069519043,3,3,3,119,"Failed"
"Today in [[Athens]] [[Leontien]] [[Zijlaard-van]] [[Moorsel]] of the [[Netherlands]] wipes a [[tear]] after winning the gold medal in the women #[[39]];s road cycling [[individual]] [[time]] [[trial]] at the [[Vouliagmeni]] [[Olympic]] [[Centre]] in Athens on [[Wednesday]]. ","Today in [[Athfns]] [[Leotien]] [[Zjilaard-van]] [[Morsel]] of the [[Netheralnds]] wipes a [[Xear]] after winning the gold medal in the women #[[i9]];s road cycling [[idnividual]] [[tBime]] [[rtial]] at the [[Vouliagemni]] [[Olypmic]] [[CRentre]] in Athens on [[WedOnesday]]. ",0.0008934140205383301,0.002602696418762207,1,1,1,111,"Failed"
"President Hu congratulates [[Sihamoni]] on [[becoming]] [[king]] of [[Cambodia]] [[Chinese]] President Hu Jintao [[sent]] a message to [[Norodom]] [[Sihamoni]] on [[Thursday]] to [[congratulate]] him on his [[election]] as the [[king]] of [[Cambodia]].","President Hu congratulates [[Siamoni]] on [[becomiag]] [[kAing]] of [[Camobdia]] [[CXhinese]] President Hu Jintao [[sCent]] a message to [[Norodo]] [[Sizamoni]] on [[Thursdyy]] to [[cngratulate]] him on his [[eletcion]] as the [[ikng]] of [[Cambodai]].",0.0015633702278137207,0.9718420505523682,0,3,0,77,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.7401055097579956,0.7401055097579956,2,2,3,1,"Skipped"
"Afghans rocky road to [[historic]] [[elections]] [[KALAKAN]], [[Afghanistan]] There were toothless old [[men]], [[turbaned]] and [[gray-bearded]], and [[young]] [[men]] not [[yet]] [[old]] enough to shave. There were [[mullahs]] and [[mujahedeen]], and the [[presidential]] candidate #39;s 3-year-old son.","Afghans rocky road to [[hzistoric]] [[elecions]] [[tALAKAN]], [[AfghanistRn]] There were toothless old [[me]], [[turbnaed]] and [[gxray-bearded]], and [[Eoung]] [[me]] not [[yKt]] [[ol]] enough to shave. There were [[mullnahs]] and [[mujaUhedeen]], and the [[rpesidential]] candidate #39;s 3-year-old son.",0.0006858110427856445,0.5151816010475159,0,3,0,88,"Successful"
"[[Oil]] [[Prices]] Set a [[New]] Record [[Above]] \$50  [[SINGAPORE]] ([[Reuters]]) - [[Oil]] prices set a new record above \$50  a [[barrel]] on Tuesday as a prolonged U.S. [[production]] [[outage]]  [[following]] [[Hurricane]] [[Ivan]] attracted fresh [[speculative]] buying.","[[OLil]] [[Price]] Set a [[Ne]] Record [[AKbove]] \$50  [[SINGDPORE]] ([[RZuters]]) - [[Ol]] prices set a new record above \$50  a [[Ebarrel]] on Tuesday as a prolonged U.S. [[pHroduction]] [[otuage]]  [[vfollowing]] [[Hurrcane]] [[Ian]] attracted fresh [[specultive]] buying.",0.0013693571090698242,0.5351481437683105,2,3,2,117,"Successful"
"Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' [[still]] being crafted.","Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' [[sJill]] being crafted.",0.028189480304718018,0.03260624408721924,3,3,3,80,"Failed"
"US suspends [[helicopter]] flights after Japan crash ([[AFP]]) [[AFP]] - [[The]] United States [[suspended]] flights of [[CH-53D]] [[military]] [[helicopters]] in Japan, [[bowing]] to protests over a [[crash]] in an Okinawa [[university]] campus.","US suspends [[heIicopter]] flights after Japan crash ([[FP]]) [[AFb]] - [[hTe]] United States [[supsended]] flights of [[CH-5e3D]] [[miliatry]] [[elicopters]] in Japan, [[owing]] to protests over a [[cash]] in an Okinawa [[univesrity]] campus.",0.0008745789527893066,0.659661054611206,0,2,0,92,"Successful"
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being [[Boston]] College's coach. On that day, as the World Trade [[Center]] and Pentagon smoldered and the world stood still, [[O'Brien]] was a Navy man.","Anniversary remembered on [[agme]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being [[Bsoton]] College's coach. On that day, as the World Trade [[Cenetr]] and Pentagon smoldered and the world stood still, [[O'Brie]] was a Navy man.",0.0034263134002685547,0.834399402141571,1,2,1,47,"Successful"
"Viacom, Disney pay \$1.[[5M]] FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the [[Federal]] Communications Commission over claims their [[children]] #[[39]];s [[cable]] [[television]] [[networks]] violated [[advertising]] [[restrictions]], the [[FCC]] [[said]] [[Thursday]].","Viacom, Disney pay \$1.[[H5M]] FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the [[eFderal]] Communications Commission over claims their [[chilrden]] #[[3c9]];s [[Ncable]] [[teelvision]] [[newtorks]] violated [[advermtising]] [[rsetrictions]], the [[FCY]] [[saCid]] [[jThursday]].",0.013916432857513428,0.5050779581069946,2,3,2,101,"Successful"
"[[Pfizer]] Sends [[Out]] [[Update]] [[On]] Drug [[Bextra]] Pfizer Inc. said [[Friday]] that it will [[provide]] [[health-care]] professionals with [[additional]] [[information]] about its [[Bextra]] [[arthritis]] drug and that it will [[conduct]] further studies to [[confirm]] the [[drug]] #[[39]];s [[long-term]] [[cardiovascular]] safety record.","[[Pflizer]] Sends [[Ost]] [[Uqdate]] [[nO]] Drug [[Bexera]] Pfizer Inc. said [[rFiday]] that it will [[providde]] [[health-caXe]] professionals with [[adjitional]] [[informatioMn]] about its [[Bexbra]] [[aNrthritis]] drug and that it will [[condutc]] further studies to [[confiMm]] the [[drgu]] #[[U39]];s [[longterm]] [[cardiovsacular]] safety record.",0.0016499757766723633,0.5070804357528687,2,3,2,105,"Successful"
"[[Phelps]] Seeks More Gold at World Championships  INDIANAPOLIS ([[Reuters]]) - Still riding a wave of euphoria  from the Olympics, Michael [[Phelps]] returns to the pool this week  at the world short course [[swimming]] championships seeking a  repeat of his six gold medals in Athens.","[[Qhelps]] Seeks More Gold at World Championships  INDIANAPOLIS ([[Reters]]) - Still riding a wave of euphoria  from the Olympics, Michael [[Phels]] returns to the pool this week  at the world short course [[swimmiMng]] championships seeking a  repeat of his six gold medals in Athens.",0.001602470874786377,0.0024862289428710938,1,1,1,142,"Failed"
