"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt [[extends]] third-party war [[risk]] [[insurance]] SINGAPORE : The government is [[extending]] third-party [[war]] [[risk]] insurance [[cover]] to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt [[widen]] third-party war [[peril]] [[policy]] SINGAPORE : The government is [[protract]] third-party [[warfare]] [[endangerment]] insurance [[shroud]] to the Civil [[air]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.17494475841522217,0.8107572197914124,2,0,2,270,"Successful"
"Mills Grabs \$1B Portfolio; Taubman [[Likely]] to [[Lose]] Contracts [[Mills]] [[Corp]]. agreed to purchase a 50 percent [[interest]] in [[nine]] [[malls]] owned by [[General]] Motors [[Asset]] Management Corp. for just over \$1 [[billion]], creating a [[new]] joint venture between the groups. The deal will [[extend]] ...","Mills Grabs \$1B Portfolio; Taubman [[potential]] to [[lose]] Contracts [[grind]] [[corp]]. agreed to purchase a 50 percent [[stake]] in [[IX]] [[center]] owned by [[worldwide]] Motors [[plus]] Management Corp. for just over \$1 [[million]], creating a [[young]] joint venture between the groups. The deal will [[unfold]] ...",0.1857665777206421,0.29156094789505005,2,2,2,494,"Failed"
"[[Sun]] to shine [[spotlight]] on new operating system, Solaris 10 [[Sun]] Microsystems SUNW is [[expected]] to [[release]] a new version of its operating system today - a big part of the struggling computer maker #39;s [[plan]] to [[save]] itself.","[[insolate]] to shine [[spot]] on new operating system, Solaris 10 [[Sunday]] Microsystems SUNW is [[carry]] to [[free]] a new version of its operating system today - a big part of the struggling computer maker #39;s [[program]] to [[economise]] itself.",0.25470423698425293,0.7693593502044678,3,2,3,390,"Successful"
"[[Fed]] [[Cup]] all tied up [[FRANCE]] #39;[[S]] Russian-born Tatiana Golovin [[left]] the Fed [[Cup]] [[final]] [[hanging]] in the balance today as she [[beat]] Russia #39;s US [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to [[level]] the [[tie]] at 2-2 and take it to the final doubles match.","[[Federal]] [[cup]] all tied up [[France]] #39;[[second]] Russian-born Tatiana Golovin [[exit]] the Fed [[transfuse]] [[terminal]] [[fall]] in the balance today as she [[scramble]] Russia #39;s US [[opened]] [[sensation]] Svetlana Kuznetsova 6-4, 6-1 to [[even]] the [[bond]] at 2-2 and take it to the final doubles match.",0.17377805709838867,0.24811363220214844,1,1,1,758,"Failed"
"Nokia [[announces]] [[Near]] [[Field]] Communication products With the Nokia NFC ([[Near]] [[Field]] Communication) shell on their [[phone]], consumers will be able to [[access]] a [[variety]] of [[services]] and [[exchange]] [[information]] with a simple [[touch]] gesture.","Nokia [[denote]] [[most]] [[plain]] Communication products With the Nokia NFC ([[near]] [[subject]] Communication) shell on their [[headphone]], consumers will be able to [[admission]] a [[motley]] of [[servicing]] and [[convert]] [[entropy]] with a simple [[tinct]] gesture.",0.2539401054382324,0.33070802688598633,3,3,3,417,"Failed"
"[[Today]] in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after [[winning]] the gold medal in the women #39;s road [[cycling]] [[individual]] time [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in Athens on [[Wednesday]]. ","[[now]] in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[binge]] after [[fetching]] the gold medal in the women #39;s road [[motorbike]] [[case-by-case]] time [[visitation]] at the Vouliagmeni [[Olympian]] [[centre]] in Athens on [[Wed]]. ",0.17367058992385864,0.5340746641159058,1,1,1,230,"Failed"
"[[President]] Hu congratulates Sihamoni on [[becoming]] king of [[Cambodia]] [[Chinese]] [[President]] Hu Jintao [[sent]] a [[message]] to Norodom Sihamoni on Thursday to congratulate him on his election as the [[king]] of [[Cambodia]].","[[prexy]] Hu congratulates Sihamoni on [[go]] king of [[Kampuchea]] [[Taiwanese]] [[president]] Hu Jintao [[post]] a [[substance]] to Norodom Sihamoni on Thursday to congratulate him on his election as the [[tycoon]] of [[Kampuchea]].",0.17563265562057495,0.21298831701278687,0,0,0,167,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.5913747549057007,0.5913747549057007,2,2,3,1,"Skipped"
"Afghans rocky road to [[historic]] elections KALAKAN, Afghanistan [[There]] were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] men not [[yet]] [[old]] enough to shave. There were [[mullahs]] and [[mujahedeen]], and the presidential [[candidate]] #39;s 3-year-old son.","Afghans rocky road to [[historical]] elections KALAKAN, Afghanistan [[there]] were toothless [[sometime]] [[valet]], turbaned and gray-bearded, and [[Young]] men not [[however]] [[Old]] enough to shave. There were [[Mollah]] and [[mujahideen]], and the presidential [[nominee]] #39;s 3-year-old son.",0.17846614122390747,0.18358421325683594,0,0,0,272,"Failed"
"[[Oil]] [[Prices]] [[Set]] a [[New]] [[Record]] Above \$50  SINGAPORE (Reuters) - Oil [[prices]] [[set]] a [[new]] record above \$50  a barrel on Tuesday as a [[prolonged]] [[U]].[[S]]. production outage  [[following]] Hurricane Ivan [[attracted]] [[fresh]] [[speculative]] [[buying]].","[[crude]] [[Price]] [[mark]] a [[newly]] [[record]] Above \$50  SINGAPORE (Reuters) - Oil [[Price]] [[pose]] a [[unexampled]] record above \$50  a barrel on Tuesday as a [[drawn-out]] [[u]].[[s]]. production outage  [[next]] Hurricane Ivan [[pull]] [[new]] [[high-risk]] [[corrupt]].",0.1539430022239685,0.16945481300354004,2,2,2,596,"Failed"
