original_text,perturbed_text,label
"Les Disques du Crépuscule is an independent record [[label]] [[founded]] in Belgium. The [[label]] was [[founded]] in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent record [[laЬel]] [[fоunded]] in Belgium. The [[laЬel]] was [[foundеd]] in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"Giulia Sergas ([[born]] 26 December 1979) is an Italian [[professional]] [[golfer]], [[currently]] playing on both the LPGA Tour and the Ladies European Tour.","Giulia Sergas ([[brn]] 26 December 1979) is an Italian [[рrofessional]] [[golf]] [[er]], [[currentⅼy]] playing on both the LPGA Tour and the Ladies European Tour.",0
"The [[Brockville]] [[Football]] [[Club]] was a [[team]] that played in the QRFU at the turn of the [[century]]. They had [[great]] success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Quebec]] finals. They won the QRFU Championship in 1900 but lost in the [[Dominion]] Final to the Ottawa [[Rough]] Riders.","The [[Brockvilⅼe]] [[Footbalⅼ]] [[Cl]] [[ub]] was a [[tam]] that played in the QRFU at the turn of the [[centurу]]. They had [[ɡreat]] success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Quebeϲ]] finals. They won the QRFU Championship in 1900 but lost in the [[Dominin]] Final to the Ottawa [[Rogh]] Riders.",0
"[[The]] [[Canal]] [[Latéral]] à la Loire was [[constructed]] between [[1827]] and [[1838]] to [[connect]] the Canal de Briare at Briare and the [[Canal]] [[du]] Centre at Digoin, a [[distance]] of [[196]] km. It replaced the use of the River Loire which had reliability problems [[arising]] from winter [[floods]] and summer droughts. [[Aqueducts]] were [[used]] to cross the River [[Allier]] at Le Guétin (in the [[commune]] of Cuffy) and the River Loire at Digoin, but because of the [[extreme]] [[length]] required, one was not [[built]] to cross the Loire River at [[Briare]] until 1896 when the Briare [[aqueduct]] was constructed.","[[T]] [[he]] [[Cnaal]] [[Latér]] [[al]] à la Loire was [[coոstructed]] between [[1287]] and [[18Ʒ8]] to [[co]] [[nnect]] the Canal de Briare at Briare and the [[Canaⅼ]] [[ԁu]] Centre at Digoin, a [[distanϲe]] of [[1৭6]] km. It replaced the use of the River Loire which had reliability problems [[ariѕing]] from winter [[flоods]] and summer droughts. [[Aqueductѕ]] were [[useԁ]] to cross the River [[Allieⲅ]] at Le Guétin (in the [[comune]] of Cuffy) and the River Loire at Digoin, but because of the [[extreｍe]] [[lengtհ]] required, one was not [[bui]] [[lt]] to cross the Loire River at [[Briaⲅe]] until 1896 when the Briare [[aqueduc𝚝]] was constructed.",2
"The Texas river [[cooter]] ([[Pseudemys]] texana) is a [[species]] of freshwater [[turtle]] native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter native to the state, the other being the Eastern River Cooter.","The Texas river [[coоter]] ([[Pseudemуs]] texana) is a [[sрecies]] of freshwater [[turtⅼe]] native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[sрecies]] of cooter native to the state, the other being the Eastern River Cooter.",3
"[[These]] are the [[results]] of the [[women's]] [[individual]] [[all-around]] [[competition]], [[one]] of [[six]] [[events]] for [[female]] competitors in artistic gymnastics at the [[2000]] Summer Olympics in [[Sydney]]. [[The]] qualification and final [[rounds]] [[took]] place on [[September]] 17 and 21 at the Sydney [[SuperDome]]. [[The]] all-around competition in the discipline of [[women's]] [[artistic]] gymnastics (WAG) was [[marred]] by [[three]] separate scandals. [[The]] vault apparatus was [[set]] incorrectly for more than half of the [[meet]]; consequently many [[gymnasts]] fell or were injured on the [[event]]. [[The]] apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the [[incorrectly]] [[set]] equipment were invited to re-do the event at the end of the [[competition]]. Notably, [[Svetlana]] Khorkina, who led champion [[Andreea]] Răducan by [[nearly]] [[0]].3 in qualifications, was thrown out of [[medal]] contention due to the wrongly measured [[vault]]. Additionally, world [[all-around]] [[silver]] [[medalist]] [[Viktoria]] Karpenko, who led the competition until the [[last]] rotation, was thrown from first place after she stubbed her [[toe]], tripped, and fell out of bounds on her [[floor]] exercise. These are testaments to the upset of the [[entire]] competition. [[Finally]], though not necessarily a favorite for an [[all-around]] [[medal]], Dong Fangxiao was found in 2010 to have been underaged at the [[Sydney]] Olympics. Consequently, all of her results from the [[competition]] - including her [[all-around]] results - were cancelled.","[[Thеse]] are the [[resul𝚝s]] of the [[woｍen's]] [[іndividual]] [[ɑll-around]] [[comp]] [[etition]], [[оne]] of [[ѕix]] [[evеnts]] for [[fem]] [[ale]] competitors in artistic gymnastics at the [[ᒿ000]] Summer Olympics in [[Syԁney]]. [[Thе]] qualification and final [[rоunds]] [[toоk]] place on [[Septembеr]] 17 and 21 at the Sydney [[SuperDoｍe]]. [[T]] [[he]] all-around competition in the discipline of [[women`s]] [[artistiϲ]] gymnastics (WAG) was [[mɑrred]] by [[thⲅee]] separate scandals. [[Thе]] vault apparatus was [[st]] incorrectly for more than half of the [[met]]; consequently many [[gymnastѕ]] fell or were injured on the [[even𝚝]]. [[Thе]] apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the [[iոcorrectly]] [[st]] equipment were invited to re-do the event at the end of the [[competi𝚝ion]]. Notably, [[Svtlana]] Khorkina, who led champion [[Andⲅeea]] Răducan by [[nearⅼy]] [[O]].3 in qualifications, was thrown out of [[meal]] contention due to the wrongly measured [[vɑult]]. Additionally, world [[alⅼ-around]] [[sіlver]] [[medalis𝚝]] [[Viktorіa]] Karpenko, who led the competition until the [[las𝚝]] rotation, was thrown from first place after she stubbed her [[te]], tripped, and fell out of bounds on her [[flor]] exercise. These are testaments to the upset of the [[entiⲅe]] competition. [[Finalⅼy]], though not necessarily a favorite for an [[alⅼ-around]] [[meal]], Dong Fangxiao was found in 2010 to have been underaged at the [[Syԁney]] Olympics. Consequently, all of her results from the [[copetition]] - including her [[ɑll-around]] results - were cancelled.",5
"Mumtaz Mahal (1921 – 1945) was a British [[Thoroughbred]] [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important [[broodmares]] of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British [[ThoroughЬred]] [[racehorѕe]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important [[broodmareѕ]] of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"[[Hong]] Kong [[Tramways]] (Chinese: [[香港電車]]) is a [[tram]] [[system]] in Hong Kong and one of the earliest [[forms]] of public transport in the metropolis. [[Owned]] and operated by [[Veolia]] Transport [[RATP]] Asia, the [[tramway]] [[runs]] on Hong Kong [[Island]] between Shau [[Kei]] Wan and Kennedy Town, with a [[branch]] [[circulating]] through Happy [[Valley]]. Trams in Hong Kong have not only been a [[form]] of commuter transport for over 110 years, but [[also]] a [[major]] tourist attraction and [[one]] of the most [[environmentally]] friendly [[ways]] of [[travelling]] in Hong Kong. The [[tram]] system is the only one in the world operated [[exclusively]] with double-decker trams, and is [[one]] of only three non-heritage tram [[systems]] in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. [[The]] comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","[[Ho]] [[ng]] Kong [[Trɑmways]] (Chinese: [[香港]] [[電車]]) is a [[t]] [[ram]] [[sysetm]] in Hong Kong and one of the earliest [[fоrms]] of public transport in the metropolis. [[Onwed]] and operated by [[Veoⅼia]] Transport [[RAP]] Asia, the [[tramԝay]] [[runѕ]] on Hong Kong [[Islanԁ]] between Shau [[Keі]] Wan and Kennedy Town, with a [[branϲh]] [[circula𝚝ing]] through Happy [[Va]] [[lley]]. Trams in Hong Kong have not only been a [[forｍ]] of commuter transport for over 110 years, but [[alѕo]] a [[majr]] tourist attraction and [[onе]] of the most [[enironmentally]] friendly [[wayѕ]] of [[travеlling]] in Hong Kong. The [[tr]] [[am]] system is the only one in the world operated [[exclusiveⅼy]] with double-decker trams, and is [[onе]] of only three non-heritage tram [[sys𝚝ems]] in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. [[T]] [[he]] comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"[[The]] 1936 [[Marquette]] Golden Avalanche [[football]] [[team]] represented [[Marquette]] University in the [[1936]] [[college]] football [[season]]. Marquette was led by [[long-time]] [[head]] [[coach]] [[Frank]] Murray. The team competed as a football independent and played their home games at [[Marquette]] Stadium in Milwaukee, Wisconsin. The squad finished the season with a 7–2 record after losing to TCU in the inaugural Cotton Bowl Classic.","[[T]] [[he]] 1936 [[Marquet𝚝e]] Golden Avalanche [[fooball]] [[teaｍ]] represented [[Marquet𝚝e]] University in the [[1৭36]] [[colⅼege]] football [[seasoո]]. Marquette was led by [[lon-gtime]] [[heaԁ]] [[ϲoach]] [[Fran𝒌]] Murray. The team competed as a football independent and played their home games at [[Marquet𝚝e]] Stadium in Milwaukee, Wisconsin. The squad finished the season with a 7–2 record after losing to TCU in the inaugural Cotton Bowl Classic.",6
"[[Stadion]] Feijenoord (pronounced [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its nickname De Kuip (pronounced [də ˈkœyp]; the Tub), is a [[stadium]] in [[Rotterdam]], [[Netherlands]] that was [[completed]] in 1937. The name is derived from the area \""Feijenoord\"" in Rotterdam, and from the club with the same name (although the club's name was internationalised to Feyenoord in 1973). [[The]] [[stadium's]] original capacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was renovated again for a capacity of 51,117. In 1999, a significant amount of restoration and interior work took place at the stadium prior to its use as a venue in the Euro 2000 tournament, although capacity was largely unaffected.","[[Stɑdion]] Feijenoord (pronounced [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its nickname De Kuip (pronounced [də ˈkœyp]; the Tub), is a [[stɑdium]] in [[Rotterdɑm]], [[Netherlandѕ]] that was [[competed]] in 1937. The name is derived from the area \""Feijenoord\"" in Rotterdam, and from the club with the same name (although the club's name was internationalised to Feyenoord in 1973). [[T]] [[he]] [[stɑdium's]] original capacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was renovated again for a capacity of 51,117. In 1999, a significant amount of restoration and interior work took place at the stadium prior to its use as a venue in the Euro 2000 tournament, although capacity was largely unaffected.",2
