original_text,perturbed_text,label
"Fed [[Cup]] all [[tied]] up FRANCE #39;S [[Russian-born]] [[Tatiana]] [[Golovin]] [[left]] the Fed Cup [[final]] hanging in the balance [[today]] as she [[beat]] [[Russia]] #39;s US Open champion Svetlana Kuznetsova 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles match.","Fed [[Cսp]] all [[tіed]] up FRANCE #39;S [[Rսssian-born]] [[Tatiaոa]] [[Goovin]] [[le𝚏t]] the Fed Cup [[𝚏inal]] hanging in the balance [[todɑy]] as she [[beɑt]] [[Rus]] [[sia]] #39;s US Open champion Svetlana Kuznetsova 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles match.",1
Govt. to Test New Air Passenger [[Screening]] Program The US government [[unveiled]] plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.,Govt. to Test New Air Passenger [[Screeոing]] Program The US government [[uneiled]] plans on Thursday for a revised [[comрuter-based]] program using personal information to identify airline passengers who may pose a threat to air travel.,3
"Anniversary remembered on [[game]] day [[When]] the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston [[College's]] [[coach]]. On that day, as the [[World]] Trade [[Center]] and Pentagon smoldered and the [[world]] stood still, O'Brien was a Navy man.","Anniversary remembered on [[gamе]] day [[W]] [[hen]] the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston [[College`s]] [[coacհ]]. On that day, as the [[Word]] Trade [[Ceոter]] and Pentagon smoldered and the [[worlԁ]] stood still, O'Brien was a Navy man.",1
"Restive Maldives eases [[curfew]] after rounding up dissidents ([[AFP]]) [[AFP]] - A curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last [[week's]] riots, officials and [[residents]] said.","Restive Maldives eases [[cur𝚏ew]] after rounding up dissidents ([[A]] [[FP]]) [[AP]] - A curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last [[wee'ks]] riots, officials and [[residen𝚝s]] said.",0
President Hu [[congratulates]] Sihamoni on [[becoming]] [[king]] of Cambodia Chinese President Hu [[Jintao]] sent a [[message]] to [[Norodom]] Sihamoni on Thursday to congratulate him on his election as the [[king]] of Cambodia.,President Hu [[congⲅatulates]] Sihamoni on [[becoｍing]] [[𝒌ing]] of Cambodia Chinese President Hu [[Jin]] [[tao]] sent a [[messɑge]] to [[Noro]] [[dom]] Sihamoni on Thursday to congratulate him on his election as the [[kinɡ]] of Cambodia.,0
"Cingular Sales Rise in Quarter, but Profit Falls [[18]] Percent By Bloomberg News. Cingular [[Wireless]], which is buying AT [[amp]];T Wireless, said yesterday that third-quarter sales rose 4.9 [[percent]], to \$4.","Cingular Sales Rise in Quarter, but Profit Falls [[1Ȣ]] Percent By Bloomberg News. Cingular [[Wiⲅeless]], which is buying AT [[ɑmp]];T Wireless, said yesterday that third-quarter sales rose 4.9 [[рercent]], to \$4.",2
"[[Colombia]] reveals plot to assassinate Bush Colombian [[rebels]] [[plotted]] to assassinate George Bush during his brief stopover in the [[port]] of Cartagena last week, according to the [[country]] #39;s [[defence]] [[minister]].","[[Coloｍbia]] reveals plot to assassinate Bush Colombian [[rebles]] [[plotteԁ]] to assassinate George Bush during his brief stopover in the [[por𝚝]] of Cartagena last week, according to the [[counrty]] #39;s [[defeոce]] [[ｍinister]].",0
Malaysia #39;s Anwar Returns to Hero #39;s Welcome Malaysia #39;s former deputy prime [[minister]] Anwar Ibrahim has come home to a rock star #39;s welcome Sunday. He returned from undergoing back surgery in Germany following his release from prison last month.,Malaysia #39;s Anwar Returns to Hero #39;s Welcome Malaysia #39;s former deputy prime [[m]] [[inister]] Anwar Ibrahim has come home to a rock star #39;s welcome Sunday. He returned from undergoing back surgery in Germany following his release from prison last month.,0
[[Disney]] Rules Out New [[Deal]] with Pixar Studios In January Disney and [[Pixar]] [[terminated]] their talks to extend a distribution partnership that has created such cartoon hits as  [[quot]];Finding [[Nemo]] quot; and the  quot;Toy Story quot; series.,[[Diseny]] Rules Out New [[Dal]] with Pixar Studios In January Disney and [[Pixɑr]] [[𝚝erminated]] their talks to extend a distribution partnership that has created such cartoon hits as  [[quоt]];Finding [[Nmo]] quot; and the  quot;Toy Story quot; series.,2
"[[Flight]] From [[Keys]] Begins as Gusts Whip Jamaica As Hurricane Ivan began to [[lash]] Jamaica with wind and rain, officials in Florida stepped up their [[evacuation]] [[efforts]].","[[Fⅼight]] From [[Kes]] Begins as Gusts Whip Jamaica As Hurricane Ivan began to [[lsh]] Jamaica with wind and rain, officials in Florida stepped up their [[eѵacuation]] [[ef𝚏orts]].",0
