"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending [[third-party]] war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[assurance]] SINGAPORE : The government is extending [[national]] war risk [[assurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[airport]] group.",0.29525643587112427,0.7839527130126953,2,0,2,59,"Successful"
"Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills [[Corp]]. agreed to purchase a 50 percent interest in nine malls owned by General Motors [[Asset]] [[Management]] Corp. for just over \$1 billion, [[creating]] a new joint venture between the [[groups]]. [[The]] deal will extend ...","Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills [[holdings]]. agreed to purchase a 50 percent interest in nine malls owned by General Motors [[holdings]] [[management]] Corp. for just over \$1 billion, [[establishing]] a new joint venture between the [[group]]. [[which]] deal will extend ...",0.13716816902160645,0.14970892667770386,2,2,2,119,"Failed"
"Fed Cup all tied up FRANCE #39;[[S]] Russian-born Tatiana [[Golovin]] left the Fed Cup final hanging in the balance [[today]] as she [[beat]] Russia #39;s US [[Open]] champion Svetlana [[Kuznetsova]] 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles [[match]].","Fed Cup all tied up FRANCE #39;[[switzerland]] Russian-born Tatiana [[beg]] left the Fed Cup final hanging in the balance [[tonight]] as she [[beating]] Russia #39;s US [[wta]] champion Svetlana [[rch]] 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles [[bracket]].",0.1630086898803711,0.19086003303527832,1,1,1,100,"Failed"
"Today in Athens Leontien Zijlaard-van [[Moorsel]] of the Netherlands wipes a tear after winning the [[gold]] medal in the women #39;s road cycling individual time [[trial]] at the Vouliagmeni Olympic Centre in Athens on Wednesday. ","Today in Athens Leontien Zijlaard-van [[der]] of the Netherlands wipes a tear after winning the [[lead]] medal in the women #39;s road cycling individual time [[honored]] at the Vouliagmeni Olympic Centre in Athens on Wednesday. ",0.1589210033416748,0.1668320894241333,1,1,1,90,"Failed"
"Sun to shine spotlight on new operating [[system]], Solaris 10 [[Sun]] Microsystems SUNW is expected to release a new [[version]] of its operating system today - a big [[part]] of the struggling computer maker #39;s plan to save itself.","Sun to shine spotlight on new operating [[is]], Solaris 10 [[sun]] Microsystems SUNW is expected to release a new [[part]] of its operating system today - a big [[sign]] of the struggling computer maker #39;s plan to save itself.",0.28826284408569336,0.3014425039291382,3,3,3,62,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.8067016005516052,0.8067016005516052,2,2,3,1,"Skipped"
"[[President]] Hu congratulates Sihamoni on [[becoming]] king of Cambodia Chinese [[President]] [[Hu]] Jintao [[sent]] a message to Norodom Sihamoni on Thursday to congratulate him on his election as the [[king]] of [[Cambodia]].","[[presidents]] Hu congratulates Sihamoni on [[taking]] king of Cambodia Chinese [[chairman]] [[hu]] Jintao [[leaves]] a message to Norodom Sihamoni on Thursday to congratulate him on his election as the [[viceroy]] of [[cambodia]].",0.11813688278198242,0.12490838766098022,0,0,0,76,"Failed"
"Afghans [[rocky]] road to historic elections KALAKAN, Afghanistan There were toothless old [[men]], turbaned and gray-bearded, and young men not yet old [[enough]] to shave. [[There]] were mullahs and mujahedeen, and the presidential [[candidate]] #39;s 3-year-old son.","Afghans [[mountain]] road to historic elections KALAKAN, Afghanistan There were toothless old [[ladies]], turbaned and gray-bearded, and young men not yet old [[where]] to shave. [[those]] were mullahs and mujahedeen, and the presidential [[elect]] #39;s 3-year-old son.",0.11688226461410522,0.12113934755325317,0,0,0,78,"Failed"
"Oil Prices Set a New Record [[Above]] \$50  SINGAPORE ([[Reuters]]) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged U.S. production [[outage]]  following Hurricane Ivan attracted fresh speculative buying.","Oil Prices Set a New Record [[surpassing]] \$50  SINGAPORE ([[[UNK]]]) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged U.S. production [[shortage]]  following Hurricane Ivan attracted fresh speculative buying.",0.15145879983901978,0.17712843418121338,2,2,2,52,"Failed"
"Sun's Looking Glass [[Provides]] 3D View Developers get early code for new [[operating]] system 'skin' still being crafted.","Sun's Looking Glass [[provides]] 3D View Developers get early code for new [[based]] system 'skin' still being crafted.",0.2750595211982727,0.2765028476715088,3,3,3,24,"Failed"
"[[Nokia]] announces Near Field Communication products With the Nokia NFC (Near [[Field]] [[Communication]]) shell on their [[phone]], consumers will be able to access a [[variety]] of services and exchange information with a simple touch gesture.","[[bt]] announces Near Field Communication products With the Nokia NFC (Near [[area]] [[communications]]) shell on their [[telephone]], consumers will be able to access a [[lot]] of services and exchange information with a simple touch gesture.",0.2754783630371094,0.28432005643844604,3,3,3,84,"Failed"
"US suspends helicopter flights after Japan [[crash]] (AFP) AFP - The United States suspended flights of [[CH-53D]] military helicopters in [[Japan]], bowing to protests over a crash in an [[Okinawa]] [[university]] campus.","US suspends helicopter flights after Japan [[airlines]] (AFP) AFP - The United States suspended flights of [[boeing]] military helicopters in [[japan]], bowing to protests over a crash in an [[oricon]] [[campus]] campus.",0.13445472717285156,0.30294269323349,0,0,0,89,"Failed"
"Anniversary remembered on game day [[When]] the attacks [[came]] on Sept. 11, 2001, Tom O'Brien, if only for a [[moment]], stopped being Boston [[College's]] coach. On that [[day]], as the World [[Trade]] Center and [[Pentagon]] [[smoldered]] and the world stood still, O'Brien was a Navy [[man]].","Anniversary remembered on game day [[then]] the attacks [[increased]] on Sept. 11, 2001, Tom O'Brien, if only for a [[sec]], stopped being Boston [[university]] coach. On that [[days]], as the World [[trade]] Center and [[pentagon]] [[merged]] and the world stood still, O'Brien was a Navy [[employee]].",0.14387279748916626,0.17160630226135254,1,1,1,171,"Failed"
"[[Viacom]], Disney pay \$1.5M FCC fine Disney and Viacom [[agreed]] to a fine of \$1.5 million from the Federal [[Communications]] Commission over claims their children #39;s [[cable]] television networks violated advertising [[restrictions]], the FCC [[said]] Thursday.","[[television]], Disney pay \$1.5M FCC fine Disney and Viacom [[access]] to a fine of \$1.5 million from the Federal [[communication]] Commission over claims their children #39;s [[x]] television networks violated advertising [[limitations]], the FCC [[says]] Thursday.",0.231065571308136,0.44553935527801514,2,2,2,102,"Failed"
"Pfizer Sends [[Out]] [[Update]] [[On]] [[Drug]] Bextra Pfizer [[Inc]]. said Friday that it will provide health-care professionals with [[additional]] [[information]] about its Bextra arthritis drug and that it will [[conduct]] further studies to confirm the drug #39;s long-term [[cardiovascular]] safety record.","Pfizer Sends [[out]] [[updates]] [[on]] [[drug]] Bextra Pfizer [[dr]]. said Friday that it will provide health-care professionals with [[further]] [[info]] about its Bextra arthritis drug and that it will [[release]] further studies to confirm the drug #39;s long-term [[ized]] safety record.",0.15805238485336304,0.38811302185058594,2,2,2,98,"Failed"
"Restive [[Maldives]] [[eases]] curfew after [[rounding]] up dissidents (AFP) AFP - [[A]] curfew in the capital of the Maldives was [[eased]] but parliament sessions were put off indefinitely and [[emergency]] rule continued following last week's riots, officials and residents said.","Restive [[ness]] [[ers]] curfew after [[rounded]] up dissidents (AFP) AFP - [[maldives]] curfew in the capital of the Maldives was [[postponed]] but parliament sessions were put off indefinitely and [[home]] rule continued following last week's riots, officials and residents said.",0.11772507429122925,0.12083214521408081,0,0,0,193,"Failed"
