"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt [[extends]] third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt [[encompasses]] third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.42263662815093994,0.5073651671409607,2,3,2,72,"Successful"
"Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts [[Mills]] Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 [[billion]], creating a new joint venture between the [[groups]]. The [[deal]] will [[extend]] ...","Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts [[Windmill]] Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 [[trillion]], creating a new joint venture between the [[syndicates]]. The [[processed]] will [[augment]] ...",0.16988366842269897,0.5395851135253906,2,3,2,174,"Successful"
"Sun to shine spotlight on new [[operating]] system, Solaris 10 Sun Microsystems SUNW is expected to [[release]] a new version of its operating system today - a big part of the struggling [[computer]] maker #39;s plan to save itself.","Sun to shine spotlight on new [[operate]] system, Solaris 10 Sun Microsystems SUNW is expected to [[rejections]] a new version of its operating system today - a big part of the struggling [[devices]] maker #39;s plan to save itself.",0.15993624925613403,0.5491091012954712,3,2,3,125,"Successful"
"[[Fed]] [[Cup]] all [[tied]] up [[FRANCE]] #39;S Russian-born [[Tatiana]] Golovin [[left]] the [[Fed]] [[Cup]] [[final]] [[hanging]] in the balance [[today]] as she [[beat]] Russia #39;s [[US]] [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to [[level]] the [[tie]] at 2-2 and [[take]] it to the [[final]] [[doubles]] [[match]].","[[Energized]] [[Championship]] all [[thereto]] up [[FRANCIA]] #39;S Russian-born [[Svetlana]] Golovin [[gauche]] the [[Stimulated]] [[Coupe]] [[conclusive]] [[adjourned]] in the balance [[yesterday]] as she [[dominating]] Russia #39;s [[AMERICANS]] [[Tennis]] [[proponent]] Svetlana Kuznetsova 6-4, 6-1 to [[echelons]] the [[ties]] at 2-2 and [[adopting]] it to the [[last]] [[folding]] [[matches]].",0.009564995765686035,0.5557528734207153,1,0,1,564,"Successful"
"Nokia [[announces]] [[Near]] [[Field]] [[Communication]] products [[With]] the [[Nokia]] NFC ([[Near]] Field [[Communication]]) [[shell]] on their [[phone]], [[consumers]] will [[be]] able to [[access]] a [[variety]] of [[services]] and [[exchange]] [[information]] with a simple touch [[gesture]].","Nokia [[announced]] [[Around]] [[Territories]] [[Communications]] products [[For]] the [[Motorola]] NFC ([[Narrowly]] Field [[Communications]]) [[bombardments]] on their [[called]], [[consuming]] will [[represented]] able to [[accessed]] a [[multi]] of [[serve]] and [[share]] [[informations]] with a simple touch [[posturing]].",0.017207443714141846,0.42296117544174194,3,3,3,683,"Failed"
"Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a tear after [[winning]] the gold [[medal]] in the women #39;s [[road]] cycling [[individual]] [[time]] [[trial]] at the Vouliagmeni Olympic Centre in Athens on [[Wednesday]]. ","Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a tear after [[triumphant]] the gold [[adornment]] in the women #39;s [[itineraries]] cycling [[peculiar]] [[dated]] [[prosecute]] at the Vouliagmeni Olympic Centre in Athens on [[Nowadays]]. ",0.017098069190979004,0.5840426683425903,1,0,1,271,"Successful"
"President [[Hu]] [[congratulates]] Sihamoni on becoming [[king]] of [[Cambodia]] [[Chinese]] [[President]] [[Hu]] Jintao sent a message to Norodom Sihamoni on [[Thursday]] to congratulate him on his [[election]] as the king of Cambodia.","President [[Yutaka]] [[felicitations]] Sihamoni on becoming [[roi]] of [[Thailand]] [[Mandarin]] [[Presidents]] [[Yutaka]] Jintao sent a message to Norodom Sihamoni on [[Wed]] to congratulate him on his [[votes]] as the king of Cambodia.",0.010935723781585693,0.5075323581695557,0,1,0,331,"Successful"
"[[Govt]]. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may [[pose]] a [[threat]] to [[air]] travel.","[[Federal]]. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may [[put]] a [[might]] to [[plane]] travel.",0.1566736102104187,0.6125706434249878,3,2,3,137,"Successful"
"[[Afghans]] rocky [[road]] to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] There were toothless old [[men]], turbaned and gray-bearded, and [[young]] men not yet old enough to shave. There were mullahs and mujahedeen, and the [[presidential]] candidate #39;s 3-year-old [[son]].","[[Pakistani]] rocky [[routed]] to [[historically]] [[selecting]] KALAKAN, [[Iraqi]] There were toothless old [[bulls]], turbaned and gray-bearded, and [[jugend]] men not yet old enough to shave. There were mullahs and mujahedeen, and the [[presided]] candidate #39;s 3-year-old [[threading]].",0.009187161922454834,0.6463860273361206,0,1,0,241,"Successful"
"Sun's Looking [[Glass]] Provides 3D [[View]] [[Developers]] get [[early]] [[code]] for new [[operating]] [[system]] 'skin' still being [[crafted]].","Sun's Looking [[Bottles]] Provides 3D [[Seeing]] [[Supporters]] get [[vite]] [[scrambling]] for new [[labour]] [[plans]] 'skin' still being [[develop]].",0.022604405879974365,0.8908392190933228,3,1,3,268,"Successful"
