original_text,perturbed_text,label
@USER I am a survivor of sexual abuse. This woman is obviously [[lying]]. Believe me you remember every detail. It's so obvious these woman only come forward to hurt conservatives. But who they truly are hurting is innocent men and women who really have been abused. She should be ashamed!,@USER I am a survivor of sexual abuse. This woman is obviously [[lyinɡ]]. Believe me you remember every detail. It's so obvious these woman only come forward to hurt conservatives. But who they truly are hurting is innocent men and women who really have been abused. She should be ashamed!,1
@USER @USER Her life is crappy because she is [[crappy]]. And she’s threatening to kill everyone. [[Another]] [[nut]] [[job]]...Listen up FBI!,@USER @USER Her life is crappy because she is [[crɑppy]]. And she’s threatening to kill everyone. [[Ano𝚝her]] [[nu𝚝]] [[joЬ]]...Listen up FBI!,1
if i have to tolerate ur loud [[ass]] maga merch dont say [[shit]] about my nike anything kiss my [[ass]],if i have to tolerate ur loud [[as]] maga merch dont say [[shi𝚝]] about my nike anything kiss my [[asѕ]],1
"@USER My divorce. Everyone says, [[We're]] not [[picking]] a [[side]]."" And then, they all totally do. Trials of life are [[great]] indicators about the realness of people. It sucks at [[first]], but then the after is [[great]]. #[[EverybodyTalks]]""","@USER My divorce. Everyone says, [[W're]] not [[p]] [[icking]] a [[sdie]]."" And then, they all totally do. Trials of life are [[grеat]] indicators about the realness of people. It sucks at [[fist]], but then the after is [[grеat]]. #[[EverybodyTakls]]""",0
21 [[things]] that [[make]] [[Australia]] a way better [[country]] than the US and I don’t even [[mention]] gun control URL [[URL]],21 [[thigs]] that [[mkae]] [[Autralia]] a way better [[cuntry]] than the US and I don’t even [[mеntion]] gun control URL [[U]] [[RL]],0
@USER @USER You are the In educated [[twat]]! That speed [[crap]] and can’t read obviously🤒!,@USER @USER You are the In educated [[twa𝚝]]! That speed [[crɑp]] and can’t read obviously🤒!,1
"@USER This man is one of the most intelligent highly accomplished Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been [[successfully]] able to have him disowned by his own people. No Black child looks up to this man for inspiration bc to them he doesn't exist URL","@USER This man is one of the most intelligent highly accomplished Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been [[sucϲessfully]] able to have him disowned by his own people. No Black child looks up to this man for inspiration bc to them he doesn't exist URL",0
A [[bitch]] built like that could beat my [[ass]] all she wants URL,A [[bith]] built like that could beat my [[asѕ]] all she wants URL,1
@USER Cue the gun control [[crowd]].,@USER Cue the gun control [[cowd]].,0
@USER She is a Republican [[hypocrite]]!,@USER She is a Republican [[hyporcite]]!,1
@USER @USER [[Not]] all of us Conservatives are that gullible.   Manny has some good points now and then... but when he starts spewing US propaganda .. it sickens me.  He asked for the term and I gave one... He'll have no rebuttal.  You watch.,@USER @USER [[Nоt]] all of us Conservatives are that gullible.   Manny has some good points now and then... but when he starts spewing US propaganda .. it sickens me.  He asked for the term and I gave one... He'll have no rebuttal.  You watch.,0
@USER I believe he is winded! [[Some]] [[nights]] you just don't have it I guess,@USER I believe he is winded! [[Smoe]] [[nigհts]] you just don't have it I guess,0
@USER @USER Mine go drafts too. @USER stop this [[crap]] I'm gathering proof your censoring conservatives,@USER @USER Mine go drafts too. @USER stop this [[ϲrap]] I'm gathering proof your censoring conservatives,1
