"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"@USER @USER @USER @USER @USER Only people that own guns get a say on what to do about gun control.","@USER @USER @USER @USER @USER Only people that own guns get a say on what to do about gun control.",0.8848352432250977,0.8848352432250977,0,0,1,1,"Skipped"
"#Tories #[[Labour]] #[[GE2017]] #[[Conservatives]] Conservatives URL [[theresa_may]]: [[Since]] my very first day in [[10DowningStreet]] I’ve [[made]] it my [[personal]] [[mission]] to [[fix]] our broken housing system. Doing so [[underpins]] so much of what this Government is… [[URL]]","#Tories #[[Labоur]] #[[GE207]] #[[Consеrvatives]] Conservatives URL [[therеsa_may]]: [[Snice]] my very first day in [[1DowningStreet]] I’ve [[mae]] it my [[рersonal]] [[mis]] [[sion]] to [[f]] [[ix]] our broken housing system. Doing so [[undеrpins]] so much of what this Government is… [[UL]]",0.0641016960144043,0.4637327790260315,0,0,0,131,"Failed"
"@USER @USER @USER No he was not! He scary as hell thats what he is!","@USER @USER @USER No he was not! He scary as hell thats what he is!",0.8264028429985046,0.8264028429985046,1,1,0,1,"Skipped"
"@USER @USER @USER I’ll accept your framing if you accept that it’s perfectly legit for me to say Vox contributes [[meaningfully]] to [[Antifa]] violence and the [[internment]] of Uighur Muslims in China. Call it a [[deal]]","@USER @USER @USER I’ll accept your framing if you accept that it’s perfectly legit for me to say Vox contributes [[meanignfully]] to [[Anti𝚏a]] violence and the [[intеrnment]] of Uighur Muslims in China. Call it a [[del]]",0.1105145812034607,0.5052788853645325,0,1,0,65,"Successful"
"#Loomer Rachel Rollins a Dem running for DA in Boston. [[She]] [[plans]] to decriminalize what she [[calls]] petty crimes (e.g. [[breaking]] and entering) she is running in a crowded field &amp; is being hailed by the media as the [[best]] [[candidate]]. Thanks for doing what “conservatives” refuse to do! URL","#Loomer Rachel Rollins a Dem running for DA in Boston. [[S]] [[he]] [[plɑns]] to decriminalize what she [[ca]] [[lls]] petty crimes (e.g. [[breakiոg]] and entering) she is running in a crowded field &amp; is being hailed by the media as the [[Ьest]] [[cɑndidate]]. Thanks for doing what “conservatives” refuse to do! URL",0.15335798263549805,0.5002356767654419,0,1,0,79,"Successful"
"@USER I'M SO FUCKING READY","@USER I'M SO FUCKING READY",0.7612665891647339,0.7612665891647339,1,1,0,1,"Skipped"
"@USER I am a survivor of [[sexual]] abuse. This woman is obviously [[lying]]. Believe me you remember every detail. It's so obvious these woman only come forward to [[hurt]] [[conservatives]]. But who they truly are hurting is [[innocent]] men and women who really have been abused. She should be ashamed!","@USER I am a survivor of [[ѕexual]] abuse. This woman is obviously [[ⅼying]]. Believe me you remember every detail. It's so obvious these woman only come forward to [[հurt]] [[conservɑtives]]. But who they truly are hurting is [[іnnocent]] men and women who really have been abused. She should be ashamed!",0.26656198501586914,0.5156453847885132,1,0,1,82,"Successful"
"@USER @USER @USER @USER Oh boo you sound so [[ignorant]] with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.","@USER @USER @USER @USER Oh boo you sound so [[ignornat]] with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.",0.4419406056404114,0.8476831316947937,1,0,1,39,"Successful"
"@USER @USER [[Her]] life is [[crappy]] because she is [[crappy]]. [[And]] she’s threatening to kill everyone. [[Another]] [[nut]] [[job]]...[[Listen]] up FBI!","@USER @USER [[Hеr]] life is [[cⲅappy]] because she is [[cⲅappy]]. [[Anԁ]] she’s threatening to kill everyone. [[Anotհer]] [[nu𝚝]] [[ϳob]]...[[Listeո]] up FBI!",0.17646807432174683,0.5317904949188232,1,0,1,67,"Successful"
"@USER But honestly the cameras suck ass they're great if you don't zoom in","@USER But honestly the cameras suck ass they're great if you don't zoom in",0.7389422059059143,0.7389422059059143,1,1,0,1,"Skipped"
"if i have to tolerate ur loud ass maga merch [[dont]] say [[shit]] about my [[nike]] [[anything]] kiss my [[ass]]","if i have to tolerate ur loud ass maga merch [[d]] [[ont]] say [[shіt]] about my [[ոike]] [[ɑnything]] kiss my [[asѕ]]",0.16277599334716797,0.2791339159011841,1,1,1,48,"Failed"
"@USER [[omg]] you are 💕","@USER [[оmg]] you are 💕",0.04895830154418945,0.05926913022994995,0,0,0,5,"Failed"
"@USER You can't lump small l Liberal conservatives in with the far right nutbags.......","@USER You can't lump small l Liberal conservatives in with the far right nutbags.......",0.6995013952255249,0.6995013952255249,1,1,0,1,"Skipped"
"@USER My divorce. Everyone says, [[We're]] not picking a side."" And then, they all totally do. Trials of [[life]] are [[great]] indicators about the [[realness]] of people. [[It]] sucks at first, but then the after is [[great]]. #[[EverybodyTalks]]""","@USER My divorce. Everyone says, [[W'ere]] not picking a side."" And then, they all totally do. Trials of [[lfe]] are [[grat]] indicators about the [[r]] [[ealness]] of people. [[I𝚝]] sucks at first, but then the after is [[ɡreat]]. #[[EverybodуTalks]]""",0.09027320146560669,0.485487163066864,0,0,0,72,"Failed"
"@[[USER]] Follow [[The]] Pen🖋...#[[MAGA]]🇺🇸 It Is Mightier Than The Sword 🗡  #QANON🇺🇸   #WWG1WGA🇺🇸","@[[U]] [[SER]] Follow [[Thе]] Pen🖋...#[[MGAA]]🇺🇸 It Is Mightier Than The Sword 🗡  #QANON🇺🇸   #WWG1WGA🇺🇸",0.09609043598175049,0.1283782720565796,0,0,0,23,"Failed"
"21 [[things]] that [[make]] Australia a way better country than the US and I don’t even [[mention]] gun [[control]] URL URL","21 [[thinɡs]] that [[mkae]] Australia a way better country than the US and I don’t even [[me]] [[ntion]] gun [[cont]] [[rol]] URL URL",0.11960220336914062,0.5459820032119751,0,1,0,50,"Successful"
"@USER @USER You are the In educated [[twat]]! That speed [[crap]] and can’t read obviously🤒!","@USER @USER You are the In educated [[twt]]! That speed [[crɑp]] and can’t read obviously🤒!",0.16015732288360596,0.8979106545448303,1,0,1,26,"Successful"
"@USER This man is one of the most intelligent highly accomplished Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been successfully able to have him disowned by his own people. No Black child looks up to this man for [[inspiration]] bc to them he doesn't exist [[URL]]","@USER This man is one of the most intelligent highly accomplished Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been successfully able to have him disowned by his own people. No Black child looks up to this man for [[inspiratiоn]] bc to them he doesn't exist [[U]] [[RL]]",0.25008469820022583,0.5058562755584717,0,1,0,47,"Successful"
"@[[USER]] @USER Yeah he is","@[[UER]] @USER Yeah he is",0.05570489168167114,0.0568852424621582,0,0,0,6,"Failed"
"A [[bitch]] built like that could beat my ass all she wants [[URL]]","A [[bitcհ]] built like that could beat my ass all she wants [[U]] [[RL]]",0.18282854557037354,0.23346471786499023,1,1,1,19,"Failed"
"@[[USER]] Cue the gun control crowd.","@[[US]] [[ER]] Cue the gun control crowd.",0.10110527276992798,0.33276140689849854,0,0,0,9,"Failed"
"22 kids a day shot in [[USA]] ? statues of [[children]] hiding under desks to silently plead with voters for [[protection]] [[URL]] URL","22 kids a day shot in [[UA]] ? statues of [[chіldren]] hiding under desks to silently plead with voters for [[protectіon]] [[UL]] URL",0.1028602123260498,0.20263713598251343,0,0,0,44,"Failed"
"@USER She is a Republican [[hypocrite]]!","@USER She is a Republican [[hуpocrite]]!",0.1846388578414917,0.9077084064483643,1,0,1,16,"Successful"
"@USER @USER Wow she is nuts!","@USER @USER Wow she is nuts!",0.7751371264457703,0.7751371264457703,1,1,0,1,"Skipped"
"@USER @USER Anything against a [[conservative]] must be believed. Liberals get a [[pass]].","@USER @USER Anything against a [[consеrvative]] must be believed. Liberals get a [[рass]].",0.08928430080413818,0.7650008201599121,0,1,0,39,"Successful"
"@[[USER]] [[If]] you are considering leaving the Republican [[party]] [[PLEASE]] DO. We don't need anymore pretend Republicans interfering with Trump's awesome [[agenda]]. Sounds like you need to just resign.","@[[US]] [[ER]] [[I𝚏]] you are considering leaving the Republican [[prty]] [[PLESE]] DO. We don't need anymore pretend Republicans interfering with Trump's awesome [[ageոda]]. Sounds like you need to just resign.",0.21045070886611938,0.5359847545623779,0,1,0,46,"Successful"
"@USER @USER @USER @USER @USER @USER @USER @USER [[Thank]] you. [[Good]] to see we are [[trying]] this approach in [[addition]] to [[others]]. Too [[often]] this issue is used as an excuse to tax. Please can you report [[updates]] when they [[become]] known? [[Thanks]]. 👍🏻","@USER @USER @USER @USER @USER @USER @USER @USER [[Tha]] [[nk]] you. [[Go]] [[od]] to see we are [[trуing]] this approach in [[adition]] to [[othes]]. Too [[ofen]] this issue is used as an excuse to tax. Please can you report [[սpdates]] when they [[becоme]] known? [[Thɑnks]]. 👍🏻",0.05814957618713379,0.1343408226966858,0,0,0,153,"Failed"
"@USER @USER Not all of us Conservatives are that gullible.   Manny has some good points now and then... but when he starts spewing US propaganda .. it sickens me.  He asked for the term and I gave one... He'll have no rebuttal.  You watch.","@USER @USER Not all of us Conservatives are that gullible.   Manny has some good points now and then... but when he starts spewing US propaganda .. it sickens me.  He asked for the term and I gave one... He'll have no rebuttal.  You watch.",0.6040049195289612,0.6040049195289612,1,1,0,1,"Skipped"
"@[[USER]] [[Take]] a stand against all violence!  [[Talk]] to your ANTIFA friends.","@[[US]] [[ER]] [[T]] [[ake]] a stand against all violence!  [[Tlk]] to your ANTIFA friends.",0.08968323469161987,0.16106241941452026,0,0,0,23,"Failed"
"@[[USER]] @[[USER]] [[Wow]] this was the most civil gun control [[debate]]/arguement [[ive]] even seen on twitter","@[[UER]] @[[UESR]] [[W]] [[ow]] this was the most civil gun control [[deba]] [[te]]/arguement [[i]] [[ve]] even seen on twitter",0.13614332675933838,0.28330397605895996,0,0,0,41,"Failed"
"@USER @USER Mine go drafts too. @USER stop this [[crap]] I'm gathering proof your censoring conservatives","@USER @USER Mine go drafts too. @USER stop this [[ϲrap]] I'm gathering proof your censoring conservatives",0.19362902641296387,0.7056219577789307,1,0,1,21,"Successful"
"@USER Liberals are kind bad [[slow]] at this or they just stalling.","@USER Liberals are kind bad [[slоw]] at this or they just stalling.",0.25136029720306396,0.7086517214775085,0,1,0,14,"Successful"
"@USER I [[believe]] he is winded! [[Some]] nights you just don't have it I guess","@USER I [[belie]] [[ve]] he is winded! [[Sоme]] nights you just don't have it I guess",0.14233821630477905,0.4087178111076355,0,0,0,24,"Failed"
"@USER And when they met he looked at her and said I'm in charge in you're my [[bitch]]. Even though he knew that she is a Domme and was there in that capacity. He tried to control the situation and take over and she had to shut him down and get the hell out of there so she didn't get hurt.","@USER And when they met he looked at her and said I'm in charge in you're my [[bitϲh]]. Even though he knew that she is a Domme and was there in that capacity. He tried to control the situation and take over and she had to shut him down and get the hell out of there so she didn't get hurt.",0.2026677131652832,0.5922185182571411,1,0,1,32,"Successful"
"@[[USER]] @[[USER]] Like Antifa hiding their faces?","@[[U]] [[SER]] @[[USR]] Like Antifa hiding their faces?",0.06851482391357422,0.11781442165374756,0,0,0,12,"Failed"
"@USER @USER Haha true.  Back to your original point... if we all just [[fucking]] drive everything would be fine!","@USER @USER Haha true.  Back to your original point... if we all just [[fսcking]] drive everything would be fine!",0.4018549919128418,0.9281342625617981,1,0,1,23,"Successful"
". . .If you actually d i d expose that, I'd be questioning you.""  She's [[shifting]] a [[little]], exhaling rather shakily. She is tempted to shush him.  (How cheeky). [[URL]]",". . .If you actually d i d expose that, I'd be questioning you.""  She's [[shitfing]] a [[lіttle]], exhaling rather shakily. She is tempted to shush him.  (How cheeky). [[UL]]",0.14095735549926758,0.6610586643218994,0,1,0,40,"Successful"
"@USER @USER @USER Omg what country were you in?? It wasn’t America. But again you liberals will believe ANYTHING","@USER @USER @USER Omg what country were you in?? It wasn’t America. But again you liberals will believe ANYTHING",0.7967725992202759,0.7967725992202759,0,0,1,1,"Skipped"
"@USER @USER @USER She’s confused after all she is only a poor struggling socialist","@USER @USER @USER She’s confused after all she is only a poor struggling socialist",0.5622280836105347,0.5622280836105347,0,0,1,1,"Skipped"
