original_text,perturbed_text,label
"[[Mills]] Grabs \$1B Portfolio; Taubman Likely to Lose [[Contracts]] [[Mills]] Corp. agreed to purchase a 50 percent interest in [[nine]] malls owned by [[General]] Motors Asset Management Corp. for just over \$1 [[billion]], creating a new joint venture between the groups. The deal will extend ...","[[pulverisation]] Grabs \$1B Portfolio; Taubman Likely to Lose [[compact]] [[Mill]] Corp. agreed to purchase a 50 percent interest in [[9]] malls owned by [[worldwide]] Motors Asset Management Corp. for just over \$1 [[1000000000000]], creating a new joint venture between the groups. The deal will extend ...",2
"Nokia [[announces]] [[Near]] [[Field]] Communication products With the Nokia NFC ([[Near]] Field [[Communication]]) [[shell]] on their [[phone]], consumers will be able to access a [[variety]] of [[services]] and [[exchange]] information with a simple [[touch]] [[gesture]].","Nokia [[denote]] [[most]] [[plain]] Communication products With the Nokia NFC ([[close]] Field [[communication]]) [[beat]] on their [[earphone]], consumers will be able to access a [[change]] of [[serving]] and [[substitution]] information with a simple [[match]] [[motion]].",3
Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after [[winning]] the gold [[medal]] in the [[women]] #39;s road [[cycling]] individual [[time]] [[trial]] at the Vouliagmeni Olympic [[Centre]] in Athens on Wednesday. ,Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[charge]] after [[advance]] the gold [[palm]] in the [[woman]] #39;s road [[motorbike]] individual [[clip]] [[visitation]] at the Vouliagmeni Olympic [[sum]] in Athens on Wednesday. ,1
Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may [[pose]] a threat to air travel.,Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may [[affectedness]] a threat to air travel.,3
"Phelps Seeks More [[Gold]] at World Championships  INDIANAPOLIS (Reuters) - [[Still]] [[riding]] a wave of euphoria  from the [[Olympics]], Michael Phelps [[returns]] to the pool this week  at the [[world]] [[short]] course [[swimming]] [[championships]] [[seeking]] a  [[repeat]] of his [[six]] gold medals in Athens.","Phelps Seeks More [[gold]] at World Championships  INDIANAPOLIS (Reuters) - [[stock-still]] [[rally]] a wave of euphoria  from the [[Olympiad]], Michael Phelps [[fall]] to the pool this week  at the [[Earth]] [[suddenly]] course [[naiant]] [[backing]] [[seek]] a  [[repetition]] of his [[VI]] gold medals in Athens.",1
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[plot]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"Viacom, Disney pay \$1.5M FCC [[fine]] Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television [[networks]] [[violated]] advertising restrictions, the FCC said Thursday.","Viacom, Disney pay \$1.5M FCC [[amercement]] Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television [[web]] [[offend]] advertising restrictions, the FCC said Thursday.",2
"Hurricanes soak [[Knight]] Ridder #39;s 3Q [[Knight]] Ridder Inc., publisher of the Miami Herald and the Philadelphia Inquirer, said third-quarter earnings will miss Wall Street estimates due to the impact of three [[recent]] hurricanes on its Florida newspapers.","Hurricanes soak [[horse]] Ridder #39;s 3Q [[dub]] Ridder Inc., publisher of the Miami Herald and the Philadelphia Inquirer, said third-quarter earnings will miss Wall Street estimates due to the impact of three [[Holocene]] hurricanes on its Florida newspapers.",2
"[[Service]] Sector [[Hit]] By [[High]] [[Oil]] [[Costs]] [[Confidence]] in [[service]] firms has been [[hit]] by [[rising]] oil [[prices]] and [[interest]] [[rates]] but [[manufacturers]] have [[seen]] the [[best]] [[rate]] of [[orders]] for [[nine]] [[years]], two surveys [[show]].","[[overhaul]] Sector [[reach]] By [[high]] [[petroleum]] [[price]] [[authority]] in [[help]] firms has been [[score]] by [[develop]] oil [[Price]] and [[worry]] [[rate]] but [[manufacturer]] have [[ascertain]] the [[better]] [[rank]] of [[rank]] for [[9]] [[yr]], two surveys [[picture]].",2
"Alleged U.S. [[Deserter]] [[Set]] to Surrender [[TOKYO]] - Accused U.[[S]]. [[Army]] [[deserter]] Charles Jenkins [[left]] his [[Tokyo]] [[hospital]] for an American military base to [[surrender]] to military authorities [[Saturday]], [[nearly]] 40 [[years]] after he allegedly defected to North [[Korea]]...","Alleged U.S. [[defector]] [[situated]] to Surrender [[Edo]] - Accused U.[[siemens]]. [[USA]] [[ratter]] Charles Jenkins [[depart]] his [[Edo]] [[infirmary]] for an American military base to [[deliver]] to military authorities [[Sat]], [[about]] 40 [[age]] after he allegedly defected to North [[Han-Gook]]...",0
"[[Profit]] Plunges at International Game [[Tech]] International [[Game]] Technology, the world #39;s [[biggest]] [[maker]] of slot machines, Tuesday [[said]] [[said]] [[profit]] for its [[latest]] [[quarter]] [[fell]] [[50]] percent from a [[year]] ago due to a charge for early redemption of debt and a [[tax]] [[adjustment]].","[[net]] Plunges at International Game [[tech]] International [[mettlesome]] Technology, the world #39;s [[self-aggrandizing]] [[Godhead]] of slot machines, Tuesday [[tell]] [[say]] [[net]] for its [[recent]] [[one-fourth]] [[vanish]] [[fifty]] percent from a [[yr]] ago due to a charge for early redemption of debt and a [[task]] [[registration]].",2
