original_text,perturbed_text,label
#Loomer Rachel Rollins a Dem running for DA in Boston. She plans to decriminalize what she calls petty crimes (e.g. breaking and entering) she is running in a crowded field &amp; is being hailed by the media as the best [[candidate]]. [[Thanks]] for doing what “conservatives” refuse to do! [[URL]],#Loomer Rachel Rollins a Dem running for DA in Boston. She plans to decriminalize what she calls petty crimes (e.g. breaking and entering) she is running in a crowded field &amp; is being hailed by the media as the best [[caոdidate]]. [[Thɑnks]] for doing what “conservatives” refuse to do! [[UL]],0
@USER Take a [[stand]] against all violence!  Talk to your ANTIFA [[friends]].,@USER Take a [[sand]] against all violence!  Talk to your ANTIFA [[frends]].,0
@USER I am a survivor of [[sexual]] abuse. This woman is obviously [[lying]]. Believe me you remember every detail. It's so obvious these woman only come forward to hurt conservatives. But who they truly are hurting is [[innocent]] men and women who really have been abused. She should be ashamed!,@USER I am a survivor of [[sexu]] [[al]] abuse. This woman is obviously [[ⅼying]]. Believe me you remember every detail. It's so obvious these woman only come forward to hurt conservatives. But who they truly are hurting is [[innocen𝚝]] men and women who really have been abused. She should be ashamed!,1
@[[USER]] You [[can't]] lump small l [[Liberal]] conservatives in with the far right nutbags.......,@[[UESR]] You [[ca]] [[n't]] lump small l [[Lieral]] conservatives in with the far right nutbags.......,0
"@USER This man is one of the most intelligent highly [[accomplished]] Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been successfully able to have him disowned by his own people. No Black child looks up to this man for [[inspiration]] bc to them he doesn't exist [[URL]]","@USER This man is one of the most intelligent highly [[accompished]] Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been successfully able to have him disowned by his own people. No Black child looks up to this man for [[insp]] [[iration]] bc to them he doesn't exist [[UL]]",0
@USER @USER You are the In educated twat! That speed [[crap]] and can’t read obviously🤒!,@USER @USER You are the In educated twat! That speed [[cⲅap]] and can’t read obviously🤒!,1
A [[bitch]] built like that could beat my [[ass]] all she wants URL,A [[bitϲh]] built like that could beat my [[aѕs]] all she wants URL,1
@USER Cue the gun [[control]] crowd.,@USER Cue the gun [[contr]] [[ol]] crowd.,0
@USER @USER Anything against a conservative [[must]] be [[believed]]. Liberals get a [[pass]].,@USER @USER Anything against a conservative [[muѕt]] be [[belіeved]]. Liberals get a [[рass]].,0
@USER She is a Republican [[hypocrite]]!,@USER She is a Republican [[hуpocrite]]!,1
@USER @USER [[Wow]] she is nuts!,@USER @USER [[Wоw]] she is nuts!,0
@USER If you are [[considering]] leaving the [[Republican]] party [[PLEASE]] DO. We don't need anymore pretend [[Republicans]] interfering with Trump's awesome agenda. Sounds like you need to just resign.,@USER If you are [[consіdering]] leaving the [[Rеpublican]] party [[PLASE]] DO. We don't need anymore pretend [[Repub]] [[licans]] interfering with Trump's awesome agenda. Sounds like you need to just resign.,0
if i have to tolerate ur loud [[ass]] maga merch dont say [[shit]] about my nike anything kiss my [[ass]],if i have to tolerate ur loud [[asѕ]] maga merch dont say [[siht]] about my nike anything kiss my [[aѕs]],1
@USER @USER @USER @USER Oh boo you sound so [[ignorant]] with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.,@USER @USER @USER @USER Oh boo you sound so [[ignornat]] with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.,1
@USER @USER @USER @USER But here is an easy [[chance]] to prove me wrong. Show me one instance where increased [[gun]] control in this country caused a [[decrease]] in crime with guns.,@USER @USER @USER @USER But here is an easy [[chaոce]] to prove me wrong. Show me one instance where increased [[guո]] control in this country caused a [[decreɑse]] in crime with guns.,0
