original_text,perturbed_text,label
@USER @USER @USER I’ll accept your framing if you accept that it’s perfectly legit for me to say Vox contributes [[meaningfully]] to [[Antifa]] violence and the [[internment]] of Uighur Muslims in China. Call it a [[deal]],@USER @USER @USER I’ll accept your framing if you accept that it’s perfectly legit for me to say Vox contributes [[meanignfully]] to [[Anti𝚏a]] violence and the [[intеrnment]] of Uighur Muslims in China. Call it a [[del]],0
#Loomer Rachel Rollins a Dem running for DA in Boston. [[She]] [[plans]] to decriminalize what she [[calls]] petty crimes (e.g. [[breaking]] and entering) she is running in a crowded field &amp; is being hailed by the media as the [[best]] [[candidate]]. Thanks for doing what “conservatives” refuse to do! URL,#Loomer Rachel Rollins a Dem running for DA in Boston. [[S]] [[he]] [[plɑns]] to decriminalize what she [[ca]] [[lls]] petty crimes (e.g. [[breakiոg]] and entering) she is running in a crowded field &amp; is being hailed by the media as the [[Ьest]] [[cɑndidate]]. Thanks for doing what “conservatives” refuse to do! URL,0
@USER I am a survivor of [[sexual]] abuse. This woman is obviously [[lying]]. Believe me you remember every detail. It's so obvious these woman only come forward to [[hurt]] [[conservatives]]. But who they truly are hurting is [[innocent]] men and women who really have been abused. She should be ashamed!,@USER I am a survivor of [[ѕexual]] abuse. This woman is obviously [[ⅼying]]. Believe me you remember every detail. It's so obvious these woman only come forward to [[հurt]] [[conservɑtives]]. But who they truly are hurting is [[іnnocent]] men and women who really have been abused. She should be ashamed!,1
@USER @USER @USER @USER Oh boo you sound so [[ignorant]] with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.,@USER @USER @USER @USER Oh boo you sound so [[ignornat]] with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.,1
@USER @USER [[Her]] life is [[crappy]] because she is [[crappy]]. [[And]] she’s threatening to kill everyone. [[Another]] [[nut]] [[job]]...[[Listen]] up FBI!,@USER @USER [[Hеr]] life is [[cⲅappy]] because she is [[cⲅappy]]. [[Anԁ]] she’s threatening to kill everyone. [[Anotհer]] [[nu𝚝]] [[ϳob]]...[[Listeո]] up FBI!,1
21 [[things]] that [[make]] Australia a way better country than the US and I don’t even [[mention]] gun [[control]] URL URL,21 [[thinɡs]] that [[mkae]] Australia a way better country than the US and I don’t even [[me]] [[ntion]] gun [[cont]] [[rol]] URL URL,0
@USER @USER You are the In educated [[twat]]! That speed [[crap]] and can’t read obviously🤒!,@USER @USER You are the In educated [[twt]]! That speed [[crɑp]] and can’t read obviously🤒!,1
"@USER This man is one of the most intelligent highly accomplished Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been successfully able to have him disowned by his own people. No Black child looks up to this man for [[inspiration]] bc to them he doesn't exist [[URL]]","@USER This man is one of the most intelligent highly accomplished Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been successfully able to have him disowned by his own people. No Black child looks up to this man for [[inspiratiоn]] bc to them he doesn't exist [[U]] [[RL]]",0
@USER She is a Republican [[hypocrite]]!,@USER She is a Republican [[hуpocrite]]!,1
@USER @USER Anything against a [[conservative]] must be believed. Liberals get a [[pass]].,@USER @USER Anything against a [[consеrvative]] must be believed. Liberals get a [[рass]].,0
