"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"@USER @USER @USER @USER @USER Only people that own guns get a say on what to do about gun control.","@USER @USER @USER @USER @USER Only people that own guns get a say on what to do about gun control.",0.9148335456848145,0.9148335456848145,0,0,1,1,"Skipped"
"#Tories #[[Labour]] #[[GE2017]] #[[Conservatives]] [[Conservatives]] URL [[theresa_may]]: [[Since]] my very [[first]] day in 10DowningStreet I’ve made it my personal [[mission]] to fix our broken housing system. Doing so [[underpins]] so much of what this Government is… [[URL]]","#Tories #[[Laboսr]] #[[G2E017]] #[[Consеrvatives]] [[Conservativeѕ]] URL [[theresa_maу]]: [[Sicne]] my very [[frist]] day in 10DowningStreet I’ve made it my personal [[mіssion]] to fix our broken housing system. Doing so [[underpіns]] so much of what this Government is… [[UL]]",0.08437514305114746,0.3201168179512024,0,0,0,107,"Failed"
"@USER @USER @USER No he was not! He scary as hell thats what he is!","@USER @USER @USER No he was not! He scary as hell thats what he is!",0.8226452469825745,0.8226452469825745,1,1,0,1,"Skipped"
"@USER @USER @USER I’ll [[accept]] your [[framing]] if you accept that it’s [[perfectly]] legit for me to [[say]] Vox contributes [[meaningfully]] to [[Antifa]] violence and the internment of Uighur Muslims in [[China]]. Call it a [[deal]]","@USER @USER @USER I’ll [[ɑccept]] your [[framinɡ]] if you accept that it’s [[рerfectly]] legit for me to [[sy]] Vox contributes [[meaninɡfully]] to [[Anti𝚏a]] violence and the internment of Uighur Muslims in [[Cina]]. Call it a [[dal]]",0.15134811401367188,0.4926539659500122,0,0,0,115,"Failed"
"#Loomer Rachel Rollins a Dem running for DA in Boston. She plans to decriminalize what she calls petty crimes (e.g. breaking and entering) she is running in a crowded field &amp; is being hailed by the media as the best [[candidate]]. [[Thanks]] for doing what “conservatives” refuse to do! [[URL]]","#Loomer Rachel Rollins a Dem running for DA in Boston. She plans to decriminalize what she calls petty crimes (e.g. breaking and entering) she is running in a crowded field &amp; is being hailed by the media as the best [[caոdidate]]. [[Thɑnks]] for doing what “conservatives” refuse to do! [[UL]]",0.29955899715423584,0.5744133591651917,0,1,0,52,"Successful"
"@USER Take a [[stand]] against all violence!  Talk to your ANTIFA [[friends]].","@USER Take a [[sand]] against all violence!  Talk to your ANTIFA [[frends]].",0.17724663019180298,0.7301574945449829,0,1,0,26,"Successful"
"@USER I'M SO FUCKING READY","@USER I'M SO FUCKING READY",0.8246725797653198,0.8246725797653198,1,1,0,1,"Skipped"
"@USER I am a survivor of [[sexual]] abuse. This woman is obviously [[lying]]. Believe me you remember every detail. It's so obvious these woman only come forward to hurt conservatives. But who they truly are hurting is [[innocent]] men and women who really have been abused. She should be ashamed!","@USER I am a survivor of [[sexu]] [[al]] abuse. This woman is obviously [[ⅼying]]. Believe me you remember every detail. It's so obvious these woman only come forward to hurt conservatives. But who they truly are hurting is [[innocen𝚝]] men and women who really have been abused. She should be ashamed!",0.32107478380203247,0.508352518081665,1,0,1,59,"Successful"
"@USER @[[USER]] Her life is crappy because she is [[crappy]]. [[And]] she’s threatening to kill [[everyone]]. Another [[nut]] [[job]]...[[Listen]] up FBI!","@USER @[[UER]] Her life is crappy because she is [[carppy]]. [[Anԁ]] she’s threatening to kill [[everyonе]]. Another [[nu𝚝]] [[joЬ]]...[[Listeո]] up FBI!",0.11913591623306274,0.21035850048065186,1,1,1,67,"Failed"
"@USER But honestly the cameras suck ass they're great if you don't zoom in","@USER But honestly the cameras suck ass they're great if you don't zoom in",0.8414167165756226,0.8414167165756226,1,1,0,1,"Skipped"
"@USER My divorce. Everyone says, [[We're]] not picking a side."" And then, they all totally do. [[Trials]] of [[life]] are [[great]] indicators about the [[realness]] of people. [[It]] sucks at first, but then the after is [[great]]. #[[EverybodyTalks]]""","@USER My divorce. Everyone says, [[Were]] not picking a side."" And then, they all totally do. [[Trіals]] of [[lfie]] are [[grеat]] indicators about the [[reɑlness]] of people. [[I𝚝]] sucks at first, but then the after is [[gret]]. #[[EverуbodyTalks]]""",0.20987123250961304,0.4755260944366455,0,0,0,77,"Failed"
"@USER [[omg]] you are 💕","@USER [[omɡ]] you are 💕",0.050230979919433594,0.06846767663955688,0,0,0,5,"Failed"
"@[[USER]] You [[can't]] lump small l [[Liberal]] conservatives in with the far right nutbags.......","@[[UESR]] You [[ca]] [[n't]] lump small l [[Lieral]] conservatives in with the far right nutbags.......",0.24987250566482544,0.500495195388794,0,1,0,32,"Successful"
"21 [[things]] that make Australia a way better country than the US and I don’t even [[mention]] gun control [[URL]] [[URL]]","21 [[thinɡs]] that make Australia a way better country than the US and I don’t even [[mentioո]] gun control [[UL]] [[U]] [[RL]]",0.10881012678146362,0.3963979482650757,0,0,0,36,"Failed"
"@[[USER]] [[Follow]] The Pen🖋...#MAGA🇺🇸 It [[Is]] Mightier Than The Sword 🗡  #QANON🇺🇸   #WWG1WGA🇺🇸","@[[US]] [[ER]] [[Follоw]] The Pen🖋...#MAGA🇺🇸 It [[Iѕ]] Mightier Than The Sword 🗡  #QANON🇺🇸   #WWG1WGA🇺🇸",0.07094496488571167,0.15968561172485352,0,0,0,21,"Failed"
"@USER This man is one of the most intelligent highly [[accomplished]] Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been successfully able to have him disowned by his own people. No Black child looks up to this man for [[inspiration]] bc to them he doesn't exist [[URL]]","@USER This man is one of the most intelligent highly [[accompished]] Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been successfully able to have him disowned by his own people. No Black child looks up to this man for [[insp]] [[iration]] bc to them he doesn't exist [[UL]]",0.2385593056678772,0.5296957492828369,0,1,0,62,"Successful"
"@USER @USER You are the In educated twat! That speed [[crap]] and can’t read obviously🤒!","@USER @USER You are the In educated twat! That speed [[cⲅap]] and can’t read obviously🤒!",0.14303094148635864,0.8415510058403015,1,0,1,19,"Successful"
"22 kids a [[day]] shot in USA ? statues of [[children]] hiding under desks to silently plead with voters for [[protection]] [[URL]] URL","22 kids a [[daу]] shot in USA ? statues of [[chi]] [[ldren]] hiding under desks to silently plead with voters for [[portection]] [[UL]] URL",0.1530301570892334,0.3025621175765991,0,0,0,47,"Failed"
"@USER @[[USER]] Yeah he is","@USER @[[U]] [[SER]] Yeah he is",0.06214737892150879,0.11774039268493652,0,0,0,7,"Failed"
"A [[bitch]] built like that could beat my [[ass]] all she wants URL","A [[bitϲh]] built like that could beat my [[aѕs]] all she wants URL",0.10827893018722534,0.8556767702102661,1,0,1,23,"Successful"
"@USER Cue the gun [[control]] crowd.","@USER Cue the gun [[contr]] [[ol]] crowd.",0.11110037565231323,0.50640869140625,0,1,0,16,"Successful"
"@USER @USER Anything against a conservative [[must]] be [[believed]]. Liberals get a [[pass]].","@USER @USER Anything against a conservative [[muѕt]] be [[belіeved]]. Liberals get a [[рass]].",0.08427727222442627,0.5027239918708801,0,1,0,40,"Successful"
"@USER She is a Republican [[hypocrite]]!","@USER She is a Republican [[hуpocrite]]!",0.20696532726287842,0.8162457942962646,1,0,1,16,"Successful"
"@USER @USER [[Wow]] she is nuts!","@USER @USER [[Wоw]] she is nuts!",0.2983304262161255,0.6816651821136475,0,1,0,8,"Successful"
"@USER If you are [[considering]] leaving the [[Republican]] party [[PLEASE]] DO. We don't need anymore pretend [[Republicans]] interfering with Trump's awesome agenda. Sounds like you need to just resign.","@USER If you are [[consіdering]] leaving the [[Rеpublican]] party [[PLASE]] DO. We don't need anymore pretend [[Repub]] [[licans]] interfering with Trump's awesome agenda. Sounds like you need to just resign.",0.2052299976348877,0.5463489890098572,0,1,0,64,"Successful"
