original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance [[SINGAPORE]] : The government is extending [[third-party]] war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] [[group]].","Singapore govt extends third-party war risk insurance [[KUALA]] : The government is extending [[third-par𝚝y]] war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airways]] [[clusters]].",2
"[[Sun]] to shine spotlight on new operating system, Solaris [[10]] Sun [[Microsystems]] SUNW is [[expected]] to [[release]] a new [[version]] of its operating system today - a big part of the struggling computer maker #[[39]];s plan to save itself.","[[Sunshine]] to shine spotlight on new operating system, Solaris [[1O]] Sun [[Microsys𝚝ems]] SUNW is [[anticipated]] to [[freeing]] a new [[stepping]] of its operating system today - a big part of the struggling computer maker #[[Ʒ9]];s plan to save itself.",3
President Hu congratulates Sihamoni on becoming king of [[Cambodia]] Chinese [[President]] Hu Jintao sent a message to Norodom Sihamoni on Thursday to congratulate him on his election as the king of [[Cambodia]].,President Hu congratulates Sihamoni on becoming king of [[Camboԁia]] Chinese [[Chairman]] Hu Jintao sent a message to Norodom Sihamoni on Thursday to congratulate him on his election as the king of [[Camb]] [[odia]].,0
"[[US]] [[suspends]] helicopter flights after [[Japan]] crash (AFP) [[AFP]] - [[The]] United [[States]] suspended [[flights]] of [[CH-53D]] military [[helicopters]] in [[Japan]], bowing to protests over a crash in an Okinawa university campus.","[[USA]] [[su]] [[spends]] helicopter flights after [[Tokio]] crash (AFP) [[A]] [[FP]] - [[To]] United [[Statеs]] suspended [[theft]] of [[CH-3D]] military [[helo]] in [[Ja]] [[pan]], bowing to protests over a crash in an Okinawa university campus.",0
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston [[College's]] coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gaming]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston [[Cоllege's]] coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"Viacom, Disney pay \$[[1]].5M FCC fine [[Disney]] and Viacom agreed to a fine of \$[[1]].5 million from the Federal Communications Commission over claims their [[children]] #39;s [[cable]] television networks violated [[advertising]] restrictions, the FCC [[said]] Thursday.","Viacom, Disney pay \$[[l]].5M FCC fine [[Disneyworld]] and Viacom agreed to a fine of \$[[l]].5 million from the Federal Communications Commission over claims their [[kid]] #39;s [[cabe]] television networks violated [[advertіsing]] restrictions, the FCC [[stated]] Thursday.",2
"US Airways, Pilots Union Near Agreement US Airways is [[seeking]] \$800 million in [[concessions]] from employee [[unions]] as it [[attempts]] to avoid filing Chapter 11. The [[Air]] [[Line]] [[Pilots]] Association will present its proposal on the evening of ","US Airways, Pilots Union Near Agreement US Airways is [[sekeing]] \$800 million in [[grants]] from employee [[unіons]] as it [[attеmpts]] to avoid filing Chapter 11. The [[A]] [[ir]] [[Bloodline]] [[Demo]] Association will present its proposal on the evening of ",2
"[[Starting]] today, funds' stances on [[proxies]] are matter of record [[Every]] year, [[public]] companies put a number of questions before their stockholders for a vote. Investors weigh in on whether to reelect company directors, reappoint auditors, and approve or kill plans to give big stock option packages to senior executives.","[[Strting]] today, funds' stances on [[proxy]] are matter of record [[E]] [[very]] year, [[puЬlic]] companies put a number of questions before their stockholders for a vote. Investors weigh in on whether to reelect company directors, reappoint auditors, and approve or kill plans to give big stock option packages to senior executives.",2
Movie Studios to [[Sue]] [[Illegal]] [[Film-File]] [[Traders]] Movie studios and the [[Motion]] [[Picture]] Association of America said on Thursday they would sue [[individuals]] suspected of [[illegally]] distributing movies over the Internet.,Movie Studios to [[Sued]] [[Illicit]] [[Fil-File]] [[Trade]] [[rs]] Movie studios and the [[Proposition]] [[Pictures]] Association of America said on Thursday they would sue [[individuaⅼs]] suspected of [[unlawful]] distributing movies over the Internet.,3
Nintendo Returns to Profit (AP) AP - [[Nintendo]] Co. returned to profit in the first half of the fiscal year from a loss a year ago as the Japanese [[video-game]] maker erased foreign exchange losses and turned more profit with [[game-software]] sales.,Nintendo Returns to Profit (AP) AP - [[Ninteno]] Co. returned to profit in the first half of the fiscal year from a loss a year ago as the Japanese [[video-gmae]] maker erased foreign exchange losses and turned more profit with [[gɑme-software]] sales.,3
