"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Aeronautical]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.3264939785003662,0.8334637880325317,2,0,2,65,"Successful"
"Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. agreed to [[purchase]] a 50 percent interest in nine [[malls]] [[owned]] by [[General]] [[Motors]] Asset Management Corp. for just over \$1 [[billion]], creating a [[new]] [[joint]] [[venture]] between the [[groups]]. [[The]] [[deal]] [[will]] [[extend]] ...","Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. agreed to [[procure]] a 50 percent interest in nine [[shopping]] [[own]] by [[Universal]] [[Driver]] Asset Management Corp. for just over \$1 [[trillion]], creating a [[novel]] [[ensemble]] [[enterprise]] between the [[regrouping]]. [[Both]] [[processing]] [[volition]] [[amplify]] ...",0.17870932817459106,0.5749410390853882,2,3,2,385,"Successful"
"Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is [[expected]] to [[release]] a [[new]] [[version]] of its [[operating]] [[system]] today - a big [[part]] of the struggling [[computer]] maker #39;s plan to save itself.","Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is [[forecast]] to [[publicized]] a [[nuevo]] [[printouts]] of its [[operation]] [[systems]] today - a big [[percentage]] of the struggling [[equipment]] maker #39;s plan to save itself.",0.14142978191375732,0.5304468870162964,3,2,3,205,"Successful"
"Fed [[Cup]] all [[tied]] up FRANCE #39;[[S]] Russian-born [[Tatiana]] Golovin [[left]] the Fed [[Cup]] [[final]] hanging in the balance today as she beat Russia #39;s [[US]] [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles match.","Fed [[Football]] all [[embroiled]] up FRANCE #39;[[seconds]] Russian-born [[Natalie]] Golovin [[leaving]] the Fed [[Mug]] [[definitive]] hanging in the balance today as she beat Russia #39;s [[OUR]] [[Startup]] [[slugger]] Svetlana Kuznetsova 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles match.",0.17189329862594604,0.6038057804107666,1,2,1,275,"Successful"
"[[Nokia]] [[announces]] [[Near]] Field [[Communication]] [[products]] [[With]] the [[Nokia]] NFC ([[Near]] Field [[Communication]]) shell on their [[phone]], consumers will be able to access a variety of services and exchange information with a simple [[touch]] gesture.","[[Motorola]] [[advertising]] [[Neighborhood]] Field [[Disseminate]] [[commodities]] [[At]] the [[Motorola]] NFC ([[Roundabout]] Field [[Imparting]]) shell on their [[dialling]], consumers will be able to access a variety of services and exchange information with a simple [[poked]] gesture.",0.11682987213134766,0.7747137546539307,3,2,3,394,"Successful"
"[[Today]] in [[Athens]] Leontien Zijlaard-van Moorsel of the [[Netherlands]] [[wipes]] a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #39;s road cycling [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in [[Athens]] on [[Wednesday]]. ","[[Dates]] in [[Parthenon]] Leontien Zijlaard-van Moorsel of the [[Holland]] [[swabbing]] a [[torn]] after [[conquered]] the [[oro]] [[kaleidoscope]] in the [[females]] #39;s road cycling [[alone]] [[minute]] [[courthouse]] at the Vouliagmeni [[Olimpia]] [[Stations]] in [[Acropolis]] on [[Wed]]. ",0.15577620267868042,0.8214806318283081,1,3,1,390,"Successful"
"[[President]] [[Hu]] congratulates Sihamoni on becoming king of [[Cambodia]] [[Chinese]] [[President]] [[Hu]] Jintao sent a message to Norodom Sihamoni on [[Thursday]] to [[congratulate]] him on his [[election]] as the [[king]] of [[Cambodia]].","[[Jefe]] [[Wook]] congratulates Sihamoni on becoming king of [[Minh]] [[Wah]] [[Armchair]] [[Yoon]] Jintao sent a message to Norodom Sihamoni on [[Thu]] to [[appreciative]] him on his [[voter]] as the [[kung]] of [[Phnom]].",0.13253378868103027,0.6021087169647217,0,3,0,343,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.840910792350769,0.840910792350769,2,2,3,1,"Skipped"
"Afghans rocky road to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] There were toothless old men, turbaned and gray-bearded, and [[young]] [[men]] not yet [[old]] enough to [[shave]]. There were mullahs and mujahedeen, and the [[presidential]] [[candidate]] #39;s 3-year-old [[son]].","Afghans rocky road to [[story]] [[selections]] KALAKAN, [[Iraqi]] There were toothless old men, turbaned and gray-bearded, and [[teen]] [[dudes]] not yet [[alumni]] enough to [[razor]]. There were mullahs and mujahedeen, and the [[preside]] [[bidders]] #39;s 3-year-old [[filho]].",0.1314118504524231,0.761058509349823,0,1,0,249,"Successful"
"[[Oil]] [[Prices]] Set a [[New]] Record [[Above]] \$50  SINGAPORE (Reuters) - Oil [[prices]] [[set]] a [[new]] [[record]] above \$50  a [[barrel]] on [[Tuesday]] as a prolonged U.S. [[production]] [[outage]]  following [[Hurricane]] [[Ivan]] [[attracted]] [[fresh]] speculative [[buying]].","[[Yau]] [[Expenditures]] Set a [[Updated]] Record [[Avant]] \$50  SINGAPORE (Reuters) - Oil [[primes]] [[defines]] a [[updated]] [[document]] above \$50  a [[barrels]] on [[Thu]] as a prolonged U.S. [[generates]] [[stoppage]]  following [[Thunderstorms]] [[Ioan]] [[attractiveness]] [[costa]] speculative [[pandering]].",0.1743612289428711,0.5964200496673584,2,3,2,510,"Successful"
"Sun's Looking Glass [[Provides]] 3D [[View]] [[Developers]] get [[early]] [[code]] for new operating system 'skin' still being [[crafted]].","Sun's Looking Glass [[Entrusts]] 3D [[Belvedere]] [[Architects]] get [[vite]] [[scrambling]] for new operating system 'skin' still being [[constructed]].",0.10988211631774902,0.6611534953117371,3,2,3,238,"Successful"
"[[Phelps]] [[Seeks]] [[More]] [[Gold]] at [[World]] [[Championships]]  [[INDIANAPOLIS]] (Reuters) - [[Still]] [[riding]] a [[wave]] of [[euphoria]]  from the Olympics, [[Michael]] [[Phelps]] [[returns]] to the [[pool]] this [[week]]  at the [[world]] [[short]] [[course]] [[swimming]] [[championships]] [[seeking]] a  [[repeat]] of his six [[gold]] [[medals]] in [[Athens]].","[[Philipp]] [[Aspired]] [[Largest]] [[Kim]] at [[Mundos]] [[Championship]]  [[YOUNGSTOWN]] (Reuters) - [[Alternately]] [[racehorse]] a [[streak]] of [[elation]]  from the Olympics, [[Michelle]] [[Philip]] [[takings]] to the [[ponds]] this [[cabbage]]  at the [[mundo]] [[shortest]] [[estrada]] [[swimmers]] [[copa]] [[tries]] a  [[repetitive]] of his six [[kim]] [[awards]] in [[Parthenon]].",0.1684170365333557,0.361267626285553,1,1,1,602,"Failed"
"[[US]] suspends helicopter flights after [[Japan]] [[crash]] (AFP) AFP - The United [[States]] suspended [[flights]] of CH-53D military helicopters in [[Japan]], bowing to protests over a [[crash]] in an [[Okinawa]] university campus.","[[WE]] suspends helicopter flights after [[Nagoya]] [[collision]] (AFP) AFP - The United [[Argues]] suspended [[aviation]] of CH-53D military helicopters in [[Tokio]], bowing to protests over a [[collision]] in an [[Osaka]] university campus.",0.12252151966094971,0.7532657384872437,0,3,0,247,"Successful"
"[[Anniversary]] [[remembered]] on [[game]] [[day]] [[When]] the attacks [[came]] on [[Sept]]. 11, 2001, [[Tom]] O'Brien, if only for a [[moment]], [[stopped]] being Boston College's coach. On that day, as the [[World]] Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","[[Fiftieth]] [[rappel]] on [[gaming]] [[date]] [[Where]] the attacks [[infiltrated]] on [[Seventh]]. 11, 2001, [[Tony]] O'Brien, if only for a [[clocking]], [[arrests]] being Boston College's coach. On that day, as the [[Planet]] Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",0.16567224264144897,0.6850626468658447,1,3,1,321,"Successful"
"Viacom, [[Disney]] [[pay]] \$1.5M FCC fine Disney and Viacom [[agreed]] to a fine of \$1.5 million from the [[Federal]] Communications Commission over claims their children #39;s [[cable]] television networks violated [[advertising]] restrictions, the FCC said Thursday.","Viacom, [[Disneyworld]] [[therapies]] \$1.5M FCC fine Disney and Viacom [[subscribed]] to a fine of \$1.5 million from the [[Governmental]] Communications Commission over claims their children #39;s [[wire]] television networks violated [[adverts]] restrictions, the FCC said Thursday.",0.19080477952957153,0.8591494560241699,2,3,2,204,"Successful"
"Pfizer Sends Out Update On [[Drug]] Bextra Pfizer Inc. said Friday that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the drug #39;s long-term cardiovascular [[safety]] [[record]].","Pfizer Sends Out Update On [[Xanax]] Bextra Pfizer Inc. said Friday that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the drug #39;s long-term cardiovascular [[safe]] [[records]].",0.20194530487060547,0.6125519871711731,2,3,2,150,"Successful"
"Restive Maldives [[eases]] curfew after rounding up dissidents (AFP) AFP - [[A]] curfew in the [[capital]] of the Maldives was [[eased]] but parliament [[sessions]] were put off indefinitely and [[emergency]] rule continued following last week's [[riots]], [[officials]] and residents [[said]].","Restive Maldives [[simplifies]] curfew after rounding up dissidents (AFP) AFP - [[para]] curfew in the [[funding]] of the Maldives was [[minimize]] but parliament [[conferences]] were put off indefinitely and [[emergencies]] rule continued following last week's [[upheaval]], [[functionaries]] and residents [[submits]].",0.13103359937667847,0.6269322633743286,0,3,0,317,"Successful"
"[[Report]]: [[Israeli]] [[army]] [[mistakenly]] [[kills]] [[three]] Egyptian [[soldiers]] [[JERUSALEM]] [[A]] [[preliminary]] [[Israeli]] [[army]] [[investigation]] [[has]] [[found]] that [[Israeli]] [[troops]] [[apparently]] [[killed]] [[three]] Egyptian [[soldiers]] by [[mistake]], [[thinking]] they were Palestinian [[militants]] along the Gaza-Egypt [[border]].","[[Info]]: [[Jew]] [[kraft]] [[erroneously]] [[fatalities]] [[two]] Egyptian [[guerrillas]] [[PALESTINE]] [[another]] [[original]] [[Judaism]] [[kraft]] [[questionnaire]] [[owns]] [[detect]] that [[Jew]] [[contingent]] [[patently]] [[culled]] [[four]] Egyptian [[veterans]] by [[misconception]], [[insight]] they were Palestinian [[veterans]] along the Gaza-Egypt [[confine]].",0.13058137893676758,0.8570617437362671,0,3,0,706,"Successful"
"Plane of NASCAR [[Team]] [[Hendrick]] Missing [[Race]] fans wave American flags in the stands during the singing of the [[National]] [[Anthem]] prior to the [[start]] of the [[NASCAR]] [[Subway]] 500 stock car [[race]] at Martinsville [[Speedway]] in Martinsville, Va.","Plane of NASCAR [[Group]] [[Fredrick]] Missing [[Ethnicity]] fans wave American flags in the stands during the singing of the [[Nationalities]] [[Spangled]] prior to the [[launch]] of the [[KASEY]] [[Metropolitan]] 500 stock car [[racecourse]] at Martinsville [[Andretti]] in Martinsville, Va.",0.1371307373046875,0.5795096158981323,1,2,1,233,"Successful"
