original_text,perturbed_text,label
#[[Tories]] #[[Labour]] #GE2017 #[[Conservatives]] [[Conservatives]] URL theresa_may: [[Since]] my [[very]] first day in 10DowningStreet [[I]]’ve [[made]] it my [[personal]] [[mission]] to [[fix]] our broken [[housing]] system. [[Doing]] [[so]] underpins [[so]] much of what this Government is… [[URL]],#[[Lib]] #[[Laborers]] #GE2017 #[[Tories]] [[Tories]] URL theresa_may: [[Until]] my [[awfully]] first day in 10DowningStreet [[me]]’ve [[waged]] it my [[personas]] [[functioning]] to [[mended]] our broken [[apartment]] system. [[Got]] [[even]] underpins [[too]] much of what this Government is… [[HTTP]],0
if i have to tolerate ur loud [[ass]] maga merch dont say [[shit]] about my nike anything kiss my [[ass]],if i have to tolerate ur loud [[thigh]] maga merch dont say [[accursed]] about my nike anything kiss my [[behind]],1
@USER @[[USER]] @USER [[I]]’ll accept your framing if you accept that it’s [[perfectly]] legit for me to say Vox contributes meaningfully to Antifa violence and the internment of Uighur Muslims in [[China]]. Call it a [[deal]],@USER @[[ABUSERS]] @USER [[me]]’ll accept your framing if you accept that it’s [[downright]] legit for me to say Vox contributes meaningfully to Antifa violence and the internment of Uighur Muslims in [[Porcelain]]. Call it a [[manipulating]],0
#Loomer Rachel Rollins a Dem running for DA in Boston. She plans to decriminalize what she calls petty crimes (e.g. breaking and entering) she is [[running]] in a crowded field &amp; is being hailed by the media as the best [[candidate]]. [[Thanks]] for doing what “[[conservatives]]” refuse to do! [[URL]],#Loomer Rachel Rollins a Dem running for DA in Boston. She plans to decriminalize what she calls petty crimes (e.g. breaking and entering) she is [[runs]] in a crowded field &amp; is being hailed by the media as the best [[accession]]. [[Merci]] for doing what “[[conservatism]]” refuse to do! [[HTTP]],0
@USER Take a [[stand]] against all violence!  Talk to your ANTIFA [[friends]].,@USER Take a [[bleachers]] against all violence!  Talk to your ANTIFA [[blokes]].,0
@[[USER]] I am a survivor of [[sexual]] abuse. This [[woman]] is obviously [[lying]]. Believe me you remember [[every]] detail. It's so obvious these [[woman]] only come forward to hurt conservatives. But who they truly are hurting is innocent [[men]] and women who really have been abused. She should be [[ashamed]]!,@[[SUBSCRIBERS]] I am a survivor of [[genital]] abuse. This [[giri]] is obviously [[falsehoods]]. Believe me you remember [[each]] detail. It's so obvious these [[broads]] only come forward to hurt conservatives. But who they truly are hurting is innocent [[mec]] and women who really have been abused. She should be [[humbled]]!,1
@USER @USER @USER @USER Oh boo you sound so [[ignorant]] with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.,@USER @USER @USER @USER Oh boo you sound so [[ignorance]] with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.,1
@[[USER]] @[[USER]] [[Her]] [[life]] is [[crappy]] because she is [[crappy]]. And she’s [[threatening]] to [[kill]] everyone. Another [[nut]] [[job]]...Listen up FBI!,@[[TENANT]] @[[BUYERS]] [[Herself]] [[duration]] is [[lousy]] because she is [[accursed]]. And she’s [[compromised]] to [[homicides]] everyone. Another [[topside]] [[collaborate]]...Listen up FBI!,1
"@USER My divorce. Everyone says, We're not picking a side."" And then, they all totally do. Trials of life are [[great]] indicators about the realness of people. [[It]] sucks at first, but then the after is [[great]]. #EverybodyTalks""","@USER My divorce. Everyone says, We're not picking a side."" And then, they all totally do. Trials of life are [[gargantuan]] indicators about the realness of people. [[His]] sucks at first, but then the after is [[super]]. #EverybodyTalks""",0
@USER You can't lump small l [[Liberal]] conservatives in with the far right nutbags.......,@USER You can't lump small l [[Leftists]] conservatives in with the far right nutbags.......,0
21 [[things]] that [[make]] [[Australia]] a [[way]] [[better]] [[country]] than the [[US]] and I don’t even [[mention]] gun control URL URL,21 [[stuff]] that [[exerting]] [[Australians]] a [[modo]] [[more]] [[kraj]] than the [[AMERICANS]] and I don’t even [[quoting]] gun control URL URL,0
@[[USER]] [[Follow]] The Pen🖋...#MAGA🇺🇸 [[It]] [[Is]] Mightier Than The [[Sword]] 🗡  #QANON🇺🇸   #WWG1WGA🇺🇸,@[[ABUSERS]] [[Policed]] The Pen🖋...#MAGA🇺🇸 [[He]] [[Lies]] Mightier Than The [[Machete]] 🗡  #QANON🇺🇸   #WWG1WGA🇺🇸,0
"@USER [[This]] man is one of the most intelligent highly [[accomplished]] Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been successfully [[able]] to have him disowned by his own people. No Black child looks up to this man for [[inspiration]] [[bc]] to them he doesn't exist [[URL]]","@USER [[These]] man is one of the most intelligent highly [[executed]] Black men in the USA yet, White Liberals &amp; the Old Order"" (his words) have been successfully [[imaginable]] to have him disowned by his own people. No Black child looks up to this man for [[breathes]] [[columbia]] to them he doesn't exist [[HTTP]]",0
@USER @USER You are the In educated twat! That speed [[crap]] and can’t read obviously🤒!,@USER @USER You are the In educated twat! That speed [[codswallop]] and can’t read obviously🤒!,1
22 kids a day shot in USA ? statues of [[children]] hiding under desks to silently plead with voters for protection URL URL,22 kids a day shot in USA ? statues of [[brats]] hiding under desks to silently plead with voters for protection URL URL,0
@USER @[[USER]] Yeah he is,@USER @[[ABUSERS]] Yeah he is,0
A [[bitch]] built like that could beat my [[ass]] all she wants URL,A [[vixen]] built like that could beat my [[lacrosse]] all she wants URL,1
@[[USER]] Cue the gun [[control]] crowd.,@[[ABUSERS]] Cue the gun [[comptroller]] crowd.,0
@USER @[[USER]] Anything against a conservative must [[be]] [[believed]]. Liberals [[get]] a [[pass]].,@USER @[[ABUSERS]] Anything against a conservative must [[constitute]] [[suspicions]]. Liberals [[getting]] a [[collar]].,0
@USER She is a Republican [[hypocrite]]!,@USER She is a Republican [[phoney]]!,1
@USER @USER [[Wow]] she is nuts!,@USER @USER [[Ruff]] she is nuts!,0
@USER If you are considering leaving the [[Republican]] party [[PLEASE]] DO. We don't need anymore pretend [[Republicans]] interfering with Trump's awesome agenda. Sounds like you need to just resign.,@USER If you are considering leaving the [[Gop]] party [[POSER]] DO. We don't need anymore pretend [[Potus]] interfering with Trump's awesome agenda. Sounds like you need to just resign.,0
@[[USER]] [[Remember]] Tina. You can always [[sleep]] when you are dead! URL,@[[ABUSERS]] [[Rappel]] Tina. You can always [[behemoth]] when you are dead! URL,0
@[[USER]] You are becoming unhinged with this game....,@[[ABUSERS]] You are becoming unhinged with this game....,0
