original_text,perturbed_text,label
"[[Sun]] to shine spotlight on new operating system, Solaris 10 Sun Microsystems [[SUNW]] is expected to [[release]] a new version of its operating system today - a big part of the struggling computer maker #[[39]];s [[plan]] to [[save]] itself.","[[un]] to shine spotlight on new operating system, Solaris 10 Sun Microsystems [[SUNL]] is expected to [[reelease]] a new version of its operating system today - a big part of the struggling computer maker #[[Q39]];s [[plean]] to [[yave]] itself.",3
Govt. to Test New Air Passenger [[Screening]] Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.,Govt. to Test New Air Passenger [[Screlning]] Program The US government unveiled plans on Thursday for a revised [[computerb-ased]] program using personal information to identify airline passengers who may pose a threat to air travel.,3
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that [[day]], as the World Trade [[Center]] and Pentagon smoldered and the world stood [[still]], O'Brien was a Navy man.","Anniversary remembered on [[gaem]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that [[dy]], as the World Trade [[CenVter]] and Pentagon smoldered and the world stood [[till]], O'Brien was a Navy man.",1
"[[Viacom]], Disney pay \$1.5M [[FCC]] fine Disney and [[Viacom]] agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #[[39]];s [[cable]] television networks violated advertising restrictions, the [[FCC]] said [[Thursday]].","[[kiacom]], Disney pay \$1.5M [[FC]] fine Disney and [[Vicom]] agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #[[3L]];s [[cpable]] television networks violated advertising restrictions, the [[ICC]] said [[Thursda]].",2
"[[Lawyers]] In the Limelight By all appearances, Steven Woghin was a lawyer at the top of his game. After years in government service, the former Justice Department attorney had worked his way up to a comfortable six-figure salary and the chief legal job at software maker Computer Associates International Inc.","[[LGawyers]] In the Limelight By all appearances, Steven Woghin was a lawyer at the top of his game. After years in government service, the former Justice Department attorney had worked his way up to a comfortable six-figure salary and the chief legal job at software maker Computer Associates International Inc.",2
Sprint is chock full of potential heros It would be nice to see this week #39;s [[100-meter]] [[sprint]] as simply the [[best]] footrace of all time. [[We]] could witness four sub-10-second [[sprints]] for the [[first]] time [[ever]]. [[It]] [[would]] be [[nice]] to watch with raised eyebrows instead of furrowed ones. It ...,Sprint is chock full of potential heros It would be nice to see this week #39;s [[100-meteer]] [[print]] as simply the [[est]] footrace of all time. [[e]] could witness four sub-10-second [[spDints]] for the [[fiXrst]] time [[eevr]]. [[IP]] [[world]] be [[niEe]] to watch with raised eyebrows instead of furrowed ones. It ...,1
"FBI Interviews [[Halliburton]] Whistleblower Bunnatine Greenhouse, chief contracting officer of the Army Corps of Engineers, is seen in her official undated government photo. [[FBI]] agents recently spent a day interviewing Greenhouse, the Army contracting ","FBI Interviews [[HallSburton]] Whistleblower Bunnatine Greenhouse, chief contracting officer of the Army Corps of Engineers, is seen in her official undated government photo. [[FB]] agents recently spent a day interviewing Greenhouse, the Army contracting ",2
"[[Cablevision]] Narrows Loss on [[Revenue]] Surge [[Cablevision]] Systems Corp. on Tuesday said it narrowed its third-quarter loss as revenue jumped 20 percent, buoyed by subscriber growth.","[[Cblevision]] Narrows Loss on [[Reveune]] Surge [[Cabevision]] Systems Corp. on Tuesday said it narrowed its third-quarter loss as revenue jumped 20 percent, buoyed by subscriber growth.",2
"[[Now]] It #[[39]];s Official: [[Economy]] [[Shrunk]] The US economy slowed more sharply in the second quarter than first thought as [[oil]] prices rose and the trade gap swelled, the government said on Friday in a report that confirmed momentum faltered in the spring.","[[NGw]] It #[[93]];s Official: [[Econobmy]] [[Shrnk]] The US economy slowed more sharply in the second quarter than first thought as [[il]] prices rose and the trade gap swelled, the government said on Friday in a report that confirmed momentum faltered in the spring.",2
"New York's Spitzer Expects to Sue Universal [[Life]] (Reuters) Reuters - New York Attorney General Eliot\Spitzer, who is probing bid-rigging in the [[insurance]] industry,\[[expects]] to file suit against health [[insurance]] consultant\[[Universal]] Life Resources as [[early]] as [[Friday]], a [[spokesman]] for\his [[office]] said.","New York's Spitzer Expects to Sue Universal [[Lie]] (Reuters) Reuters - New York Attorney General Eliot\Spitzer, who is probing bid-rigging in the [[insuarnce]] industry,\[[expectU]] to file suit against health [[insuracne]] consultant\[[UIniversal]] Life Resources as [[eaXly]] as [[riday]], a [[spozkesman]] for\his [[fofice]] said.",2
