"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] [[cover]] to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk [[indemnity]] SINGAPORE : The government is extending third-party war risk [[policy]] [[report]] to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.00051116943359375,0.7797519564628601,2,0,2,214,"Successful"
"Mills [[Grabs]] \$1B Portfolio; Taubman Likely to Lose [[Contracts]] Mills Corp. agreed to [[purchase]] a 50 percent [[interest]] in [[nine]] [[malls]] owned by General Motors Asset Management Corp. for just over \$1 [[billion]], creating a [[new]] [[joint]] [[venture]] between the groups. The [[deal]] will [[extend]] ...","Mills [[grab]] \$1B Portfolio; Taubman Likely to Lose [[narrow]] Mills Corp. agreed to [[leverage]] a 50 percent [[pursuit]] in [[niner]] [[plaza]] owned by General Motors Asset Management Corp. for just over \$1 [[million]], creating a [[raw]] [[spliff]] [[stake]] between the groups. The [[mint]] will [[unfold]] ...",0.00035369396209716797,0.04095733165740967,2,2,2,494,"Failed"
"Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling [[computer]] maker #39;s plan to [[save]] itself.","Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling [[estimator]] maker #39;s plan to [[economize]] itself.",0.0437542200088501,0.7545156478881836,3,2,3,299,"Successful"
"[[Fed]] [[Cup]] all tied up FRANCE #39;S Russian-born Tatiana Golovin [[left]] the Fed [[Cup]] [[final]] [[hanging]] in the [[balance]] today as she [[beat]] Russia #39;s [[US]] Open [[champion]] Svetlana Kuznetsova 6-4, 6-1 to level the tie at 2-2 and [[take]] it to the final [[doubles]] [[match]].","[[FRS]] [[transfuse]] all tied up FRANCE #39;S Russian-born Tatiana Golovin [[exit]] the Fed [[transfuse]] [[net]] [[attend]] in the [[proportionality]] today as she [[nonplus]] Russia #39;s [[uranium]] Open [[virtuoso]] Svetlana Kuznetsova 6-4, 6-1 to level the tie at 2-2 and [[rent]] it to the final [[image]] [[compeer]].",6.520748138427734e-05,0.6679152250289917,1,2,1,659,"Successful"
"Nokia [[announces]] [[Near]] [[Field]] Communication [[products]] With the Nokia NFC ([[Near]] [[Field]] Communication) [[shell]] on their [[phone]], consumers will be [[able]] to [[access]] a [[variety]] of [[services]] and [[exchange]] [[information]] with a [[simple]] [[touch]] gesture.","Nokia [[declare]] [[penny-pinching]] [[champaign]] Communication [[intersection]] With the Nokia NFC ([[close]] [[field]] Communication) [[case]] on their [[earphone]], consumers will be [[able-bodied]] to [[admittance]] a [[miscellanea]] of [[servicing]] and [[commute]] [[info]] with a [[dewy-eyed]] [[speck]] gesture.",0.00018900632858276367,0.1840338110923767,3,3,3,417,"Failed"
"[[President]] Hu [[congratulates]] Sihamoni on [[becoming]] [[king]] of [[Cambodia]] [[Chinese]] [[President]] Hu Jintao [[sent]] a [[message]] to Norodom Sihamoni on [[Thursday]] to [[congratulate]] him on his election as the [[king]] of [[Cambodia]].","[[prexy]] Hu [[pride]] Sihamoni on [[decent]] [[mogul]] of [[Kampuchea]] [[Taiwanese]] [[prexy]] Hu Jintao [[send]] a [[substance]] to Norodom Sihamoni on [[Th]] to [[felicitate]] him on his election as the [[mogul]] of [[Kampuchea]].",0.0002810359001159668,0.20122164487838745,0,0,0,167,"Failed"
"Today in Athens Leontien Zijlaard-van Moorsel of the [[Netherlands]] wipes a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #39;s road [[cycling]] [[individual]] [[time]] trial at the Vouliagmeni [[Olympic]] Centre in [[Athens]] on [[Wednesday]]. ","Today in Athens Leontien Zijlaard-van Moorsel of the [[Nederland]] wipes a [[binge]] after [[succeed]] the [[Au]] [[medallion]] in the [[char]] #39;s road [[motorbike]] [[item-by-item]] [[sentence]] trial at the Vouliagmeni [[Olympian]] Centre in [[Athinai]] on [[Midweek]]. ",0.00013065338134765625,0.5824418067932129,1,2,1,223,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based [[program]] using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based [[curriculum]] using personal information to identify airline passengers who may pose a threat to air travel.",0.28584998846054077,0.5948443412780762,3,2,3,215,"Successful"
"[[Afghans]] [[rocky]] [[road]] to [[historic]] [[elections]] KALAKAN, Afghanistan There were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not [[yet]] [[old]] [[enough]] to shave. [[There]] were [[mullahs]] and mujahedeen, and the presidential [[candidate]] #[[39]];s 3-year-old [[son]].","[[Paxto]] [[bouldery]] [[route]] to [[historical]] [[election]] KALAKAN, Afghanistan There were toothless [[honest-to-goodness]] [[workforce]], turbaned and gray-bearded, and [[offspring]] [[human]] not [[even]] [[honest-to-goodness]] [[plenty]] to shave. [[thither]] were [[Mulla]] and mujahedeen, and the presidential [[campaigner]] #[[ixl]];s 3-year-old [[Word]].",0.00024455785751342773,0.031170427799224854,0,0,0,272,"Failed"
"Sun's [[Looking]] Glass [[Provides]] 3D [[View]] Developers [[get]] early code for [[new]] operating system 'skin' [[still]] being [[crafted]].","Sun's [[sounding]] Glass [[supply]] 3D [[watch]] Developers [[grow]] early code for [[young]] operating system 'skin' [[stock-still]] being [[craft]].",0.0008358955383300781,0.5179284811019897,3,2,3,374,"Successful"
