original_text,perturbed_text,label
[[President]] Hu congratulates [[Sihamoni]] on becoming king of [[Cambodia]] Chinese President Hu Jintao sent a message to Norodom [[Sihamoni]] on Thursday to congratulate him on his election as the king of [[Cambodia]].,[[chairman]] Hu congratulates [[cambodia]] on becoming king of [[ceylon]] Chinese President Hu Jintao sent a message to Norodom [[ito]] on Thursday to congratulate him on his election as the king of [[cambodia]].,0
"HD DVD will boost [[quality]], help stores Four Hollywood studios this week embraced a new [[high-definition]] [[DVD]] format from electronics giant Toshiba - raising many [[questions]] for video lovers who have driven sales of [[pre-recorded]] DVDs to new heights.","HD DVD will boost [[earnings]], help stores Four Hollywood studios this week embraced a new [[movie]] [[dvd]] format from electronics giant Toshiba - raising many [[calls]] for video lovers who have driven sales of [[live]] DVDs to new heights.",3
"Annan Starts Reshuffling UN [[Staff]] for Reform Push ([[Reuters]]) [[Reuters]] - U.N. [[Secretary-General]] [[Kofi]]\Annan on Monday chose the high-profile British head of a key\agency as his new chief of staff, the start of a reshuffle\aimed at instituting U.N. [[reforms]] and combating scandals.","Annan Starts Reshuffling UN [[calls]] for Reform Push ([[reuters]]) [[reuters]] - U.N. [[bank]] [[monitor]]\Annan on Monday chose the high-profile British head of a key\agency as his new chief of staff, the start of a reshuffle\aimed at instituting U.N. [[reform]] and combating scandals.",0
"Veterans Committee counts for little The Hall of [[Fame]] released the latest Veterans Committee ballot yesterday. As you might (or might not) remember, there #39;s a (nearly) new committee in town.","Veterans Committee counts for little The Hall of [[fame]] released the latest Veterans Committee ballot yesterday. As you might (or might not) remember, there #39;s a (nearly) new committee in town.",1
PeopleSoft customers reassured Oracle Corp. President Charles Phillips on [[Monday]] said PeopleSoft Inc. customers have become more comfortable with the prospect of a merger between the two software firms even as the proposed transaction awaits a critical [[ruling]] from a Delaware court.,PeopleSoft customers reassured Oracle Corp. President Charles Phillips on [[friday]] said PeopleSoft Inc. customers have become more comfortable with the prospect of a merger between the two software firms even as the proposed transaction awaits a critical [[decision]] from a Delaware court.,2
"ATA: [[Customers]] Won #39;t Be Affected By Bankruptcy INDIANAPOLIS -- ATA [[says]] it will honor all tickets and maintain its full schedule, after filing for [[Chapter]] 11 bankruptcy [[Tuesday]].","ATA: [[e]] Won #39;t Be Affected By Bankruptcy INDIANAPOLIS -- ATA [[say]] it will honor all tickets and maintain its full schedule, after filing for [[chapter]] 11 bankruptcy [[check]].",2
"Profit Plunges at International Game Tech International Game Technology, the world #39;s biggest maker of slot machines, [[Tuesday]] said said profit for its latest quarter [[fell]] 50 percent from a year ago due to a charge for early redemption of debt and a tax adjustment.","Profit Plunges at International Game Tech International Game Technology, the world #39;s biggest maker of slot machines, [[today]] said said profit for its latest quarter [[exceeds]] 50 percent from a year ago due to a charge for early redemption of debt and a tax adjustment.",2
Shares of Video Game Makers Rise Sharply Shares of video game [[makers]] rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.,Shares of Video Game Makers Rise Sharply Shares of video game [[critics]] rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.,2
"[[PeopleSoft]] CEO Ousted for  #39;Situational Ethics #39; AccountingWEB.com - October 06, 2004 - The [[opening]] of a trial related to Oracle #39;s takeover [[bid]] of PeopleSoft featured the revelation that CEO Craig Conway was fired last week for making [[misleading]] statements about PeopleSoft #39;s sales.","[[company]] CEO Ousted for  #39;Situational Ethics #39; AccountingWEB.com - October 06, 2004 - The [[start]] of a trial related to Oracle #39;s takeover [[reports]] of PeopleSoft featured the revelation that CEO Craig Conway was fired last week for making [[fraudulent]] statements about PeopleSoft #39;s sales.",2
"Cable   Wireless to Cut 600 Jobs  [[LONDON]] (Reuters) - Britain's Cable   Wireless posted its  first net profit in over 3 years and announced plans to cut 600  jobs and return cash to investors, sending the telecom  company's shares racing to 5-month highs on Wednesday.","Cable   Wireless to Cut 600 Jobs  [[online]] (Reuters) - Britain's Cable   Wireless posted its  first net profit in over 3 years and announced plans to cut 600  jobs and return cash to investors, sending the telecom  company's shares racing to 5-month highs on Wednesday.",2
