original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk [[clearance]] SINGAPORE : The government is extending third-party war risk [[assurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
Govt. to Test New Air Passenger Screening Program The US government [[unveiled]] plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.,Govt. to Test New Air Passenger Screening Program The US government [[revealed]] plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.,3
"Alamosa [[Offers]] to Buy AirGate (Reuters) Reuters - Alamosa Holdings [[Inc]].  said\on Monday it made an unsolicited bid for AirGate PCS Inc.\ worth about  #36;380 million, which would create one of\the largest sellers of wireless telephone service under the\Sprint  brand.","Alamosa [[s]] to Buy AirGate (Reuters) Reuters - Alamosa Holdings [[incorporated]].  said\on Monday it made an unsolicited bid for AirGate PCS Inc.\ worth about  #36;380 million, which would create one of\the largest sellers of wireless telephone service under the\Sprint  brand.",3
"Cloud rat arrives at London Zoo London zoo celebrates the [[birth]] of a Panay cloud rat, a very rare tree-living rodent from the Philippines.","Cloud rat arrives at London Zoo London zoo celebrates the [[death]] of a Panay cloud rat, a very rare tree-living rodent from the Philippines.",3
"Veterans Committee counts for little The Hall of [[Fame]] released the latest Veterans Committee ballot yesterday. As you might (or might not) remember, there #39;s a (nearly) new committee in town.","Veterans Committee counts for little The Hall of [[remembrance]] released the latest Veterans Committee ballot yesterday. As you might (or might not) remember, there #39;s a (nearly) new committee in town.",1
"America #39;s curse There is an all but unanswerable case for asserting that the biggest story out of the United States this week has nothing to do with the presidential election, has no connection with the flu vaccine shortage and that it does not [[involve]] a gay bishop either ","America #39;s curse There is an all but unanswerable case for asserting that the biggest story out of the United States this week has nothing to do with the presidential election, has no connection with the flu vaccine shortage and that it does not [[have]] a gay bishop either ",1
Movie Studios to Sue Illegal [[Film-File]] Traders Movie studios and the Motion Picture Association of America said on Thursday they would sue individuals suspected of illegally distributing movies over the [[Internet]].,Movie Studios to Sue Illegal [[way]] Traders Movie studios and the Motion Picture Association of America said on Thursday they would sue individuals suspected of illegally distributing movies over the [[day]].,3
"ATA: [[Customers]] Won #39;t Be Affected [[By]] Bankruptcy INDIANAPOLIS -- ATA says it will honor all tickets and [[maintain]] its full schedule, after filing for Chapter 11 bankruptcy Tuesday.","ATA: [[has]] Won #39;t Be Affected [[since]] Bankruptcy INDIANAPOLIS -- ATA says it will honor all tickets and [[provide]] its full schedule, after filing for Chapter 11 bankruptcy Tuesday.",2
"Baseball's Homeless [[Franchise]] Bud Selig, the Major League Baseball commissioner, didn't realize he was gambling when he [[awarded]] the Expos to Washington.","Baseball's Homeless [[banker]] Bud Selig, the Major League Baseball commissioner, didn't realize he was gambling when he [[got]] the Expos to Washington.",1
"Cable   Wireless to [[Cut]] 600 Jobs  LONDON (Reuters) - Britain's Cable   Wireless posted its  first net profit in over 3 years and announced plans to cut 600  jobs and return cash to investors, sending the telecom  company's shares racing to 5-month highs on [[Wednesday]].","Cable   Wireless to [[chop]] 600 Jobs  LONDON (Reuters) - Britain's Cable   Wireless posted its  first net profit in over 3 years and announced plans to cut 600  jobs and return cash to investors, sending the telecom  company's shares racing to 5-month highs on [[offer]].",2
