"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends [[third-party]] war risk [[insurance]] [[SINGAPORE]] : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends [[tahird-party]] war risk [[insurafce]] [[SINGAPOER]] : The government is extending third-party war risk [[insurLnce]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.03134089708328247,0.600170373916626,2,0,2,44,"Successful"
"Mills Grabs \$[[1B]] Portfolio; Taubman Likely to Lose Contracts Mills [[Corp]]. [[agreed]] to [[purchase]] a 50 [[percent]] interest in nine malls owned by General Motors Asset Management [[Corp]]. for just over \$1 [[billion]], creating a new joint venture between the groups. The deal will [[extend]] ...","Mills Grabs \$[[1wB]] Portfolio; Taubman Likely to Lose Contracts Mills [[Crop]]. [[greed]] to [[purcYhase]] a 50 [[perclent]] interest in nine malls owned by General Motors Asset Management [[Copr]]. for just over \$1 [[billTon]], creating a new joint venture between the groups. The deal will [[eptend]] ...",0.013625741004943848,0.5987609624862671,2,0,2,81,"Successful"
"Sun to shine spotlight on new operating [[system]], [[Solaris]] 10 Sun Microsystems [[SUNW]] is [[expected]] to [[release]] a [[new]] [[version]] of its operating system today - a big [[part]] of the struggling computer maker #[[39]];s plan to save itself.","Sun to shine spotlight on new operating [[ystem]], [[Solares]] 10 Sun Microsystems [[SwUNW]] is [[expeLcted]] to [[releaQse]] a [[nw]] [[veprsion]] of its operating system today - a big [[par]] of the struggling computer maker #[[93]];s plan to save itself.",0.07047200202941895,0.5175478458404541,3,2,3,78,"Successful"
"Fed [[Cup]] all tied up FRANCE #39;S [[Russian-born]] [[Tatiana]] [[Golovin]] [[left]] the [[Fed]] [[Cup]] [[final]] [[hanging]] in the [[balance]] [[today]] as she beat [[Russia]] #39;s [[US]] [[Open]] [[champion]] Svetlana [[Kuznetsova]] [[6-4]], [[6-1]] to [[level]] the [[tie]] at [[2-2]] and [[take]] it to the [[final]] doubles [[match]].","Fed [[Dup]] all tied up FRANCE #39;S [[Russian-bdrn]] [[Tatana]] [[QGolovin]] [[eft]] the [[Fde]] [[Cp]] [[finakl]] [[hanQging]] in the [[baalnce]] [[todvay]] as she beat [[Kussia]] #39;s [[SU]] [[pen]] [[chjmpion]] Svetlana [[Kuznetjova]] [[X6-4]], [[6-v1]] to [[levle]] the [[tei]] at [[2C2]] and [[takL]] it to the [[finla]] doubles [[mtch]].",0.0016914606094360352,0.029898107051849365,1,1,1,153,"Failed"
"[[Nokia]] [[announces]] [[Near]] Field [[Communication]] products [[With]] the [[Nokia]] [[NFC]] ([[Near]] [[Field]] Communication) shell on their [[phone]], [[consumers]] will be [[able]] to [[access]] a variety of services and [[exchange]] [[information]] with a [[simple]] touch [[gesture]].","[[okia]] [[agnnounces]] [[eNar]] Field [[Commyunication]] products [[Wqith]] the [[Nrokia]] [[NhFC]] ([[Nhear]] [[iFeld]] Communication) shell on their [[Xhone]], [[consumres]] will be [[afle]] to [[acess]] a variety of services and [[excahnge]] [[informatino]] with a [[simplZe]] touch [[gZsture]].",0.010154962539672852,0.9626020193099976,3,2,3,112,"Successful"
"[[Today]] in [[Athens]] Leontien Zijlaard-van [[Moorsel]] of the [[Netherlands]] [[wipes]] a [[tear]] after [[winning]] the [[gold]] [[medal]] in the women #[[39]];s road cycling individual time [[trial]] at the [[Vouliagmeni]] [[Olympic]] [[Centre]] in [[Athens]] on [[Wednesday]]. ","[[Toady]] in [[Athes]] Leontien Zijlaard-van [[MBorsel]] of the [[lNetherlands]] [[wipeX]] a [[teaFr]] after [[iwnning]] the [[gdold]] [[medGl]] in the women #[[e9]];s road cycling individual time [[tIrial]] at the [[Vuoliagmeni]] [[Olypmic]] [[Cnetre]] in [[Athesn]] on [[WedneDday]]. ",0.002096891403198242,0.523493766784668,1,3,1,95,"Successful"
"[[President]] Hu [[congratulates]] [[Sihamoni]] on [[becoming]] [[king]] of [[Cambodia]] Chinese [[President]] [[Hu]] Jintao [[sent]] a message to [[Norodom]] [[Sihamoni]] on Thursday to congratulate him on his election as the king of [[Cambodia]].","[[PresidenY]] Hu [[ongratulates]] [[Sihamnoi]] on [[bcoming]] [[knig]] of [[Camboda]] Chinese [[Presidenut]] [[H]] Jintao [[Osent]] a message to [[Norodo]] [[Sihamoin]] on Thursday to congratulate him on his election as the king of [[Cabmodia]].",0.0025870203971862793,0.8680644631385803,0,3,0,72,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.5928653478622437,0.5928653478622437,2,2,3,1,"Skipped"
"[[Afghans]] rocky road to [[historic]] [[elections]] KALAKAN, Afghanistan There were toothless old [[men]], [[turbaned]] and gray-bearded, and young [[men]] not yet old enough to shave. [[There]] were [[mullahs]] and mujahedeen, and the presidential candidate #39;s 3-year-old [[son]].","[[Afnhans]] rocky road to [[hsitoric]] [[eelctions]] KALAKAN, Afghanistan There were toothless old [[me]], [[turbIned]] and gray-bearded, and young [[mn]] not yet old enough to shave. [[Tuere]] were [[mAullahs]] and mujahedeen, and the presidential candidate #39;s 3-year-old [[osn]].",0.0025113821029663086,0.9548203349113464,0,3,0,68,"Successful"
"[[Oil]] Prices [[Set]] a [[New]] [[Record]] [[Above]] \$50  SINGAPORE ([[Reuters]]) - [[Oil]] prices [[set]] a [[new]] record above \$50  a barrel on [[Tuesday]] as a [[prolonged]] U.S. [[production]] outage  [[following]] Hurricane Ivan attracted fresh speculative [[buying]].","[[Ol]] Prices [[Stet]] a [[Nzw]] [[XRecord]] [[Abone]] \$50  SINGAPORE ([[RHeuters]]) - [[sOil]] prices [[sOt]] a [[nezw]] record above \$50  a barrel on [[Tuesda]] as a [[pLolonged]] U.S. [[Eproduction]] outage  [[folloiwng]] Hurricane Ivan attracted fresh speculative [[bwying]].",0.0042182207107543945,0.6986701488494873,2,3,2,114,"Successful"
