original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Avіation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"US [[suspends]] helicopter flights after Japan [[crash]] ([[AFP]]) [[AFP]] - The United States [[suspended]] flights of [[CH-53D]] military helicopters in [[Japan]], bowing to protests over a crash in an Okinawa university campus.","US [[suspеnds]] helicopter flights after Japan [[crasհ]] ([[AP]]) [[A]] [[FP]] - The United States [[suspendeԁ]] flights of [[CH-3D]] military helicopters in [[Jpan]], bowing to protests over a crash in an Okinawa university campus.",0
"[[Anniversary]] [[remembered]] on [[game]] [[day]] [[When]] the attacks came on [[Sept]]. 11, [[2001]], Tom [[O'Brien]], if only for a [[moment]], [[stopped]] being [[Boston]] College's coach. [[On]] that day, as the [[World]] Trade Center and Pentagon [[smoldered]] and the world stood still, O'Brien was a Navy [[man]].","[[Annivеrsary]] [[remembereԁ]] on [[gaｍe]] [[ԁay]] [[Wheո]] the attacks came on [[Sep𝚝]]. 11, [[ᒿ001]], Tom [[O'Bⲅien]], if only for a [[mоment]], [[stoppeԁ]] being [[Bston]] College's coach. [[Oո]] that day, as the [[Worlԁ]] Trade Center and Pentagon [[smldered]] and the world stood still, O'Brien was a Navy [[m]] [[an]].",1
"Viacom, [[Disney]] [[pay]] \$1.5M FCC fine Disney and Viacom [[agreed]] to a fine of \$1.5 million from the [[Federal]] Communications Commission over claims their children #[[39]];s [[cable]] television networks violated [[advertising]] restrictions, the FCC said Thursday.","Viacom, [[Disnеy]] [[py]] \$1.5M FCC fine Disney and Viacom [[aɡreed]] to a fine of \$1.5 million from the [[Federaⅼ]] Communications Commission over claims their children #[[Ʒ9]];s [[cabⅼe]] television networks violated [[advеrtising]] restrictions, the FCC said Thursday.",2
Pfizer Sends Out Update On [[Drug]] Bextra Pfizer [[Inc]]. said [[Friday]] that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the drug #[[39]];s long-term cardiovascular [[safety]] record.,Pfizer Sends Out Update On [[Drսg]] Bextra Pfizer [[Iոc]]. said [[Fridɑy]] that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the drug #[[Ʒ9]];s long-term cardiovascular [[sɑfety]] record.,2
"Colgate to cut [[workforce]] CONSUMER goods [[maker]] Colgate-Palmolive said today it [[would]] cut about 12 per cent of its 37,[[000-person]] work force and close a third of its [[factories]] worldwide as part of a four-year restructuring.","Colgate to cut [[workfore]] CONSUMER goods [[makeⲅ]] Colgate-Palmolive said today it [[woulԁ]] cut about 12 per cent of its 37,[[0O0-person]] work force and close a third of its [[fɑctories]] worldwide as part of a four-year restructuring.",2
"Lawyers In the Limelight By all appearances, [[Steven]] Woghin was a lawyer at the top of his game. After years in government service, the [[former]] Justice Department attorney had worked his way up to a comfortable six-figure salary and the chief legal job at software maker Computer Associates International Inc.","Lawyers In the Limelight By all appearances, [[Stеven]] Woghin was a lawyer at the top of his game. After years in government service, the [[fromer]] Justice Department attorney had worked his way up to a comfortable six-figure salary and the chief legal job at software maker Computer Associates International Inc.",2
"Gazprom Plans LNG Terminal in US Gazprom [[came]] a step [[closer]] to the liquefied natural [[gas]] market on Friday, saying Petro-Canada would help in its goal to build plants in Russia and the United States.","Gazprom Plans LNG Terminal in US Gazprom [[caｍe]] a step [[closeⲅ]] to the liquefied natural [[g]] [[as]] market on Friday, saying Petro-Canada would help in its goal to build plants in Russia and the United States.",2
Movie Studios to Sue Illegal [[Film-File]] Traders Movie studios and the Motion Picture Association of America said on Thursday they would sue individuals suspected of illegally distributing movies over the Internet.,Movie Studios to Sue Illegal [[Film˗File]] Traders Movie studios and the Motion Picture Association of America said on Thursday they would sue individuals suspected of illegally distributing movies over the Internet.,3
Boeing Competitors Protest Lockheed Martin [[Corp]]. and BAE Systems North America Inc. filed protests with the Air Force Tuesday over a \$4 billion contract to upgrade electronics on C-130 military [[transport]] [[planes]] awarded to Boeing [[Co]]. in [[2001]].,Boeing Competitors Protest Lockheed Martin [[Coⲅp]]. and BAE Systems North America Inc. filed protests with the Air Force Tuesday over a \$4 billion contract to upgrade electronics on C-130 military [[transpоrt]] [[plaոes]] awarded to Boeing [[Cо]]. in [[20O1]].,2
"Westwood Closes in on First Title of 2004  SUN CITY, [[South]] Africa (Reuters) - Briton Lee Westwood  closed in on his first title of 2004 when he claimed the  [[third-round]] lead in the Sun [[City]] [[Golf]] Challenge Saturday.","Westwood Closes in on First Title of 2004  SUN CITY, [[Sou𝚝h]] Africa (Reuters) - Briton Lee Westwood  closed in on his first title of 2004 when he claimed the  [[third˗round]] lead in the Sun [[Ci𝚝y]] [[Glf]] Challenge Saturday.",1
[[Eurostocks]] [[Nudge]] Up on [[Ericsson]]  PARIS ([[Reuters]]) - European [[shares]] [[nosed]] up on [[Wednesday]] as  Ericsson gained on news it had won [[part]] of \$4-billion Cingular  [[deal]] and with Glaxo buoyed after Pfizer affirmed its outlook.,[[Eսrostocks]] [[Nսdge]] Up on [[Eri]] [[csson]]  PARIS ([[Reute]] [[rs]]) - European [[shar]] [[es]] [[noesd]] up on [[Wеdnesday]] as  Ericsson gained on news it had won [[pɑrt]] of \$4-billion Cingular  [[dael]] and with Glaxo buoyed after Pfizer affirmed its outlook.,2
