original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance [[SINGAPORE]] : The government is extending third-party war risk insurance cover to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance [[SIGAPORE]] : The government is extending third-party war risk insurance cover to the Civil [[Aѵiation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Aіrlines]] group.",2
Govt. to [[Test]] New Air Passenger [[Screening]] Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.,Govt. to [[Teѕt]] New Air Passenger [[Screeոing]] Program The US government unveiled plans on Thursday for a revised [[comрuter-based]] program using personal information to identify airline passengers who may pose a threat to air travel.,3
"Anniversary remembered on [[game]] day [[When]] the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gmae]] day [[Wen]] the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"Viacom, [[Disney]] pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over [[claims]] their children #[[39]];s [[cable]] [[television]] networks [[violated]] [[advertising]] restrictions, the FCC said Thursday.","Viacom, [[Dinsey]] pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over [[clamis]] their children #[[Ʒ9]];s [[cablе]] [[televisіon]] networks [[violateԁ]] [[ɑdvertising]] restrictions, the FCC said Thursday.",2
"[[Colgate]] to [[cut]] workforce [[CONSUMER]] [[goods]] maker [[Colgate-Palmolive]] [[said]] today it would cut about 12 per cent of its [[37]],000-person work force and close a third of its factories worldwide as [[part]] of a four-year [[restructuring]].","[[Colgatе]] to [[ϲut]] workforce [[CONSMER]] [[gоods]] maker [[Colgate-Palmoⅼive]] [[sɑid]] today it would cut about 12 per cent of its [[3𝟕]],000-person work force and close a third of its factories worldwide as [[par𝚝]] of a four-year [[restruc𝚝uring]].",2
"ATA: [[Customers]] Won #39;t Be Affected By [[Bankruptcy]] INDIANAPOLIS -- ATA says it will honor all tickets and maintain its full [[schedule]], after [[filing]] for [[Chapter]] 11 bankruptcy Tuesday.","ATA: [[Cutomers]] Won #39;t Be Affected By [[Bankrupty]] INDIANAPOLIS -- ATA says it will honor all tickets and maintain its full [[schedսle]], after [[f]] [[iling]] for [[Chapteⲅ]] 11 bankruptcy Tuesday.",2
"This silence [[can't]] be golden [[What]] does Larry [[Bird]] [[think]] of Ron Artest's recent [[sabbatical]]? He's not saying. But [[given]] that this was a guy who [[came]] out of [[traction]] to [[play]] a game, we can [[pretty]] much assume what he has said behind closed doors.","This silence [[can`t]] be golden [[Wha𝚝]] does Larry [[Brid]] [[thnk]] of Ron Artest's recent [[sabba𝚝ical]]? He's not saying. But [[ɡiven]] that this was a guy who [[caｍe]] out of [[taction]] to [[plaу]] a game, we can [[pertty]] much assume what he has said behind closed doors.",1
[[Shares]] of Video Game Makers Rise Sharply Shares of video game makers rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.,[[Shaes]] of Video Game Makers Rise Sharply Shares of video game makers rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.,2
Britons still prefer fish n'chips (AFP) AFP - Traditional [[fish-and-chips]] along with cherished pub grub remain the dishes of choice for Britons outstripping Chinese or Indian take-aways.,Britons still prefer fish n'chips (AFP) AFP - Traditional [[fsih-and-chips]] along with cherished pub grub remain the dishes of choice for Britons outstripping Chinese or Indian take-aways.,0
"International [[Space]] [[Station]] Crew Begins [[Preflight]] [[Exams]] MOSCOW (AP) -- The replacement crew for the International [[Space]] [[Station]] started two days of preflight exams Monday, [[part]] of final preparations to relieve the [[two-man]] Russian-American crew [[finishing]] a six-month mission.    Russian cosmonaut Salizhan Sharipov and U.S...","International [[Spaϲe]] [[Stat]] [[ion]] Crew Begins [[Prefight]] [[Exa]] [[ms]] MOSCOW (AP) -- The replacement crew for the International [[Spcae]] [[Staiton]] started two days of preflight exams Monday, [[pa]] [[rt]] of final preparations to relieve the [[to-man]] Russian-American crew [[finis]] [[hing]] a six-month mission.    Russian cosmonaut Salizhan Sharipov and U.S...",3
Malaysia #39;s Anwar Returns to Hero #39;s Welcome Malaysia #39;s former deputy prime minister Anwar [[Ibrahim]] has come home to a rock star #[[39]];s [[welcome]] Sunday. He returned from undergoing [[back]] surgery in [[Germany]] [[following]] his release from prison last [[month]].,Malaysia #39;s Anwar Returns to Hero #39;s Welcome Malaysia #39;s former deputy prime minister Anwar [[Ibrahіm]] has come home to a rock star #[[Ʒ9]];s [[welcme]] Sunday. He returned from undergoing [[bak]] surgery in [[Germny]] [[foⅼlowing]] his release from prison last [[mnoth]].,0
"Gates Says Broadcast TV [[Model]] Faces [[Irrelevancy]] Bill [[Gates]] predicts a\future for the entertainment industry in which [[traditional]]\broadcast television is rendered irrelevant. It's a positive\vision, however, because new and better business models made\possible by [[technology]] are emerging.","Gates Says Broadcast TV [[Mоdel]] Faces [[Irrelevaոcy]] Bill [[Gatеs]] predicts a\future for the entertainment industry in which [[traditioոal]]\broadcast television is rendered irrelevant. It's a positive\vision, however, because new and better business models made\possible by [[tecհnology]] are emerging.",3
Athens - a \$12bn bill THE world sighed with relief when Greeks kept their promise to deliver some of the world #39;s finest sport [[venues]] in time for the [[Athens]] [[Olympics]].,Athens - a \$12bn bill THE world sighed with relief when Greeks kept their promise to deliver some of the world #39;s finest sport [[veunes]] in time for the [[Atehns]] [[Olymipcs]].,1
"Alamosa Offers to Buy AirGate (Reuters) [[Reuters]] - Alamosa Holdings Inc.  said\on Monday it made an unsolicited bid for AirGate PCS Inc.\ worth about  #36;380 million, which would create one of\the largest sellers of wireless telephone service under the\Sprint  brand.","Alamosa Offers to Buy AirGate (Reuters) [[Reutеrs]] - Alamosa Holdings Inc.  said\on Monday it made an unsolicited bid for AirGate PCS Inc.\ worth about  #36;380 million, which would create one of\the largest sellers of wireless telephone service under the\Sprint  brand.",3
