original_text,perturbed_text,label
"Sun to shine [[spotlight]] on new [[operating]] system, Solaris 10 Sun Microsystems SUNW is [[expected]] to release a new [[version]] of its operating system today - a big part of the struggling computer maker #39;s [[plan]] to save itself.","Sun to shine [[spoXlight]] on new [[operhating]] system, Solaris 10 Sun Microsystems SUNW is [[eBxpected]] to release a new [[Cersion]] of its operating system today - a big part of the struggling computer maker #39;s [[pan]] to save itself.",3
Today in Athens [[Leontien]] [[Zijlaard-van]] [[Moorsel]] of the Netherlands [[wipes]] a tear after winning the [[gold]] medal in the women #[[39]];s road cycling individual time trial at the Vouliagmeni [[Olympic]] Centre in Athens on [[Wednesday]]. ,Today in Athens [[Leoniten]] [[Zijaard-van]] [[Moornel]] of the Netherlands [[ipes]] a tear after winning the [[god]] medal in the women #[[3]];s road cycling individual time trial at the Vouliagmeni [[OlympiHc]] Centre in Athens on [[eWdnesday]]. ,1
[[President]] [[Hu]] congratulates [[Sihamoni]] on becoming [[king]] of [[Cambodia]] Chinese President [[Hu]] [[Jintao]] sent a message to [[Norodom]] [[Sihamoni]] on Thursday to [[congratulate]] him on his election as the king of [[Cambodia]].,[[PrEesident]] [[Hsu]] congratulates [[Sihamni]] on becoming [[ing]] of [[Cmabodia]] Chinese President [[bu]] [[Jinato]] sent a message to [[iNorodom]] [[SihamonY]] on Thursday to [[congbatulate]] him on his election as the king of [[Czambodia]].,0
"Anniversary remembered on [[game]] day [[When]] the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gIame]] day [[WheJ]] the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"[[Viacom]], Disney pay \$1.5M FCC fine Disney and [[Viacom]] agreed to a fine of \$1.5 million from the Federal [[Communications]] Commission over claims their children #[[39]];s cable television networks violated advertising [[restrictions]], the FCC said Thursday.","[[Vicom]], Disney pay \$1.5M FCC fine Disney and [[ViacZm]] agreed to a fine of \$1.5 million from the Federal [[Communicatigns]] Commission over claims their children #[[9]];s cable television networks violated advertising [[restripctions]], the FCC said Thursday.",2
"Starting today, [[funds']] stances on proxies are matter of record Every year, public companies put a number of questions before their stockholders for a vote. Investors weigh in on whether to reelect company directors, reappoint auditors, and approve or kill plans to give big stock option packages to senior executives.","Starting today, [[fudns']] stances on proxies are matter of record Every year, public companies put a number of questions before their stockholders for a vote. Investors weigh in on whether to reelect company directors, reappoint auditors, and approve or kill plans to give big stock option packages to senior executives.",2
G7 fails to reach debt deal Hopes of a deal to write off completely the [[debts]] of some of the world #39;s poorest countries were dashed after the Group of Seven rich nations club failed to reach agreement.,G7 fails to reach debt deal Hopes of a deal to write off completely the [[dets]] of some of the world #39;s poorest countries were dashed after the Group of Seven rich nations club failed to reach agreement.,2
"International [[Space]] Station Crew Begins Preflight Exams MOSCOW (AP) -- The replacement crew for the International [[Space]] Station [[started]] two [[days]] of [[preflight]] exams Monday, [[part]] of final preparations to relieve the [[two-man]] Russian-American [[crew]] finishing a [[six-month]] mission.    Russian [[cosmonaut]] [[Salizhan]] [[Sharipov]] and U.S...","International [[SpacSe]] Station Crew Begins Preflight Exams MOSCOW (AP) -- The replacement crew for the International [[pace]] Station [[stared]] two [[day]] of [[reflight]] exams Monday, [[par]] of final preparations to relieve the [[two-ma]] Russian-American [[grew]] finishing a [[isx-month]] mission.    Russian [[cosXonaut]] [[Salihan]] [[Sahripov]] and U.S...",3
"Photo gallery: Bill Gates' home on Lake [[Washington]] [[Webshots]] [[users]] offer their photos of Bill Gates mansion in Medina, [[Wash]].","Photo gallery: Bill Gates' home on Lake [[Washigton]] [[eWbshots]] [[uysers]] offer their photos of Bill Gates mansion in Medina, [[Wah]].",3
"[[Annan]] [[Starts]] [[Reshuffling]] UN [[Staff]] for Reform [[Push]] (Reuters) Reuters - U.N. [[Secretary-General]] Kofi\[[Annan]] on [[Monday]] [[chose]] the high-profile British head of a [[key]]\agency as his [[new]] chief of staff, the start of a reshuffle\aimed at [[instituting]] U.N. reforms and combating scandals.","[[cAnnan]] [[Strts]] [[ReshuffEing]] UN [[Stagff]] for Reform [[lush]] (Reuters) Reuters - U.N. [[Secretary-Gkeneral]] Kofi\[[Anan]] on [[hMonday]] [[choes]] the high-profile British head of a [[ky]]\agency as his [[snew]] chief of staff, the start of a reshuffle\aimed at [[istituting]] U.N. reforms and combating scandals.",0
South Korea president in Brazil ([[AFP]]) [[AFP]] - South Korea's President Roh Moo-Hyun started an official visit to [[Brazil]] as part of his country's campaign to find new business in the [[region]].,South Korea president in Brazil ([[FAP]]) [[APF]] - South Korea's President Roh Moo-Hyun started an official visit to [[Brzil]] as part of his country's campaign to find new business in the [[reion]].,0
"After Wait, Google Set for Market Debut  NEW [[YORK]] (Reuters) - Shares of Google Inc. will make their  Nasdaq stock market debut on Thursday after the year's most  anticipated initial public offering priced far below initial  estimates, raising \$1.67 billion.","After Wait, Google Set for Market Debut  NEW [[YOvRK]] (Reuters) - Shares of Google Inc. will make their  Nasdaq stock market debut on Thursday after the year's most  anticipated initial public offering priced far below initial  estimates, raising \$1.67 billion.",2
"[[Gold]] Fields loses high court bid to halt Harmony takeover South African mining [[giant]] Gold Fields lost a high court bid to halt a hostile takeover by rival Harmony Gold, which is seeking to create the world #39;s biggest gold producer, a court official [[said]].","[[Glod]] Fields loses high court bid to halt Harmony takeover South African mining [[iant]] Gold Fields lost a high court bid to halt a hostile takeover by rival Harmony Gold, which is seeking to create the world #39;s biggest gold producer, a court official [[saCd]].",2
"Maid sues Sony Pictures exec [[p2pnet]].net News- James Jackson, vp of legal affairs for Sony Pictures Entertainment, filed for bankruptcy protection just days before a lawsuit accusing him and his wife of involuntary servitude, false imprisonment, invasion of privacy, negligence and ","Maid sues Sony Pictures exec [[pbpnet]].net News- James Jackson, vp of legal affairs for Sony Pictures Entertainment, filed for bankruptcy protection just days before a lawsuit accusing him and his wife of involuntary servitude, false imprisonment, invasion of privacy, negligence and ",3
Press review 0850CET--The seizure of [[fake]] Nike sportswear by the Customs Department was one of the main stories on Wednesday #39;s newspapers. L-Orizzont published ,Press review 0850CET--The seizure of [[afke]] Nike sportswear by the Customs Department was one of the main stories on Wednesday #39;s newspapers. L-Orizzont published ,3
