original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] [[SINGAPORE]] : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[insuarnce]] [[SINGAPfRE]] : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[AirlCines]] group.",2
"[[Mills]] Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset [[Management]] Corp. for just over \$1 billion, creating a new [[joint]] venture between the [[groups]]. The [[deal]] will [[extend]] ...","[[iMlls]] Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset [[Mangaement]] Corp. for just over \$1 billion, creating a new [[jXint]] venture between the [[rgoups]]. The [[eal]] will [[extgend]] ...",2
"[[Sun]] to shine spotlight on [[new]] operating [[system]], [[Solaris]] 10 Sun [[Microsystems]] SUNW is expected to [[release]] a [[new]] [[version]] of its [[operating]] [[system]] today - a big part of the struggling [[computer]] maker #[[39]];s [[plan]] to save itself.","[[Sn]] to shine spotlight on [[ne]] operating [[ystem]], [[Solars]] 10 Sun [[Microsytems]] SUNW is expected to [[elease]] a [[ne]] [[versijon]] of its [[oEerating]] [[sstem]] today - a big part of the struggling [[comptuer]] maker #[[93]];s [[plna]] to save itself.",3
"[[Nokia]] announces [[Near]] [[Field]] [[Communication]] products [[With]] the [[Nokia]] [[NFC]] ([[Near]] [[Field]] [[Communication]]) [[shell]] on their [[phone]], consumers will be [[able]] to [[access]] a [[variety]] of services and exchange [[information]] with a simple [[touch]] gesture.","[[Noekia]] announces [[Nar]] [[Feld]] [[Commnication]] products [[Witsh]] the [[okia]] [[NCF]] ([[Nar]] [[Fiedl]] [[Comunication]]) [[hell]] on their [[whone]], consumers will be [[abl]] to [[cacess]] a [[avriety]] of services and exchange [[inforamtion]] with a simple [[tuch]] gesture.",3
President Hu [[congratulates]] [[Sihamoni]] on becoming [[king]] of [[Cambodia]] Chinese [[President]] Hu Jintao [[sent]] a message to Norodom [[Sihamoni]] on Thursday to [[congratulate]] him on his [[election]] as the [[king]] of [[Cambodia]].,President Hu [[ongratulates]] [[Sihaoni]] on becoming [[kig]] of [[CambodiG]] Chinese [[Presindent]] Hu Jintao [[sBnt]] a message to Norodom [[iShamoni]] on Thursday to [[cogratulate]] him on his [[lection]] as the [[kign]] of [[CambSodia]].,0
"Afghans rocky road to [[historic]] [[elections]] KALAKAN, Afghanistan [[There]] were [[toothless]] [[old]] [[men]], [[turbaned]] and [[gray-bearded]], and [[young]] [[men]] not yet old enough to shave. There were [[mullahs]] and [[mujahedeen]], and the [[presidential]] [[candidate]] #[[39]];s [[3-year-old]] son.","Afghans rocky road to [[historeic]] [[etections]] KALAKAN, Afghanistan [[Tjhere]] were [[toothjless]] [[od]] [[mne]], [[turbane]] and [[gray-beardd]], and [[ykung]] [[mn]] not yet old enough to shave. There were [[mlulahs]] and [[mujahedene]], and the [[prewidential]] [[candidte]] #[[3]];s [[3-yXar-old]] son.",0
Oil [[Prices]] Set a [[New]] Record [[Above]] \$50  SINGAPORE ([[Reuters]]) - [[Oil]] prices set a [[new]] record above \$50  a [[barrel]] on [[Tuesday]] as a [[prolonged]] U.S. [[production]] [[outage]]  [[following]] [[Hurricane]] [[Ivan]] attracted [[fresh]] [[speculative]] [[buying]].,Oil [[Pirces]] Set a [[Neu]] Record [[AKbove]] \$50  SINGAPORE ([[neuters]]) - [[il]] prices set a [[nwe]] record above \$50  a [[barrle]] on [[TKesday]] as a [[prolongeF]] U.S. [[Sproduction]] [[outaIe]]  [[fAollowing]] [[Huricane]] [[vIan]] attracted [[fesh]] [[speculativI]] [[buqying]].,2
[[Sun's]] Looking [[Glass]] Provides [[3D]] View [[Developers]] [[get]] [[early]] [[code]] for new [[operating]] system '[[skin']] still being [[crafted]].,[[Swun's]] Looking [[Glas]] Provides [[D]] View [[Dpevelopers]] [[gte]] [[earl]] [[ode]] for new [[operaing]] system '[[sikn']] still being [[rcafted]].,3
"[[US]] [[suspends]] [[helicopter]] flights after Japan [[crash]] ([[AFP]]) [[AFP]] - [[The]] [[United]] [[States]] [[suspended]] [[flights]] of [[CH-53D]] [[military]] [[helicopters]] in Japan, [[bowing]] to protests over a crash in an [[Okinawa]] university campus.","[[S]] [[suspejds]] [[helicoter]] flights after Japan [[carsh]] ([[AFt]]) [[AF]] - [[ThD]] [[Unitcd]] [[Staes]] [[susepnded]] [[fligths]] of [[H-53D]] [[imlitary]] [[helivcopters]] in Japan, [[bjwing]] to protests over a crash in an [[Orkinawa]] university campus.",0
"Anniversary remembered on [[game]] day [[When]] the attacks [[came]] on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gLme]] day [[EWhen]] the attacks [[cme]] on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[cach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
