original_text,perturbed_text,label
"Singapore govt extends [[third-party]] war risk [[insurance]] [[SINGAPORE]] : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends [[tahird-party]] war risk [[insurafce]] [[SINGAPOER]] : The government is extending third-party war risk [[insurLnce]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"Mills Grabs \$[[1B]] Portfolio; Taubman Likely to Lose Contracts Mills [[Corp]]. [[agreed]] to [[purchase]] a 50 [[percent]] interest in nine malls owned by General Motors Asset Management [[Corp]]. for just over \$1 [[billion]], creating a new joint venture between the groups. The deal will [[extend]] ...","Mills Grabs \$[[1wB]] Portfolio; Taubman Likely to Lose Contracts Mills [[Crop]]. [[greed]] to [[purcYhase]] a 50 [[perclent]] interest in nine malls owned by General Motors Asset Management [[Copr]]. for just over \$1 [[billTon]], creating a new joint venture between the groups. The deal will [[eptend]] ...",2
"Sun to shine spotlight on new operating [[system]], [[Solaris]] 10 Sun Microsystems [[SUNW]] is [[expected]] to [[release]] a [[new]] [[version]] of its operating system today - a big [[part]] of the struggling computer maker #[[39]];s plan to save itself.","Sun to shine spotlight on new operating [[ystem]], [[Solares]] 10 Sun Microsystems [[SwUNW]] is [[expeLcted]] to [[releaQse]] a [[nw]] [[veprsion]] of its operating system today - a big [[par]] of the struggling computer maker #[[93]];s plan to save itself.",3
"[[Nokia]] [[announces]] [[Near]] Field [[Communication]] products [[With]] the [[Nokia]] [[NFC]] ([[Near]] [[Field]] Communication) shell on their [[phone]], [[consumers]] will be [[able]] to [[access]] a variety of services and [[exchange]] [[information]] with a [[simple]] touch [[gesture]].","[[okia]] [[agnnounces]] [[eNar]] Field [[Commyunication]] products [[Wqith]] the [[Nrokia]] [[NhFC]] ([[Nhear]] [[iFeld]] Communication) shell on their [[Xhone]], [[consumres]] will be [[afle]] to [[acess]] a variety of services and [[excahnge]] [[informatino]] with a [[simplZe]] touch [[gZsture]].",3
[[Today]] in [[Athens]] Leontien Zijlaard-van [[Moorsel]] of the [[Netherlands]] [[wipes]] a [[tear]] after [[winning]] the [[gold]] [[medal]] in the women #[[39]];s road cycling individual time [[trial]] at the [[Vouliagmeni]] [[Olympic]] [[Centre]] in [[Athens]] on [[Wednesday]]. ,[[Toady]] in [[Athes]] Leontien Zijlaard-van [[MBorsel]] of the [[lNetherlands]] [[wipeX]] a [[teaFr]] after [[iwnning]] the [[gdold]] [[medGl]] in the women #[[e9]];s road cycling individual time [[tIrial]] at the [[Vuoliagmeni]] [[Olypmic]] [[Cnetre]] in [[Athesn]] on [[WedneDday]]. ,1
[[President]] Hu [[congratulates]] [[Sihamoni]] on [[becoming]] [[king]] of [[Cambodia]] Chinese [[President]] [[Hu]] Jintao [[sent]] a message to [[Norodom]] [[Sihamoni]] on Thursday to congratulate him on his election as the king of [[Cambodia]].,[[PresidenY]] Hu [[ongratulates]] [[Sihamnoi]] on [[bcoming]] [[knig]] of [[Camboda]] Chinese [[Presidenut]] [[H]] Jintao [[Osent]] a message to [[Norodo]] [[Sihamoin]] on Thursday to congratulate him on his election as the king of [[Cabmodia]].,0
"[[Afghans]] rocky road to [[historic]] [[elections]] KALAKAN, Afghanistan There were toothless old [[men]], [[turbaned]] and gray-bearded, and young [[men]] not yet old enough to shave. [[There]] were [[mullahs]] and mujahedeen, and the presidential candidate #39;s 3-year-old [[son]].","[[Afnhans]] rocky road to [[hsitoric]] [[eelctions]] KALAKAN, Afghanistan There were toothless old [[me]], [[turbIned]] and gray-bearded, and young [[mn]] not yet old enough to shave. [[Tuere]] were [[mAullahs]] and mujahedeen, and the presidential candidate #39;s 3-year-old [[osn]].",0
[[Oil]] Prices [[Set]] a [[New]] [[Record]] [[Above]] \$50  SINGAPORE ([[Reuters]]) - [[Oil]] prices [[set]] a [[new]] record above \$50  a barrel on [[Tuesday]] as a [[prolonged]] U.S. [[production]] outage  [[following]] Hurricane Ivan attracted fresh speculative [[buying]].,[[Ol]] Prices [[Stet]] a [[Nzw]] [[XRecord]] [[Abone]] \$50  SINGAPORE ([[RHeuters]]) - [[sOil]] prices [[sOt]] a [[nezw]] record above \$50  a barrel on [[Tuesda]] as a [[pLolonged]] U.S. [[Eproduction]] outage  [[folloiwng]] Hurricane Ivan attracted fresh speculative [[bwying]].,2
[[Sun's]] [[Looking]] Glass Provides [[3D]] View [[Developers]] get [[early]] [[code]] for [[new]] operating system 'skin' [[still]] being [[crafted]].,[[SLn's]] [[Lookin]] Glass Provides [[D]] View [[Deveopers]] get [[eraly]] [[coe]] for [[nw]] operating system 'skin' [[stil]] being [[cafted]].,3
"[[Phelps]] Seeks [[More]] Gold at World [[Championships]]  [[INDIANAPOLIS]] (Reuters) - [[Still]] riding a wave of [[euphoria]]  from the Olympics, [[Michael]] Phelps [[returns]] to the pool this week  at the world short course [[swimming]] championships seeking a  repeat of his six gold medals in [[Athens]].","[[Phvlps]] Seeks [[Mvore]] Gold at World [[ChGampionships]]  [[INDIAKNAPOLIS]] (Reuters) - [[DStill]] riding a wave of [[eupSoria]]  from the Olympics, [[MicGael]] Phelps [[retrns]] to the pool this week  at the world short course [[wimming]] championships seeking a  repeat of his six gold medals in [[Ahens]].",1
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gme]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[cocah]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"[[Viacom]], [[Disney]] pay \$1.5M FCC fine [[Disney]] and [[Viacom]] [[agreed]] to a fine of \$1.5 million from the Federal Communications Commission over claims their children #[[39]];s [[cable]] [[television]] [[networks]] violated advertising restrictions, the FCC said Thursday.","[[Viacpm]], [[Disnye]] pay \$1.5M FCC fine [[Dsiney]] and [[iacom]] [[ugreed]] to a fine of \$1.5 million from the Federal Communications Commission over claims their children #[[9]];s [[cablx]] [[teleivsion]] [[networWs]] violated advertising restrictions, the FCC said Thursday.",2
Pfizer Sends Out Update On [[Drug]] Bextra Pfizer Inc. [[said]] [[Friday]] that it will provide [[health-care]] professionals with additional information about its [[Bextra]] arthritis [[drug]] and that it will conduct further studies to confirm the [[drug]] #[[39]];s long-term [[cardiovascular]] safety record.,Pfizer Sends Out Update On [[rDug]] Bextra Pfizer Inc. [[sad]] [[Fridafy]] that it will provide [[health-carwe]] professionals with additional information about its [[Betra]] arthritis [[dru]] and that it will conduct further studies to confirm the [[drgu]] #[[Z39]];s long-term [[cardiovasculr]] safety record.,2
"[[Restive]] [[Maldives]] [[eases]] [[curfew]] after [[rounding]] up dissidents (AFP) AFP - A curfew in the capital of the Maldives was [[eased]] but [[parliament]] sessions were [[put]] off [[indefinitely]] and [[emergency]] [[rule]] [[continued]] [[following]] [[last]] week's [[riots]], [[officials]] and residents [[said]].","[[Resitve]] [[MaIdives]] [[esaes]] [[curefew]] after [[roundGing]] up dissidents (AFP) AFP - A curfew in the capital of the Maldives was [[easde]] but [[Xparliament]] sessions were [[xput]] off [[indefiniteyl]] and [[emergenMy]] [[ule]] [[cNontinued]] [[focllowing]] [[lsat]] week's [[rIiots]], [[offipials]] and residents [[sid]].",0
"[[US]] [[suspends]] [[helicopter]] flights after [[Japan]] [[crash]] ([[AFP]]) AFP - The United States suspended flights of CH-53D [[military]] [[helicopters]] in [[Japan]], bowing to protests over a [[crash]] in an [[Okinawa]] university campus.","[[U]] [[uspends]] [[helicopther]] flights after [[Jbapan]] [[crabh]] ([[AF]]) AFP - The United States suspended flights of CH-53D [[militayr]] [[hleicopters]] in [[JaXan]], bowing to protests over a [[crasNh]] in an [[OkinawX]] university campus.",0
"[[US]] Airways to Alter [[Flights]] [[US]] [[Airways]] [[said]] it will change its flight schedules in February to increase departures at its Charlotte and Philadelphia hubs and create a mini-hub in Fort Lauderdale, Fla.","[[U]] Airways to Alter [[Ffights]] [[U]] [[Airwys]] [[sgaid]] it will change its flight schedules in February to increase departures at its Charlotte and Philadelphia hubs and create a mini-hub in Fort Lauderdale, Fla.",2
Radcliffe to [[Run]] in [[New]] [[York]] [[Marathon]]  LONDON (Reuters) - [[World]] [[marathon]] [[record]] [[holder]] Paula  [[Radcliffe]] believes she has [[put]] her [[failure]] at the [[Athens]]  [[Olympics]] [[behind]] her after [[announcing]] on [[Tuesday]] that she will  [[run]] in the New [[York]] marathon on November 7.,Radcliffe to [[Rgun]] in [[Ne]] [[Yokr]] [[pMarathon]]  LONDON (Reuters) - [[Wolrd]] [[maraehon]] [[recword]] [[holdhr]] Paula  [[Rjadcliffe]] believes she has [[pNut]] her [[failurb]] at the [[Athes]]  [[Olympcis]] [[fehind]] her after [[annGuncing]] on [[TuMesday]] that she will  [[Iun]] in the New [[Yorfk]] marathon on November 7.,1
Fresh bid to [[dismiss]] [[Jackson]] case Lawyers for Michael Jackson say the singer's child molestation case should be dropped.,Fresh bid to [[dsmiss]] [[JacksoX]] case Lawyers for Michael Jackson say the singer's child molestation case should be dropped.,0
"[[Air]] Canada confirms [[order]] for 45 [[Embraer]] [[jets]] [[MONTREAL]] : [[Air]] Canada said it sealed a [[deal]] with Brazil #39;s [[Embraer]] SA for 45 Embraer-190 aircraft, worth 1.35 [[billion]] US dollars at list price.","[[iAr]] Canada confirms [[Yorder]] for 45 [[hmbraer]] [[jetZs]] [[MONTRAEL]] : [[CAir]] Canada said it sealed a [[deawl]] with Brazil #39;s [[mbraer]] SA for 45 Embraer-190 aircraft, worth 1.35 [[billwion]] US dollars at list price.",2
"[[Hostages]] plight clouds meeting of [[Blairs]] party BRIGHTON, England [[The]] annual conference of [[Prime]] Minister Tony Blair #39;s Labour Party opened here [[Monday]] under the pall of the war in Iraq, as the fate of the [[British]] [[hostage]] Ken [[Bigley]] remained uncertain amid fresh appeals for his release from [[family]] ","[[Hostxges]] plight clouds meeting of [[Balirs]] party BRIGHTON, England [[TLhe]] annual conference of [[nPrime]] Minister Tony Blair #39;s Labour Party opened here [[Mohnday]] under the pall of the war in Iraq, as the fate of the [[Bitish]] [[hostge]] Ken [[sigley]] remained uncertain amid fresh appeals for his release from [[fmaily]] ",0
"union halts vote on grocers #39; offer Members of the [[grocery]] [[workers]] [[union]] will continue to meet to discuss the final contract [[proposal]] from King Soopers, Safeway and Albertsons following a surprise decision by the [[international]] [[union]] to halt voting on the offers.","union halts vote on grocers #39; offer Members of the [[grocerwy]] [[worers]] [[unino]] will continue to meet to discuss the final contract [[propEsal]] from King Soopers, Safeway and Albertsons following a surprise decision by the [[internaitonal]] [[uinon]] to halt voting on the offers.",2
"[[P2P]] Services in the Clear [[In]] a major [[setback]] for the [[music]] and movie [[industries]], a federal appeals [[court]] [[upholds]] a lower [[court's]] decision in the [[infamous]] [[Grokster]] case, ruling peer-to-peer services Morpheus and Grokster are not liable for the copyright [[infringement]] of their users. By [[Katie]] Dean.","[[PP]] Services in the Clear [[n]] a major [[setbLck]] for the [[musci]] and movie [[industrbes]], a federal appeals [[Qourt]] [[uphlds]] a lower [[couZrt's]] decision in the [[bnfamous]] [[Grkster]] case, ruling peer-to-peer services Morpheus and Grokster are not liable for the copyright [[hinfringement]] of their users. By [[Ktie]] Dean.",3
Cycling: [[Petacchi]] wins second [[stage]] in [[Spain]] [[MADRID]] : [[Alessandro]] Petacchi [[showed]] why he is [[considered]] one of the [[world]] #[[39]];s [[top]] sprinters when [[coming]] out on top in a [[mass]] [[dash]] to the line in the [[second]] [[stage]] of the [[Tour]] of [[Spain]].,Cycling: [[Petaccih]] wins second [[tage]] in [[SpYin]] [[MAZDRID]] : [[Aldessandro]] Petacchi [[shwed]] why he is [[conisdered]] one of the [[Lorld]] #[[e9]];s [[tozp]] sprinters when [[comitg]] out on top in a [[masp]] [[daSsh]] to the line in the [[semond]] [[sGtage]] of the [[Tofur]] of [[Sapin]].,1
PeopleSoft customers reassured Oracle Corp. President Charles Phillips on Monday said PeopleSoft Inc. customers have become more comfortable with the prospect of a merger between the two software [[firms]] even as the proposed transaction awaits a critical ruling from a [[Delaware]] court.,PeopleSoft customers reassured Oracle Corp. President Charles Phillips on Monday said PeopleSoft Inc. customers have become more comfortable with the prospect of a merger between the two software [[firfs]] even as the proposed transaction awaits a critical ruling from a [[Deaware]] court.,2
"[[Massachusetts]] [[61]], No. 7 Connecticut 59 Massachusetts made sure its first home [[game]] against a defending [[national]] champion was one to remember. [[The]] Minutemen stunned seventh-ranked [[Connecticut]] 61-59 on [[Rashaun]] Freeman #[[39]];s [[layup]] with 4.3 [[seconds]] to play Thursday [[night]].","[[MassachuseMts]] [[E1]], No. 7 Connecticut 59 Massachusetts made sure its first home [[gmae]] against a defending [[nrational]] champion was one to remember. [[he]] Minutemen stunned seventh-ranked [[ConYecticut]] 61-59 on [[Rtashaun]] Freeman #[[3W]];s [[lauyp]] with 4.3 [[cseconds]] to play Thursday [[nyight]].",1
"[[Stocks]] Climb on Drop in Consumer Prices NEW [[YORK]] - [[Stocks]] rose for a second straight session Tuesday as a drop in consumer prices allowed investors to put aside worries about inflation, at least for the short term.    With gasoline prices falling to [[eight-month]] lows, the Consumer Price Index registered a small drop in July, giving consumers a respite from soaring energy prices...","[[tSocks]] Climb on Drop in Consumer Prices NEW [[YRK]] - [[StocQks]] rose for a second straight session Tuesday as a drop in consumer prices allowed investors to put aside worries about inflation, at least for the short term.    With gasoline prices falling to [[egiht-month]] lows, the Consumer Price Index registered a small drop in July, giving consumers a respite from soaring energy prices...",0
