text,label
a minimalist beauty and ,1
a stand up and cheer flick ,1
encouraging thought ,1
eventually works its way up to merely bad rather than painfully awful ,0
our infantilized culture ,0
compromising that complexity ,0
extravagantly redeems it ,1
commands ,1
corruption ,0
amusing nor dramatic enough to sustain interest ,0
the food is enticing ,1
cutesy romantic tale ,1
does probably as good a job as anyone at bringing off the hopkins/rock collision of acting styles and onscreen personas ,1
an inelegant combination of two unrelated shorts that falls far short ,0
", the film works as well as it does because of the performances . ",1
antwone fisher certainly does the trick of making us care about its protagonist and celebrate his victories ,1
"affords to watch jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad ",1
a breathtakingly assured and stylish work ,1
beautiful film ,1
you are likely to witness in a movie theater for some time ,1
"nothing overly original , mind you , but solidly entertaining ",1
imagine o. henry 's the gift of the magi relocated to the scuzzy underbelly of nyc 's drug scene . ,0
the big screen postcard that is a self-glorified martin lawrence lovefest ,0
"though the film is static , its writer-director 's heart is in the right place , his plea for democracy and civic action laudable . ",1
"i liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and ",0
is left puzzled by the mechanics of the delivery ,0
"we 've seen it all before in one form or another , but director hoffman , with great help from kevin kline , makes us care about this latest reincarnation of the world 's greatest teacher . ",1
who are trying to make their way through this tragedy ,0
"jumps off the page , and for the memorable character creations ",1
the film never feels derivative ,1
is dazzling ,1
its emotional power ,1
marvelous performance ,1
of purpose ,1
trudge ,0
the film 's messages of tolerance and diversity are n't particularly original ,0
it overstays its natural running time ,0
"how a rich historical subject , combined with so much first-rate talent ... could have yielded such a flat , plodding picture ",0
beyond-lame satire ,0
"i do n't know if frailty will turn bill paxton into an a-list director , but ",1
"simply stupid , irrelevant ",0
nary an original idea ,0
"the structure is simple , but in its own way , rabbit-proof fence is a quest story as grand as the lord of the rings ",1
loosely connected ,0
unamusing ,0
is as deep as a petri dish and as well-characterized as a telephone book but still ,0
probably limited to lds church members and undemanding armchair tourists ,0
"one of those films where the characters inhabit that special annex of hell where adults behave like kids , children behave like adults and everyone screams at the top of their lungs no matter what the situation . ",0
stunning film ,1
could have -- should have -- been allowed to stand on their own ,0
"the delicious trimmings ... arrive early and stay late , filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a scrooge or two . ",1
believable performances ,1
from laughing at the ridiculous dialog or the oh-so convenient plot twists ,0
study that made up for its rather slow beginning by drawing me into the picture . ,1
duvall ( also a producer ) peels layers from this character that may well not have existed on paper . ,1
he 's one of the few ` cool ' actors who never seems aware of his own coolness . ,1
`` soon-to-be-forgettable '' section ,0
the tale commands attention . ,1
show to steal ,1
"is thinking that we needed sweeping , dramatic , hollywood moments to keep us ",0
"bizarre , implausible ",0
suitably anonymous chiller ,1
entertainment adults can see without feeling embarrassed ,1
is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes . ,0
"with nary a glimmer of self-knowledge , ( crane ) becomes more specimen than character -- and auto focus remains a chilly , clinical lab report . ",0
