"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.737337589263916,0.737337589263916,3,3,2,1,"Skipped"
"[[Mills]] [[Grabs]] \$1B [[Portfolio]]; Taubman Likely to Lose [[Contracts]] Mills Corp. agreed to purchase a 50 percent [[interest]] in [[nine]] malls owned by [[General]] Motors Asset Management Corp. for just over \$1 billion, creating a new joint [[venture]] between the [[groups]]. The [[deal]] will [[extend]] ...","[[mill]] [[seize]] \$1B [[portfolio]]; Taubman Likely to Lose [[declaration]] Mills Corp. agreed to purchase a 50 percent [[stake]] in [[9]] malls owned by [[ecumenical]] Motors Asset Management Corp. for just over \$1 billion, creating a new joint [[hazard]] between the [[grouping]]. The [[mess]] will [[cover]] ...",0.3897966146469116,0.6031498908996582,2,0,2,426,"Successful"
"[[Sun]] to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is expected to [[release]] a new version of its operating system today - a [[big]] part of the struggling computer maker #39;s plan to save itself.","[[Sunday]] to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is expected to [[exit]] a new version of its operating system today - a [[cock-a-hoop]] part of the struggling computer maker #39;s plan to save itself.",0.20479273796081543,0.6316535472869873,3,2,3,366,"Successful"
"Fed Cup all [[tied]] up FRANCE #39;S Russian-born Tatiana Golovin [[left]] the Fed Cup final hanging in the [[balance]] today as she [[beat]] Russia #39;s US Open [[champion]] Svetlana Kuznetsova 6-4, 6-1 to [[level]] the [[tie]] at 2-2 and take it to the final doubles match.","Fed Cup all [[bond]] up FRANCE #39;S Russian-born Tatiana Golovin [[will]] the Fed Cup final hanging in the [[residual]] today as she [[measure]] Russia #39;s US Open [[booster]] Svetlana Kuznetsova 6-4, 6-1 to [[grade]] the [[connect]] at 2-2 and take it to the final doubles match.",0.32406026124954224,0.6566190719604492,1,2,1,584,"Successful"
"Nokia [[announces]] [[Near]] [[Field]] [[Communication]] [[products]] With the Nokia NFC ([[Near]] [[Field]] Communication) [[shell]] on their [[phone]], [[consumers]] will be able to access a [[variety]] of [[services]] and [[exchange]] [[information]] with a [[simple]] [[touch]] [[gesture]].","Nokia [[declare]] [[approximate]] [[plain]] [[communicating]] [[intersection]] With the Nokia NFC ([[penny-pinching]] [[area]] Communication) [[plate]] on their [[sound]], [[consumer]] will be able to access a [[diverseness]] of [[overhaul]] and [[switch]] [[entropy]] with a [[elementary]] [[pinch]] [[motion]].",0.2814198136329651,0.50153648853302,3,3,3,417,"Failed"
"Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after winning the [[gold]] [[medal]] in the [[women]] #39;s road [[cycling]] [[individual]] time [[trial]] at the Vouliagmeni Olympic [[Centre]] in Athens on Wednesday. ","Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[buck]] after winning the [[Au]] [[ribbon]] in the [[char]] #39;s road [[motorbike]] [[single]] time [[test]] at the Vouliagmeni Olympic [[center]] in Athens on Wednesday. ",0.3543427586555481,0.6968443393707275,1,2,1,218,"Successful"
"[[President]] Hu congratulates Sihamoni on [[becoming]] [[king]] of Cambodia Chinese [[President]] Hu Jintao [[sent]] a [[message]] to Norodom Sihamoni on [[Thursday]] to congratulate him on his election as the [[king]] of Cambodia.","[[chair]] Hu congratulates Sihamoni on [[get]] [[world-beater]] of Cambodia Chinese [[chairman]] Hu Jintao [[charge]] a [[substance]] to Norodom Sihamoni on [[Th]] to congratulate him on his election as the [[Rex]] of Cambodia.",0.277884840965271,0.6527162790298462,0,1,0,161,"Successful"
"Govt. to [[Test]] New Air Passenger [[Screening]] Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to [[air]] travel.","Govt. to [[essay]] New Air Passenger [[screening]] Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to [[ventilate]] travel.",0.39100050926208496,0.7302037477493286,3,2,3,253,"Successful"
"[[Afghans]] [[rocky]] [[road]] to historic [[elections]] KALAKAN, Afghanistan [[There]] were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not [[yet]] [[old]] [[enough]] to [[shave]]. There were [[mullahs]] and [[mujahedeen]], and the presidential [[candidate]] #[[39]];s 3-year-old [[son]].","[[Afghanistani]] [[bouldered]] [[route]] to historic [[election]] KALAKAN, Afghanistan [[there]] were toothless [[previous]] [[workforce]], turbaned and gray-bearded, and [[youthful]] [[humankind]] not [[nonetheless]] [[sometime]] [[plenty]] to [[plane]]. There were [[Mullah]] and [[mujahadeen]], and the presidential [[campaigner]] #[[ixl]];s 3-year-old [[Logos]].",0.33080852031707764,0.3804737329483032,0,0,0,272,"Failed"
"Oil Prices Set a New Record Above \$50  [[SINGAPORE]] (Reuters) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged [[U]].[[S]]. production outage  [[following]] [[Hurricane]] Ivan attracted fresh speculative buying.","Oil Prices Set a New Record Above \$50  [[Singapore]] (Reuters) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged [[uranium]].[[sec]]. production outage  [[adopt]] [[hurricane]] Ivan attracted fresh speculative buying.",0.44133877754211426,0.6045585870742798,2,3,2,362,"Successful"
