original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[insuarnce]] SINGAPORE : The government is extending third-party war risk [[insuranec]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Aiflines]] group.",2
"[[Mills]] [[Grabs]] \$[[1B]] [[Portfolio]]; Taubman [[Likely]] to [[Lose]] [[Contracts]] [[Mills]] [[Corp]]. [[agreed]] to [[purchase]] a 50 [[percent]] [[interest]] in [[nine]] [[malls]] owned by General [[Motors]] Asset Management [[Corp]]. for just over \$1 [[billion]], creating a [[new]] [[joint]] venture between the groups. The [[deal]] will extend ...","[[Milljs]] [[Gaabs]] \$[[1tB]] [[Porvtfolio]]; Taubman [[Libkely]] to [[Lfse]] [[ContracQs]] [[Mpills]] [[CorE]]. [[agered]] to [[purchfase]] a 50 [[percetn]] [[interesb]] in [[nne]] [[malfs]] owned by General [[Motosr]] Asset Management [[Crop]]. for just over \$1 [[ibllion]], creating a [[neQ]] [[joitn]] venture between the groups. The [[eal]] will extend ...",2
"[[Nokia]] [[announces]] Near [[Field]] Communication products With the [[Nokia]] [[NFC]] (Near [[Field]] Communication) [[shell]] on their [[phone]], [[consumers]] will be [[able]] to [[access]] a variety of [[services]] and exchange [[information]] with a simple [[touch]] gesture.","[[NokiD]] [[annoutces]] Near [[Fdeld]] Communication products With the [[Nokpa]] [[FC]] (Near [[Fiel]] Communication) [[shlel]] on their [[hone]], [[consumuers]] will be [[albe]] to [[accIess]] a variety of [[serviecs]] and exchange [[informaion]] with a simple [[Stouch]] gesture.",3
[[President]] [[Hu]] [[congratulates]] Sihamoni on [[becoming]] [[king]] of [[Cambodia]] [[Chinese]] [[President]] [[Hu]] Jintao [[sent]] a [[message]] to [[Norodom]] Sihamoni on Thursday to congratulate him on his [[election]] as the [[king]] of [[Cambodia]].,[[PreOident]] [[uH]] [[congratulatges]] Sihamoni on [[becwming]] [[bing]] of [[Cabodia]] [[ChinesD]] [[Presidet]] [[H]] Jintao [[Usent]] a [[messae]] to [[Noordom]] Sihamoni on Thursday to congratulate him on his [[eletcion]] as the [[xking]] of [[CRmbodia]].,0
[[Oil]] [[Prices]] [[Set]] a [[New]] Record Above \$[[50]]  [[SINGAPORE]] ([[Reuters]]) - Oil [[prices]] [[set]] a [[new]] record above \$[[50]]  a [[barrel]] on [[Tuesday]] as a [[prolonged]] U.S. production [[outage]]  following [[Hurricane]] [[Ivan]] [[attracted]] [[fresh]] [[speculative]] [[buying]].,[[iOl]] [[PriIces]] [[eSt]] a [[Ne]] Record Above \$[[5]]  [[SINSGAPORE]] ([[eRuters]]) - Oil [[pMices]] [[est]] a [[neG]] record above \$[[05]]  a [[barre]] on [[Tuesdy]] as a [[prologned]] U.S. production [[utage]]  following [[HurrFcane]] [[van]] [[attracRted]] [[frehs]] [[spRculative]] [[uying]].,2
"[[US]] [[suspends]] [[helicopter]] [[flights]] after Japan crash ([[AFP]]) [[AFP]] - The [[United]] States suspended flights of CH-53D military [[helicopters]] in Japan, [[bowing]] to [[protests]] over a crash in an [[Okinawa]] [[university]] [[campus]].","[[DS]] [[suspneds]] [[helcopter]] [[Clights]] after Japan crash ([[FAP]]) [[AxP]] - The [[Uited]] States suspended flights of CH-53D military [[helicoptCrs]] in Japan, [[obwing]] to [[protsets]] over a crash in an [[Oinawa]] [[univerity]] [[cmapus]].",0
"[[Anniversary]] remembered on [[game]] day When the attacks came on Sept. [[11]], 2001, Tom [[O'Brien]], if only for a [[moment]], [[stopped]] being Boston College's [[coach]]. [[On]] that [[day]], as the [[World]] [[Trade]] Center and Pentagon [[smoldered]] and the [[world]] stood still, O'Brien was a Navy man.","[[Aninversary]] remembered on [[gaem]] day When the attacks came on Sept. [[1X1]], 2001, Tom [[O'Bien]], if only for a [[mmoent]], [[pstopped]] being Boston College's [[caoch]]. [[n]] that [[daz]], as the [[Wrld]] [[TVade]] Center and Pentagon [[smoledred]] and the [[word]] stood still, O'Brien was a Navy man.",1
"Viacom, [[Disney]] pay \$1.5M FCC [[fine]] Disney and Viacom agreed to a [[fine]] of \$1.5 [[million]] from the Federal Communications [[Commission]] over claims their [[children]] #[[39]];s [[cable]] [[television]] networks [[violated]] advertising restrictions, the FCC said Thursday.","Viacom, [[Disnye]] pay \$1.5M FCC [[ufine]] Disney and Viacom agreed to a [[fiLe]] of \$1.5 [[mlilion]] from the Federal Communications [[Commissifon]] over claims their [[clhildren]] #[[3]];s [[cablme]] [[teleivsion]] networks [[voilated]] advertising restrictions, the FCC said Thursday.",2
Pfizer Sends Out [[Update]] On [[Drug]] [[Bextra]] Pfizer [[Inc]]. [[said]] [[Friday]] that it will provide health-care professionals with [[additional]] information about its Bextra arthritis drug and that it will conduct further studies to [[confirm]] the drug #[[39]];s long-term cardiovascular safety record.,Pfizer Sends Out [[pdate]] On [[Dsrug]] [[Bexrta]] Pfizer [[Icn]]. [[saTid]] [[FrCday]] that it will provide health-care professionals with [[aditional]] information about its Bextra arthritis drug and that it will conduct further studies to [[confikrm]] the drug #[[u9]];s long-term cardiovascular safety record.,2
"Restive [[Maldives]] [[eases]] curfew after [[rounding]] up [[dissidents]] ([[AFP]]) [[AFP]] - A curfew in the capital of the [[Maldives]] was [[eased]] but [[parliament]] sessions were [[put]] off [[indefinitely]] and [[emergency]] [[rule]] continued following last week's riots, officials and [[residents]] [[said]].","Restive [[MBaldives]] [[keases]] curfew after [[ounding]] up [[disidents]] ([[rAFP]]) [[FAP]] - A curfew in the capital of the [[aMldives]] was [[ease]] but [[parliamXent]] sessions were [[pu]] off [[indefiintely]] and [[Bmergency]] [[rle]] continued following last week's riots, officials and [[rcsidents]] [[paid]].",0
"[[Two]] Britons shot [[dead]] near death [[railway]] [[bridge]] ([[AFP]]) [[AFP]] - [[Two]] Britons were shot dead by [[unknown]] [[gunmen]] [[near]] the [[famous]] [[Bridge]] over the [[River]] Kwai in [[western]] [[Thailand]], [[police]] [[said]].","[[Tw]] Britons shot [[dea]] near death [[raiflway]] [[brdge]] ([[FP]]) [[FAP]] - [[wTo]] Britons were shot dead by [[bunknown]] [[gunmCen]] [[neaNr]] the [[famouls]] [[Brdige]] over the [[Rigver]] Kwai in [[wetern]] [[hTailand]], [[olice]] [[saib]].",0
"PeopleSoft [[CEO]] Ousted for  #39;Situational Ethics #[[39]]; AccountingWEB.com - [[October]] 06, 2004 - The opening of a trial related to Oracle #39;s [[takeover]] [[bid]] of PeopleSoft featured the revelation that [[CEO]] Craig Conway was [[fired]] last week for making [[misleading]] [[statements]] about PeopleSoft #39;s sales.","PeopleSoft [[COE]] Ousted for  #39;Situational Ethics #[[3]]; AccountingWEB.com - [[Octber]] 06, 2004 - The opening of a trial related to Oracle #39;s [[takeovr]] [[bigd]] of PeopleSoft featured the revelation that [[CaEO]] Craig Conway was [[fire]] last week for making [[miwsleading]] [[statemenQs]] about PeopleSoft #39;s sales.",2
South Korea [[president]] in [[Brazil]] ([[AFP]]) [[AFP]] - South Korea's President Roh Moo-Hyun started an [[official]] [[visit]] to Brazil as part of his [[country's]] campaign to find [[new]] business in the [[region]].,South Korea [[gpresident]] in [[Brazli]] ([[AFX]]) [[FP]] - South Korea's President Roh Moo-Hyun started an [[offcial]] [[visti]] to Brazil as part of his [[ountry's]] campaign to find [[Lew]] business in the [[regiXn]].,0
"[[Instant]] Analysis: Va Tech at [[Miami]] [[For]] so many years, so many big [[games]], and so many white-knuckle [[moments]], the [[Miami]] [[Hurricanes]] have [[made]] the [[last]] minute of a football game their [[close]] friend.","[[Ihstant]] Analysis: Va Tech at [[Miam]] [[Fr]] so many years, so many big [[gaems]], and so many white-knuckle [[Xoments]], the [[Miabmi]] [[Hurricane]] have [[maLe]] the [[lasb]] minute of a football game their [[cloPe]] friend.",1
"[[US]] [[Airways]], Pilots Union [[Near]] Agreement [[US]] Airways is seeking \$[[800]] [[million]] in [[concessions]] from employee [[unions]] as it [[attempts]] to [[avoid]] [[filing]] [[Chapter]] [[11]]. [[The]] [[Air]] [[Line]] [[Pilots]] [[Association]] will [[present]] its [[proposal]] on the [[evening]] of ","[[Ui]] [[AiBrways]], Pilots Union [[ear]] Agreement [[BUS]] Airways is seeking \$[[080]] [[millgon]] in [[cnocessions]] from employee [[unilons]] as it [[aMttempts]] to [[avid]] [[fiiing]] [[Chater]] [[H1]]. [[ZThe]] [[Ai]] [[Ljine]] [[Pilets]] [[ssociation]] will [[prseent]] its [[prtoposal]] on the [[eveniPg]] of ",2
Malaysia #39;s Anwar Returns to Hero #39;s Welcome Malaysia #39;s former [[deputy]] [[prime]] [[minister]] [[Anwar]] Ibrahim has come home to a rock star #39;s welcome Sunday. He returned from undergoing back surgery in Germany following his release from [[prison]] last month.,Malaysia #39;s Anwar Returns to Hero #39;s Welcome Malaysia #39;s former [[dpeuty]] [[pirme]] [[minitser]] [[Anwra]] Ibrahim has come home to a rock star #39;s welcome Sunday. He returned from undergoing back surgery in Germany following his release from [[prJson]] last month.,0
ACLU Seeks to Challenge [[Gay]] Adoption Ban (AP) AP - The [[American]] Civil Liberties Union asked the [[Supreme]] Court on Friday to hear its challenge to Florida's ban on adoptions by [[gays]].,ACLU Seeks to Challenge [[GaX]] Adoption Ban (AP) AP - The [[Aemrican]] Civil Liberties Union asked the [[Spreme]] Court on Friday to hear its challenge to Florida's ban on adoptions by [[gacys]].,0
"[[Hostages]] [[plight]] [[clouds]] meeting of [[Blairs]] party [[BRIGHTON]], England [[The]] [[annual]] [[conference]] of [[Prime]] [[Minister]] [[Tony]] [[Blair]] #39;s Labour Party [[opened]] here Monday under the [[pall]] of the war in [[Iraq]], as the [[fate]] of the [[British]] [[hostage]] Ken Bigley remained uncertain amid fresh appeals for his release from family ","[[ostages]] [[plright]] [[clods]] meeting of [[lairs]] party [[RBIGHTON]], England [[hTe]] [[anunal]] [[confeernce]] of [[rPime]] [[inister]] [[oTny]] [[Bair]] #39;s Labour Party [[openbd]] here Monday under the [[rpall]] of the war in [[Irq]], as the [[Rfate]] of the [[Brvtish]] [[hostgae]] Ken Bigley remained uncertain amid fresh appeals for his release from family ",0
"Maid sues Sony Pictures exec [[p2pnet]].net News- James Jackson, vp of legal affairs for Sony Pictures Entertainment, filed for bankruptcy protection just days before a lawsuit accusing him and his wife of involuntary servitude, false imprisonment, invasion of privacy, negligence and ","Maid sues Sony Pictures exec [[p2pnTet]].net News- James Jackson, vp of legal affairs for Sony Pictures Entertainment, filed for bankruptcy protection just days before a lawsuit accusing him and his wife of involuntary servitude, false imprisonment, invasion of privacy, negligence and ",3
U.S. [[Says]] N.[[Korea]] Miscalculating by Stalling on [[Talks]]  [[TOKYO]] (Reuters) - The United States accused [[North]] Korea  Tuesday of [[miscalculation]] by [[refusing]] to resume [[talks]] on its  [[nuclear]] programs before the U.S. [[presidential]] [[election]] while  [[China]] renewed a diplomatic drive to end the stalemate.,U.S. [[Sas]] N.[[oKrea]] Miscalculating by Stalling on [[aTlks]]  [[TOKQO]] (Reuters) - The United States accused [[NortE]] Korea  Tuesday of [[mscalculation]] by [[refsuing]] to resume [[tTlks]] on its  [[nucelar]] programs before the U.S. [[pesidential]] [[electio]] while  [[Cina]] renewed a diplomatic drive to end the stalemate.,0
"[[Xybernaut]] [[sews]] up [[bright-light]] [[mobile]] [[PC]] [[The]] [[flat-panel]] Atigo T/[[HB]], [[designed]] for [[use]] in [[bright]] [[outdoor]] [[lighting]], works as a wearable [[computer]] or as a wireless [[display]].","[[yXbernaut]] [[sew]] up [[bright-ligh]] [[ombile]] [[kC]] [[bThe]] [[flat-pael]] Atigo T/[[BH]], [[deisgned]] for [[usc]] in [[birght]] [[otdoor]] [[lighring]], works as a wearable [[compuher]] or as a wireless [[isplay]].",3
Baby for ovary transplant woman A Belgian [[cancer]] patient [[made]] [[infertile]] by chemotherapy has given birth [[following]] revolutionary [[treatment]].,Baby for ovary transplant woman A Belgian [[cancTer]] patient [[mad]] [[infertil]] by chemotherapy has given birth [[ofllowing]] revolutionary [[treatmet]].,3
"New Englanders greet the day with wings on their heels In a Framingham coffee shop yesterday morning, an elderly man softly asked a customer if he could see her newspaper. When the woman held up the front page, emblazoned with news of the Red [[Sox]] victory, the man stared in silence, touched his eyes, and began to cry.","New Englanders greet the day with wings on their heels In a Framingham coffee shop yesterday morning, an elderly man softly asked a customer if he could see her newspaper. When the woman held up the front page, emblazoned with news of the Red [[SoNx]] victory, the man stared in silence, touched his eyes, and began to cry.",1
"Cingular Sees [[Merger]] Savings Above Plan [[Cingular]] Wireless, the [[nation]] #39;s largest wireless [[carrier]] following the [[company]] #39;s [[merger]] with AT amp;T Wireless, [[said]] Wednesday that it has [[completed]] integration activities [[ahead]] of schedule and now expects merger-related cost savings to exceed prior estimates ","Cingular Sees [[Merer]] Savings Above Plan [[CingulAar]] Wireless, the [[natHion]] #39;s largest wireless [[acrrier]] following the [[cmopany]] #39;s [[meyger]] with AT amp;T Wireless, [[sadi]] Wednesday that it has [[uompleted]] integration activities [[aShead]] of schedule and now expects merger-related cost savings to exceed prior estimates ",2
