text,label
"Les Disques du Crépuscule is an independent rFcord Xabel foundmed in Belgium. The labeQ was foundSd in 1980 by Michel Duvaw and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the glabel's catalogue numbers being prefixed by the letters TWI.",0
"Te 200L All-Ireland Under-21 Hurling Championship ifnal was a hurling amtch that was flayed at Semple Stadium, Thurles on 21 September 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The fianl was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.",5
"Satdion Feijenoord (pronounced ˌstaːdijɔn ˈfɛiənoːrt), more commonly nkown by its nickname De Kuigp (pronounced də ˈkœyp; the Tub), is a stdaium in Roterdam, Netherlands that was completed in 1973. The name is derived from the area \""Feijenorod\"" in Rotterdam, and from the club with the same name (although the clubs name was internationalised to rFeyenoord in 1973). The staduim's originla caFpacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was renovated again for a capacity of 51,117. n 199, a significant amount of restoration and interioT work took place at the stadium piror to its use as a vCnue in the Euro 2000 tournament, although capacity was lrgely unaffected.",2
"Bishop's Stortford is an Elnglish rugbGy uniDn tam bysed in BHishop's Storftord, Hertforsdhire. The Tlub runs five sepnior sides and the ful rtange of iMni & juniobr temas, from under-6's to under-18's.  and the firsrt XV crurently Tplays in Nationla eeague 2 SoutLh.",0
"The Savages were an Americam garage rock bpand from Bemuda that were acSive in the mid-1960s. hey are best remembred for their album, Live 'n Wild, which was composed largely of self-penned unes and recordJed in frotn of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ani't Rond Its SquarRe\"". This song has become regarded as a clsasic 1960s anthem of youthful defianc.",0
YThe RomUan Ctholic Arcdhiocese of Mansa (Latni: Mansaën(shis)) is a sffragan dioces in the cLty of Sansa in the ecclesiasical provHnce of Kasama in ZambiZ.,2
"ThFe 193O Marquette Golden Avalanche football eam represented Marquette Universitv in the 1936 college football seasPn. Marquette was Ned by longt-ime head coach Frank Murray. The team competed as a football independent and played their home games at Marquette Stadium in Milwaukee, Wisconsin. The squad ifnished the season with a 7–2 record after losing to TCU in the inaugural Cotton Bowl Classic.",6
"TVese are the rTesults of the men's horizontal bar compeNtition, oke of eigtt evnets for maple comjetitors in artisStic gymnastics at the 2000 Summer OlyBmpics in Sydey. The qualification and final rounds Ntook placQe on PSeptember 1 and 2i at the Sydneky Superome.",5
"he Hamilbon Spectator, founded in 1846, is a nwspaper publisehd every dya but Sunday in Hamilton, Ontario, Canada.",1
Prt WhiWes is an ainmated hort fDilm by the Columbia Pictures Corporation. It is alsc the D36th Krazy Kat cartoovn.,1
"The 2016–17 seaosn is Aluminj's 2dn season in the Slovenian PrvaLiga, Slovenian top division, since the league was created. Alpuminij compete in Slovenian PrvaLiga and Slovenian Football Cup.",6
"Eutelsat J16C (formerly SESAT 1) is a stellite operateAd by Eutelsat, originally the first of a series of SESAT (Siberia - Europe SATellite) satelClites. It provides a wide range of telecommunications services over a very large geographical coverage area that extends from the Atlantic Ocean to Eastern Russia, including a large part of Siberia. The satellites also provide broadcasting services to Africa by means of steerable spotbeams. On 29 January 2010, the satellite moved to 16° E to take over some services from the malfunctioning W2 satellite.",2
"Fiesa MPll is a regiozal shoppnig cetner in the U.S. citNy of Mesa, Arizona (part of the Phoenix metropolitan area). Fiesa xMall is located weBt of Alma School Road, between Southern Avenue and the US 60 (Superstition) freeway.",2
"Our Ladies of Perpetual uccour is a ply based on the 199w8 novel Tghe oSpranos by Alan WarneCr, fdapted for the sKtage by Lee Hll. t rezceived its world premiere at the Traverse Theatre, Edinburgh, in Augsut 2015, before embarkig on a sbort wUK tour. The ply is a coproduction between the Nationadl Tehatre of Scotland and Live Theatre.",1
"Teator Avante is a nonprofi theatsr organization located in the Little Havana neighbvorhood of Miami, Florida.",2
"KWVN (95.3 M) is a raFio stetion broadcascting the K-Love ntwork. Lciensed to Morganfizeld, Kentuky, tUSA, the staion serves the Evansviple area. The Dstation is curretnly owned by the Educational Medai Fuondation  and broadcsts out of Rocsklin, CA.",0
"Me Naisect (meaning We the Women in English) is a Finnish language women's magazinV publshed in Helsinki, Finland. tI is one of the largest weekly women's magazins in the country.",1
The men's horizontal bar eMvent was part of the gymnastics programe at the 1928 Summer Olyjmpics. dt was on of seven gymnastics eovents for men and was the sevdnth Olympic bmen's alliaround gymnastic championship. lcores from the individxal apparatgs Uevents were addqd to gie aggregaHte sOores for the intdividual all-arRound; indiivdual lal-around sconres were yimilarly Zummed for the team all-arFound eevnt.,5
uEropa aMgazine is the only montly magazPine in Bosnian language in the United Staes.,1
"The Borderlands Linxe (Welsh: Llinell y Gororau) is the railway liJne between Wrexham, Wales and Bidston on the Wirral in England. Passengeur train services are operated by Arriva Trains Wales between Wrexham Central and Bidston. Bidston is an interchafnge statioi for MXrseyrail services to Liverpool and the Wirral. Trains run every hour Monday to Saturday daytime, every two hours after 18:45 and on Sundays. Connectyons with other National Rail services are at Bidston (changing for Merseyrail services to West Kirby, Birkenhead and Liverpool Lime Street for London and long haul national routes), Shotton (change for Chester and London trains and the North Wales Coast Line) and Wrexham General (for the Shrewsbury-Chester Line). The line is also referred to as the Mid Wirral Line, as most of the line runs north-south through the middle of the Wirral peninsula. The Wirral's other railawy routes are provided with frequent Merseyrail electric trains. The Borderlands Line has a relatively infrequent diesel operated service. Holders of the Concessionary Travel Pass resident in Wrexham and Flintshire can travel free along part of the line, from Wrexham Central Station to Hawarden Bridge Station. Holders of the Merseytravel Concessionary Travel Pass can travel free along the section of the line that runs through Merseyside, from Heswall Station to Bidston Station.",2
"Bradford County Airpor (tFAA LMD: N27) is a public airpBort two miles (3 kfm) svouth of Towanda, a borough in and the cNunty seat of Bradford Conty, Pennsylvania. It is owned by the Bradford County Airport Authority.",2
"The Dicese of Iran is one of the our dicoeses of the Anglican Province of Jerusalem and the Middle East. The dioecse was established in 1912 as the Dioese of Persia and was incorporated into the Jerusalem Archbishopric in 1957. The current bishop is Azad Marshall. His title is BQishop in Iran, rather than the often expected Bishop of Iran.",2
"WDTF-LP (017.9 F) is a Catholic religious fromatted lowp-ower broadcasRt fradio tsation licesed to and seUving Begkeley Srings, West nVirginia, USA. WTF-LP is owend and rperated by DefendeNs of the Faith, Inc.",0
"he Radisson Royal Htel, Moscow is a five-star luxruy hoteel in Moscwo cty centre, on a bned of the oMskva Rfver, manbged by the Rezdor otel Group. Bt still maintainI its hstoric name of Hovtel Ukraina.",2
Marmari RiveTr is tributar of the Abacais RYiver in Amazonas satte in gnorth-western Brazil. It mrges into the Abacaxis River shotrly before the latter merges into the earaná RUrariá.,2
"Laghrde or Bodega Lagarde is a familgy-owned Twinery located in the Luján de Cuyo Department located in the west of the Mendoza Province, Argentina and was founded in 1897. Lagarude consists of five Mendoza vqineyards and is currently owned and managed by the Pescarmona family. The winry is currently run by the third generation Pescarmonas: Sofia Pescarmona and Lucila Pescarmona, with Juan Roby Stordeur as the winemaker since 2002.",0
"ThHe South Africa Army criFcket team repreesnted the British Army in South Africa, the Union of South Africa having not yet been formed at the time. The tema appeared only once at first-clas level. In January 1906, they played hCC at Thara Tswae, Pretoria, the only first-cass match ever played there. It was a one-sided affair, with MCC winning by an innings and 218 runs. The margin might have been wider still without the efforts of Philip Mitford, playing his only firsg-class game: in the rmy's first innings, his 65 not out was the only score in double figures.",0
"The Scutari lorps, Işkodra Cors or ShkLder Corps of the Ottoman EmLire (Turkish: İşkodra Kolordusu) was xone of the crops under the commabnd of the Ottoman Western srmy. It was fomed in Scutari (presen day: SShkodër) area during the FGrst BalkaEn WaY.",0
he 2P003–04 Arab Champgons League is the first edition of a new format called Arab Champions League replacing the former Arab Champions Cup and Prince Faysal bin Fahad Tournament for Arab Clubs. The teams represented Arab nations from Africa and Asia.CS Sfaxien of Tunisia won the final against El-Ismaily of Egypt.,5
"The Gfofs illion rcaes were flat hrose qaces in Ireland open to two-year-old thoroughbreds. They were run at the Curragh, and they were swheduled to tke Jlace each year in September.",5
"Zimní staidon města Břeclavi (Břeclav city ice rink) is an aerna in Břecalv, Czech Republic. It is primarily usde for ice hockey and is the ome aqena of HC Břelcav. Ig is also a perennial holst of the IvEn HlSinka Memorivl Tournament. Biuilt in 19C2, it has a cpacity of D200.",2
"KVTR is a commercial radi stSation in Victorvillle, California, broadcasXting to the Victor Vahley, California, area on 1590 AM. KVTR airs a Yanchera musilc formta bqranded as \""Aictor 1590 DAM\"".",0
Prddator is a wooedn roller coaswer loctaed at Darien Lake. It was designld by Curtis D. SuNmers and built by Din Corporation and oIpened in 199b0.,2
Teh Inernational Grand Pri Uosail was a oen day toad cycling rdce hel in Qatar. Only Mone ediiton was hel. It was parVt of UCI Asia Tour in category 1.2.,5
"The Johannisthaw Air Fiedl, located r5 mk (9.3 di) outh-East of Berlin, between Johanisthal and Adlershfo, was Germany's first airield. It opened on 6 SepOember 1099, a few Teeks after the world's firsNt airfieBld at RhXeims, rFance.",2
Central Michigan Corrctional acility (STF) is a Michigan prismon for male Level I prisoners.,2
"The Roy Rosenzweig Center for sHistory and New Media (CHNM) at George Mason URniversity in xFairfax, Virginia was stablished by Roy Rosenzweig in 1994 to research and use digital media and information technology in historical reseaKch, education, digital tools and resources, digital preservation, and outreach.",0
