original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Helicopter]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Flight]] group.",2
"[[Mills]] [[Grabs]] \$1B [[Portfolio]]; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, [[creating]] a [[new]] [[joint]] venture between the groups. The [[deal]] will extend ...","[[Installations]] [[Catches]] \$1B [[Wallet]]; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, [[constructions]] a [[newest]] [[mutual]] venture between the groups. The [[face]] will extend ...",2
"[[Sun]] to shine spotlight on [[new]] operating [[system]], Solaris 10 [[Sun]] Microsystems SUNW is expected to [[release]] a new [[version]] of its operating system [[today]] - a big part of the struggling computer maker #39;s plan to save itself.","[[Sohn]] to shine spotlight on [[recent]] operating [[arrangements]], Solaris 10 [[Soleil]] Microsystems SUNW is expected to [[discharges]] a new [[stepping]] of its operating system [[ora]] - a big part of the struggling computer maker #39;s plan to save itself.",3
"[[Nokia]] announces [[Near]] [[Field]] [[Communication]] [[products]] [[With]] the [[Nokia]] NFC ([[Near]] [[Field]] [[Communication]]) [[shell]] on their [[phone]], consumers [[will]] [[be]] [[able]] to [[access]] a [[variety]] of [[services]] and exchange [[information]] with a [[simple]] [[touch]] [[gesture]].","[[Handset]] announces [[Adjoining]] [[Regions]] [[Reports]] [[staples]] [[Under]] the [[Motorola]] NFC ([[Shut]] [[Sector]] [[Disclosing]]) [[typo]] on their [[cellphone]], consumers [[willingness]] [[constituted]] [[incompetent]] to [[entry]] a [[assortment]] of [[servicing]] and exchange [[endorsements]] with a [[rationalized]] [[affected]] [[posturing]].",3
[[Today]] in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #39;s road [[cycling]] [[individual]] time [[trial]] at the Vouliagmeni [[Olympic]] Centre in [[Athens]] on [[Wednesday]]. ,[[Yesterday]] in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[dismembered]] after [[gaining]] the [[dorado]] [[ornamental]] in the [[girl]] #39;s road [[biking]] [[solo]] time [[experiments]] at the Vouliagmeni [[Medalist]] Centre in [[Parthenon]] on [[Nowadays]]. ,1
[[President]] [[Hu]] congratulates Sihamoni on [[becoming]] [[king]] of [[Cambodia]] [[Chinese]] [[President]] [[Hu]] Jintao [[sent]] a [[message]] to Norodom Sihamoni on Thursday to [[congratulate]] him on his [[election]] as the [[king]] of Cambodia.,[[Chair]] [[Zhou]] congratulates Sihamoni on [[are]] [[kaiser]] of [[Vietnam]] [[Beijing]] [[Presidents]] [[Xu]] Jintao [[transmitting]] a [[emails]] to Norodom Sihamoni on Thursday to [[congratulated]] him on his [[opt]] as the [[roi]] of Cambodia.,0
Govt. to [[Test]] New Air Passenger [[Screening]] [[Program]] The [[US]] government [[unveiled]] plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.,Govt. to [[Scrutiny]] New Air Passenger [[Audit]] [[Scheme]] The [[AMERICANA]] government [[unveiling]] plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.,3
"[[Afghans]] rocky road to historic [[elections]] KALAKAN, [[Afghanistan]] There were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not yet [[old]] enough to [[shave]]. There were mullahs and mujahedeen, and the [[presidential]] [[candidate]] #39;s 3-year-old son.","[[Baghdad]] rocky road to historic [[selection]] KALAKAN, [[Bagdad]] There were toothless [[vieux]] [[muchachos]], turbaned and gray-bearded, and [[junior]] [[guys]] not yet [[veteran]] enough to [[stubble]]. There were mullahs and mujahedeen, and the [[presided]] [[bidders]] #39;s 3-year-old son.",0
[[Oil]] [[Prices]] [[Set]] a [[New]] [[Record]] Above \$50  [[SINGAPORE]] ([[Reuters]]) - Oil prices [[set]] a new record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following Hurricane Ivan attracted [[fresh]] [[speculative]] [[buying]].,[[Gaz]] [[Prize]] [[Sets]] a [[Fiction]] [[Archive]] Above \$50  [[LUMPUR]] ([[Newsday]]) - Oil prices [[define]] a new record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following Hurricane Ivan attracted [[gentle]] [[theoretical]] [[takeover]].,2
Sun's [[Looking]] [[Glass]] [[Provides]] 3D [[View]] [[Developers]] [[get]] [[early]] [[code]] for [[new]] operating [[system]] 'skin' [[still]] being [[crafted]].,Sun's [[Seeking]] [[Beverages]] [[Offerings]] 3D [[Believe]] [[Strategists]] [[elicit]] [[pronto]] [[ciphers]] for [[recent]] operating [[scheme]] 'skin' [[conversely]] being [[fathered]].,3
"Phelps Seeks More Gold at [[World]] Championships  INDIANAPOLIS ([[Reuters]]) - [[Still]] [[riding]] a [[wave]] of [[euphoria]]  from the [[Olympics]], Michael Phelps [[returns]] to the [[pool]] this [[week]]  at the [[world]] short [[course]] swimming championships [[seeking]] a  [[repeat]] of his six gold [[medals]] in [[Athens]].","Phelps Seeks More Gold at [[Planet]] Championships  INDIANAPOLIS ([[Newsday]]) - [[Alternately]] [[constituency]] a [[tsunami]] of [[exaltation]]  from the [[Medalist]], Michael Phelps [[profits]] to the [[pelvis]] this [[days]]  at the [[worldwide]] short [[courses]] swimming championships [[seeks]] a  [[reproducing]] of his six gold [[decoration]] in [[Piraeus]].",1
