"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party [[war]] risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the [[Civil]] [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party [[guerra]] risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the [[Populace]] [[Aeronautical]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Vectors]] group.",0.23909735679626465,0.7053495645523071,2,3,2,162,"Successful"
"Mills [[Grabs]] \$1B [[Portfolio]]; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine [[malls]] owned by [[General]] Motors [[Asset]] Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...","Mills [[Harvest]] \$1B [[Elp]]; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine [[mul]] owned by [[Aggregate]] Motors [[Properties]] Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...",0.05627089738845825,0.7053326368331909,2,3,2,121,"Successful"
"Sun to shine [[spotlight]] on new operating [[system]], Solaris 10 [[Sun]] Microsystems SUNW is [[expected]] to release a [[new]] [[version]] of its [[operating]] system [[today]] - a [[big]] part of the struggling computer maker #39;s plan to save itself.","Sun to shine [[headlights]] on new operating [[device]], Solaris 10 [[Sundown]] Microsystems SUNW is [[should]] to release a [[nueva]] [[printed]] of its [[collaborating]] system [[wed]] - a [[hefty]] part of the struggling computer maker #39;s plan to save itself.",0.26686549186706543,0.6362162828445435,3,2,3,276,"Successful"
"Fed [[Cup]] all [[tied]] up FRANCE #39;[[S]] Russian-born Tatiana Golovin [[left]] the Fed [[Cup]] [[final]] [[hanging]] in the balance [[today]] as she [[beat]] Russia #39;s [[US]] [[Open]] [[champion]] [[Svetlana]] Kuznetsova 6-4, 6-1 to level the [[tie]] at 2-2 and [[take]] it to the final doubles [[match]].","Fed [[Trophy]] all [[binds]] up FRANCE #39;[[z]] Russian-born Tatiana Golovin [[abandon]] the Fed [[Chop]] [[latest]] [[ended]] in the balance [[topical]] as she [[defeats]] Russia #39;s [[AMERICANS]] [[Publicly]] [[defending]] [[Tatiana]] Kuznetsova 6-4, 6-1 to level the [[fasten]] at 2-2 and [[draw]] it to the final doubles [[ballgame]].",0.14923912286758423,0.3414788246154785,1,1,1,601,"Failed"
"[[Nokia]] [[announces]] [[Near]] [[Field]] [[Communication]] [[products]] [[With]] the [[Nokia]] NFC ([[Near]] [[Field]] [[Communication]]) [[shell]] on their [[phone]], [[consumers]] [[will]] [[be]] [[able]] to [[access]] a [[variety]] of [[services]] and [[exchange]] [[information]] with a [[simple]] touch gesture.","[[Droid]] [[advertised]] [[Closed]] [[Regard]] [[Contacted]] [[generating]] [[From]] the [[Iphone]] NFC ([[Closed]] [[Territories]] [[Inform]]) [[shells]] on their [[called]], [[consuming]] [[gonna]] [[coming]] [[prospective]] to [[accessed]] a [[diversified]] of [[service]] and [[shares]] [[notified]] with a [[ordinary]] touch gesture.",0.22843408584594727,0.5017808079719543,3,3,3,707,"Failed"
"Today in [[Athens]] Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after winning the [[gold]] medal in the women #39;s road cycling individual time trial at the Vouliagmeni [[Olympic]] Centre in Athens on [[Wednesday]]. ","Today in [[Athena]] Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[dismembered]] after winning the [[oro]] medal in the women #39;s road cycling individual time trial at the Vouliagmeni [[Olimpia]] Centre in Athens on [[Sundays]]. ",0.18157750368118286,0.7094109058380127,1,3,1,106,"Successful"
"[[President]] Hu [[congratulates]] Sihamoni on [[becoming]] king of [[Cambodia]] [[Chinese]] [[President]] Hu Jintao sent a [[message]] to Norodom Sihamoni on [[Thursday]] to [[congratulate]] him on his [[election]] as the king of Cambodia.","[[Chairperson]] Hu [[greets]] Sihamoni on [[acquires]] king of [[Indochina]] [[Rmb]] [[Chairman]] Hu Jintao sent a [[sign]] to Norodom Sihamoni on [[Nr]] to [[complimented]] him on his [[opt]] as the king of Cambodia.",0.15804064273834229,0.7800658941268921,0,2,0,383,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.8430730104446411,0.8430730104446411,2,2,3,1,"Skipped"
"Afghans rocky [[road]] to [[historic]] [[elections]] KALAKAN, Afghanistan There were toothless [[old]] [[men]], turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the [[presidential]] candidate #39;s 3-year-old [[son]].","Afghans rocky [[heron]] to [[backdrop]] [[picks]] KALAKAN, Afghanistan There were toothless [[former]] [[bulls]], turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the [[presided]] candidate #39;s 3-year-old [[kiddo]].",0.10843503475189209,0.5828814506530762,0,1,0,231,"Successful"
"[[Oil]] Prices [[Set]] a [[New]] Record Above \$50  [[SINGAPORE]] (Reuters) - [[Oil]] [[prices]] set a [[new]] [[record]] above \$50  a [[barrel]] on [[Tuesday]] as a [[prolonged]] [[U]].[[S]]. production [[outage]]  [[following]] [[Hurricane]] Ivan [[attracted]] fresh speculative [[buying]].","[[Grease]] Prices [[Established]] a [[Newer]] Record Above \$50  [[LUMPUR]] (Reuters) - [[Oils]] [[rates]] set a [[innovative]] [[minutes]] above \$50  a [[barrels]] on [[Friday]] as a [[persistent]] [[oder]].[[p]]. production [[salto]]  [[follows]] [[Typhoon]] Ivan [[learnt]] fresh speculative [[acquired]].",0.27331769466400146,0.39225834608078003,2,2,2,685,"Failed"
"Sun's [[Looking]] [[Glass]] [[Provides]] 3D [[View]] [[Developers]] [[get]] [[early]] [[code]] for [[new]] [[operating]] system 'skin' [[still]] being crafted.","Sun's [[Quest]] [[Goblets]] [[Offer]] 3D [[Stance]] [[Builder]] [[have]] [[rapid]] [[cryptography]] for [[nova]] [[operations]] system 'skin' [[incidentally]] being crafted.",0.15336215496063232,0.4154733419418335,3,3,3,460,"Failed"
"[[Phelps]] Seeks [[More]] Gold at [[World]] [[Championships]]  [[INDIANAPOLIS]] (Reuters) - [[Still]] [[riding]] a [[wave]] of [[euphoria]]  from the Olympics, Michael Phelps [[returns]] to the [[pool]] this [[week]]  at the [[world]] [[short]] [[course]] swimming [[championships]] [[seeking]] a  [[repeat]] of his six gold [[medals]] in [[Athens]].","[[Phillip]] Seeks [[Greatest]] Gold at [[Planets]] [[Championship]]  [[ARLINGTON]] (Reuters) - [[Then]] [[equestrian]] a [[surge]] of [[joy]]  from the Olympics, Michael Phelps [[returned]] to the [[reunion]] this [[months]]  at the [[mundo]] [[few]] [[courses]] swimming [[tournaments]] [[find]] a  [[echo]] of his six gold [[trophy]] in [[Greeks]].",0.1650983691215515,0.41946685314178467,1,1,1,594,"Failed"
"[[US]] suspends helicopter flights after [[Japan]] crash (AFP) AFP - The United States [[suspended]] [[flights]] of CH-53D military helicopters in Japan, [[bowing]] to [[protests]] over a [[crash]] in an [[Okinawa]] university campus.","[[ONS]] suspends helicopter flights after [[Yokohama]] crash (AFP) AFP - The United States [[termination]] [[robbery]] of CH-53D military helicopters in Japan, [[bowed]] to [[complain]] over a [[crashes]] in an [[Fukuoka]] university campus.",0.15993022918701172,0.6175799369812012,0,3,0,280,"Successful"
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[blackjack]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",0.3165590167045593,0.583012580871582,1,0,1,62,"Successful"
"Viacom, Disney pay \$1.5M FCC fine Disney and Viacom [[agreed]] to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television networks violated [[advertising]] [[restrictions]], the FCC [[said]] Thursday.","Viacom, Disney pay \$1.5M FCC fine Disney and Viacom [[bargained]] to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television networks violated [[commercials]] [[constrained]], the FCC [[proclaims]] Thursday.",0.21478474140167236,0.709804892539978,2,3,2,238,"Successful"
"Pfizer Sends Out [[Update]] [[On]] [[Drug]] Bextra Pfizer Inc. [[said]] [[Friday]] that it [[will]] provide health-care professionals with additional [[information]] about its Bextra arthritis drug and that it will conduct [[further]] [[studies]] to [[confirm]] the [[drug]] #39;s long-term [[cardiovascular]] safety record.","Pfizer Sends Out [[Updates]] [[About]] [[Pharmacology]] Bextra Pfizer Inc. [[commented]] [[Today]] that it [[wants]] provide health-care professionals with additional [[report]] about its Bextra arthritis drug and that it will conduct [[meanwhile]] [[scrutinized]] to [[affirm]] the [[amphetamines]] #39;s long-term [[cardiac]] safety record.",0.11171108484268188,0.749274730682373,2,3,2,497,"Successful"
"Restive Maldives [[eases]] [[curfew]] after [[rounding]] up dissidents (AFP) AFP - [[A]] [[curfew]] in the capital of the [[Maldives]] was [[eased]] but parliament sessions were put off [[indefinitely]] and emergency [[rule]] continued following [[last]] week's [[riots]], [[officials]] and [[residents]] [[said]].","Restive Maldives [[recedes]] [[wandering]] after [[arrondissement]] up dissidents (AFP) AFP - [[para]] [[lockup]] in the capital of the [[Atoll]] was [[relax]] but parliament sessions were put off [[infinitely]] and emergency [[article]] continued following [[latest]] week's [[troubles]], [[servers]] and [[residence]] [[mentioned]].",0.14761734008789062,0.7151161432266235,0,3,0,419,"Successful"
"The Next [[Giant]] Leap [[Rendezvous]] [[quot]]; for the [[docking]] [[techniques]] he [[developed]] while at MIT [[earning]] his [[PhD]] in astronautics. Lessig: Technology over [[ideology]]!","The Next [[Substantial]] Leap [[Denomination]] [[nbsp]]; for the [[wharf]] [[engineering]] he [[crafted]] while at MIT [[obtained]] his [[dr]] in astronautics. Lessig: Technology over [[notion]]!",0.2756727337837219,0.3781655430793762,3,3,3,326,"Failed"
"Hurricane Frances Nears NE Caribbean (AP) AP - [[Hurricane]] Frances [[strengthened]] as it churned near [[islands]] of the northeastern Caribbean with [[ferocious]] winds [[expected]] to graze Puerto [[Rico]] on Tuesday before the storm plows on toward the Bahamas and the [[southeastern]] United States.","Hurricane Frances Nears NE Caribbean (AP) AP - [[Whirlwind]] Frances [[reinforcement]] as it churned near [[isla]] of the northeastern Caribbean with [[stiff]] winds [[expect]] to graze Puerto [[Ricans]] on Tuesday before the storm plows on toward the Bahamas and the [[northwest]] United States.",0.3311421275138855,0.6369329690933228,0,3,0,280,"Successful"
"Viruses: [[Blame]] Microsoft? Last [[year]] we [[explored]] the [[question]] of Microsoft #39;s [[potential]] [[liability]] for software [[flaws]] [[exploited]] by [[viruses]] and other [[forms]] of malware.","Viruses: [[Responsibility]] Microsoft? Last [[years]] we [[surveyed]] the [[topics]] of Microsoft #39;s [[capable]] [[blame]] for software [[defect]] [[employed]] by [[influenza]] and other [[form]] of malware.",0.3335132598876953,0.4123312830924988,3,3,3,345,"Failed"
"United Seeks Further Labor Cuts United [[Airlines]] is moving to obtain another \$725 million in labor concessions and eliminate employees' traditional pensions as it seeks the financing to come out of bankruptcy.","United Seeks Further Labor Cuts United [[Enterprise]] is moving to obtain another \$725 million in labor concessions and eliminate employees' traditional pensions as it seeks the financing to come out of bankruptcy.",0.28750234842300415,0.6404628157615662,2,0,2,63,"Successful"
"Liverpool [[target]] Morientes after Cisse [[break]] Djibril Cisse #39;s [[horrific]] [[injury]] [[will]] [[spur]] [[Liverpool]] [[manager]] [[Rafael]] [[Benitez]] into a [[renewed]] [[bid]] to [[prise]] [[striker]] [[Fernando]] Morientes from Real Madrid when the [[transfer]] [[window]] [[opens]] in January.","Liverpool [[fated]] Morientes after Cisse [[pausing]] Djibril Cisse #39;s [[outrageous]] [[injuries]] [[gonna]] [[promote]] [[Fulham]] [[managers]] [[Hernandez]] [[Gerardo]] into a [[reconstruction]] [[offerings]] to [[catches]] [[attacker]] [[Ferdinand]] Morientes from Real Madrid when the [[transmissions]] [[pandora]] [[induction]] in January.",0.16322308778762817,0.5293798446655273,1,1,1,817,"Failed"
"[[US]] [[Airways]], [[Pilots]] [[Union]] [[Near]] [[Agreement]] [[US]] [[Airways]] is seeking \$800 million in concessions from [[employee]] [[unions]] as it attempts to avoid [[filing]] [[Chapter]] 11. The [[Air]] Line Pilots Association [[will]] [[present]] its [[proposal]] on the [[evening]] of ","[[OURSELVES]] [[Air]], [[Empirical]] [[Commonwealth]] [[Nearest]] [[Mechanisms]] [[ONS]] [[Klm]] is seeking \$800 million in concessions from [[officials]] [[association]] as it attempts to avoid [[presenting]] [[Portions]] 11. The [[Boeing]] Line Pilots Association [[intention]] [[filed]] its [[suggested]] on the [[tonight]] of ",0.3161432147026062,0.6318626403808594,2,2,2,716,"Failed"
"[[Alleged]] U.S. Deserter Set to [[Surrender]] [[TOKYO]] - [[Accused]] U.S. [[Army]] deserter [[Charles]] [[Jenkins]] [[left]] his Tokyo [[hospital]] for an American military base to surrender to military authorities [[Saturday]], [[nearly]] 40 [[years]] after he [[allegedly]] defected to [[North]] [[Korea]]...","[[Supposed]] U.S. Deserter Set to [[Abandon]] [[OSAKA]] - [[Charged]] U.S. [[Weapons]] deserter [[Charlemagne]] [[Mccoy]] [[departed]] his Tokyo [[physician]] for an American military base to surrender to military authorities [[Sat]], [[roughly]] 40 [[aged]] after he [[supposedly]] defected to [[Upcountry]] [[Han]]...",0.38663601875305176,0.6919491291046143,0,3,0,628,"Successful"
"EU [[Move]] on Cyprus Eases [[Way]] for Turkey [[Deal]]  BRUSSELS (Reuters) - The European Union and Turkey inched  toward a historic agreement on starting membership talks on  Friday as EU leaders softened their demands on the crucial  sticking point of Cyprus.","EU [[Circulate]] on Cyprus Eases [[Itinerary]] for Turkey [[Resolved]]  BRUSSELS (Reuters) - The European Union and Turkey inched  toward a historic agreement on starting membership talks on  Friday as EU leaders softened their demands on the crucial  sticking point of Cyprus.",0.3273550271987915,0.7360970973968506,0,2,0,167,"Successful"
"Report Card In The Black [[Coaches]] Association gave most of the 28 [[schools]] that [[filled]] head-coaching jobs in I-A and I-AA [[football]] [[last]] [[year]] above-average [[marks]] in its first Hiring Report Card.","Report Card In The Black [[Mentoring]] Association gave most of the 28 [[college]] that [[complied]] head-coaching jobs in I-A and I-AA [[ballon]] [[recent]] [[years]] above-average [[commemorating]] in its first Hiring Report Card.",0.1919877529144287,0.6961098313331604,1,2,1,166,"Successful"
"[[Is]] Google News Biased? [[Google]] News [[tends]] to [[favor]] [[news]] [[stories]] with a [[conservative]] [[bias]], [[according]] to [[new]] [[media]] observer [[J]].D. Lasica, a [[claim]] which [[Google]] [[denies]].","[[Are]] Google News Biased? [[Android]] News [[seeks]] to [[prefers]] [[journalism]] [[myths]] with a [[careful]] [[distortion]], [[accordance]] to [[nova]] [[journalism]] observer [[d]].D. Lasica, a [[petition]] which [[Youtube]] [[denied]].",0.30195415019989014,0.4131541848182678,3,3,3,453,"Failed"
