"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore [[govt]] extends third-party war [[risk]] [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore [[gvot]] extends third-party war [[hisk]] [[insurCance]] SINGAPORE : The government is extending third-party war risk [[insuranc]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.29119229316711426,0.8464882373809814,2,0,2,44,"Successful"
"Mills [[Grabs]] \$1B [[Portfolio]]; [[Taubman]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in [[nine]] malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a [[new]] joint venture between the groups. The [[deal]] will extend ...","Mills [[Grab]] \$1B [[PortfoSlio]]; [[aTubman]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in [[fine]] malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a [[nw]] joint venture between the groups. The [[dal]] will extend ...",0.3376368284225464,0.3775397539138794,2,2,2,161,"Failed"
"Sun to [[shine]] spotlight on new [[operating]] system, [[Solaris]] [[10]] Sun Microsystems [[SUNW]] is expected to release a new [[version]] of its operating system today - a [[big]] [[part]] of the struggling [[computer]] maker #[[39]];s plan to [[save]] itself.","Sun to [[sine]] spotlight on new [[tperating]] system, [[eSolaris]] [[01]] Sun Microsystems [[UNW]] is expected to release a new [[veLsion]] of its operating system today - a [[bg]] [[hart]] of the struggling [[comptuer]] maker #[[93]];s plan to [[scve]] itself.",0.3324791193008423,0.35800087451934814,3,3,3,131,"Failed"
"Fed Cup all tied up FRANCE #[[39]];S [[Russian-born]] Tatiana [[Golovin]] left the Fed Cup [[final]] [[hanging]] in the balance [[today]] as she [[beat]] [[Russia]] #[[39]];s [[US]] Open champion Svetlana [[Kuznetsova]] [[6-4]], [[6-1]] to [[level]] the tie at [[2-2]] and take it to the [[final]] doubles match.","Fed Cup all tied up FRANCE #[[93]];S [[Russian-orn]] Tatiana [[GoloviX]] left the Fed Cup [[fnal]] [[haging]] in the balance [[todSay]] as she [[beaP]] [[Russgia]] #[[93]];s [[S]] Open champion Svetlana [[Kunetsova]] [[64]], [[61-]] to [[levle]] the tie at [[22]] and take it to the [[dfinal]] doubles match.",0.16281884908676147,0.41139447689056396,1,1,1,161,"Failed"
"[[Nokia]] announces Near Field Communication products [[With]] the [[Nokia]] [[NFC]] (Near Field Communication) shell on their [[phone]], consumers will be able to [[access]] a variety of services and exchange [[information]] with a simple touch [[gesture]].","[[Nkia]] announces Near Field Communication products [[Wtih]] the [[Nkia]] [[FNC]] (Near Field Communication) shell on their [[phonFe]], consumers will be able to [[acces]] a variety of services and exchange [[wnformation]] with a simple touch [[geIture]].",0.3045305609703064,0.8618359565734863,3,2,3,73,"Successful"
"Today in Athens [[Leontien]] [[Zijlaard-van]] Moorsel of the Netherlands [[wipes]] a tear after winning the [[gold]] [[medal]] in the [[women]] #[[39]];s road [[cycling]] [[individual]] [[time]] [[trial]] at the [[Vouliagmeni]] [[Olympic]] Centre in Athens on [[Wednesday]]. ","Today in Athens [[LeWntien]] [[Zijlakrd-van]] Moorsel of the Netherlands [[wipefs]] a tear after winning the [[god]] [[mdeal]] in the [[woemn]] #[[3Y]];s road [[cycing]] [[indviidual]] [[tie]] [[ctrial]] at the [[VOouliagmeni]] [[Olympi]] Centre in Athens on [[Wednersday]]. ",0.13710230588912964,0.17503929138183594,1,1,1,116,"Failed"
"[[President]] [[Hu]] congratulates Sihamoni on becoming king of [[Cambodia]] Chinese [[President]] [[Hu]] Jintao sent a message to [[Norodom]] [[Sihamoni]] on [[Thursday]] to congratulate him on his [[election]] as the king of [[Cambodia]].","[[PresidCent]] [[Htu]] congratulates Sihamoni on becoming king of [[Cambdoia]] Chinese [[PresidenE]] [[u]] Jintao sent a message to [[Norodm]] [[aihamoni]] on [[Thrsday]] to congratulate him on his [[eletion]] as the king of [[Camodia]].",0.20218151807785034,0.7404168844223022,0,2,0,60,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.9033666253089905,0.9033666253089905,2,2,3,1,"Skipped"
"[[Afghans]] rocky road to historic elections KALAKAN, [[Afghanistan]] [[There]] were toothless old men, turbaned and gray-bearded, and young men not [[yet]] old enough to shave. [[There]] were mullahs and [[mujahedeen]], and the presidential [[candidate]] #[[39]];s 3-year-old son.","[[Afhans]] rocky road to historic elections KALAKAN, [[Afghnistan]] [[Thee]] were toothless old men, turbaned and gray-bearded, and young men not [[et]] old enough to shave. [[Tehre]] were mullahs and [[mujahRedeen]], and the presidential [[candidte]] #[[93]];s 3-year-old son.",0.1946616768836975,0.20417094230651855,0,0,0,132,"Failed"
"Oil Prices Set a [[New]] Record [[Above]] \$[[50]]  [[SINGAPORE]] ([[Reuters]]) - Oil prices set a new record above \$[[50]]  a barrel on [[Tuesday]] as a [[prolonged]] U.S. [[production]] outage  [[following]] [[Hurricane]] [[Ivan]] [[attracted]] fresh speculative buying.","Oil Prices Set a [[ew]] Record [[hAbove]] \$[[5v0]]  [[RSINGAPORE]] ([[ReuteWs]]) - Oil prices set a new record above \$[[0]]  a barrel on [[Teusday]] as a [[proolnged]] U.S. [[productiun]] outage  [[folloing]] [[Hurricanu]] [[Iavn]] [[attractde]] fresh speculative buying.",0.2833949327468872,0.3496752381324768,2,2,2,137,"Failed"
"[[Sun's]] [[Looking]] [[Glass]] [[Provides]] [[3D]] [[View]] [[Developers]] [[get]] [[early]] [[code]] for [[new]] [[operating]] [[system]] '[[skin']] [[still]] being [[crafted]].","[[SunK's]] [[oLoking]] [[GlaWs]] [[Prvides]] [[3RD]] [[Vew]] [[Deeelopers]] [[Met]] [[iarly]] [[cdoe]] for [[nw]] [[oprating]] [[sstem]] '[[skin]] [[sXtill]] being [[craftxed]].",0.29940587282180786,0.36482369899749756,3,3,3,80,"Failed"
