original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk [[insurace]] SINGAPORE : The government is extending third-party war risk [[insurane]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"[[Mills]] Grabs \$1B [[Portfolio]]; Taubman Likely to Lose [[Contracts]] [[Mills]] [[Corp]]. agreed to [[purchase]] a 50 percent [[interest]] in nine malls [[owned]] by [[General]] [[Motors]] Asset [[Management]] Corp. for just over \$1 billion, creating a new [[joint]] venture between the [[groups]]. [[The]] deal will extend ...","[[Qills]] Grabs \$1B [[oPrtfolio]]; Taubman Likely to Lose [[Contrcts]] [[MilMls]] [[oCrp]]. agreed to [[hpurchase]] a 50 percent [[interet]] in nine malls [[owne]] by [[Gpeneral]] [[Motros]] Asset [[Managemnet]] Corp. for just over \$1 billion, creating a new [[joiQnt]] venture between the [[grouDps]]. [[cThe]] deal will extend ...",2
"[[Sun]] to shine [[spotlight]] on new [[operating]] [[system]], [[Solaris]] 10 Sun Microsystems [[SUNW]] is expected to [[release]] a [[new]] [[version]] of its operating [[system]] today - a big part of the struggling [[computer]] maker #39;s plan to [[save]] itself.","[[STun]] to shine [[spotlihgt]] on new [[opertaing]] [[sJstem]], [[Solafris]] 10 Sun Microsystems [[SUNpW]] is expected to [[releEse]] a [[ne]] [[verrsion]] of its operating [[tsystem]] today - a big part of the struggling [[Gomputer]] maker #39;s plan to [[ave]] itself.",3
"[[Nokia]] announces Near [[Field]] [[Communication]] [[products]] [[With]] the [[Nokia]] [[NFC]] ([[Near]] [[Field]] Communication) [[shell]] on their [[phone]], consumers will be [[able]] to [[access]] a [[variety]] of services and exchange information with a [[simple]] [[touch]] [[gesture]].","[[Nkia]] announces Near [[Feld]] [[CSommunication]] [[proudcts]] [[WitUh]] the [[NokHa]] [[NFkC]] ([[Nera]] [[Filed]] Communication) [[sell]] on their [[phon]], consumers will be [[bale]] to [[acces]] a [[vauiety]] of services and exchange information with a [[simpe]] [[tounh]] [[gresture]].",3
[[Today]] in [[Athens]] [[Leontien]] Zijlaard-van Moorsel of the [[Netherlands]] [[wipes]] a [[tear]] after [[winning]] the [[gold]] [[medal]] in the women #[[39]];s [[road]] [[cycling]] [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] Centre in [[Athens]] on [[Wednesday]]. ,[[Todya]] in [[AtEens]] [[Lxontien]] Zijlaard-van Moorsel of the [[Nteherlands]] [[wips]] a [[teanr]] after [[wjinning]] the [[glod]] [[meIdal]] in the women #[[3T9]];s [[rad]] [[cyacling]] [[iIdividual]] [[tuime]] [[trail]] at the Vouliagmeni [[Olyimpic]] Centre in [[Athets]] on [[Wedmnesday]]. ,1
[[President]] [[Hu]] [[congratulates]] Sihamoni on [[becoming]] king of [[Cambodia]] Chinese [[President]] [[Hu]] [[Jintao]] sent a [[message]] to [[Norodom]] [[Sihamoni]] on [[Thursday]] to congratulate him on his [[election]] as the king of [[Cambodia]].,[[Presidnt]] [[Hn]] [[conratulates]] Sihamoni on [[bcoming]] king of [[Cabodia]] Chinese [[Presient]] [[H]] [[Jintar]] sent a [[messaeg]] to [[Norodmo]] [[Sihnmoni]] on [[ThBursday]] to congratulate him on his [[eleciton]] as the king of [[CambodiOa]].,0
"[[Afghans]] [[rocky]] road to [[historic]] [[elections]] KALAKAN, Afghanistan There were toothless [[old]] [[men]], [[turbaned]] and gray-bearded, and young [[men]] not [[yet]] [[old]] enough to shave. [[There]] were mullahs and mujahedeen, and the [[presidential]] candidate #[[39]];s 3-year-old [[son]].","[[Afgzans]] [[rock]] road to [[historil]] [[electioys]] KALAKAN, Afghanistan There were toothless [[odl]] [[mne]], [[tubraned]] and gray-bearded, and young [[mne]] not [[eyt]] [[ozld]] enough to shave. [[rhere]] were mullahs and mujahedeen, and the [[presidetnial]] candidate #[[3S9]];s 3-year-old [[osn]].",0
"[[US]] [[suspends]] helicopter flights after Japan crash (AFP) AFP - [[The]] United [[States]] suspended flights of CH-53D [[military]] helicopters in Japan, bowing to [[protests]] over a crash in an [[Okinawa]] university campus.","[[UIS]] [[susupends]] helicopter flights after Japan crash (AFP) AFP - [[TXhe]] United [[StatJs]] suspended flights of CH-53D [[militaGry]] helicopters in Japan, bowing to [[protsets]] over a crash in an [[OkiSnawa]] university campus.",0
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the World Trade Center and Pentagon [[smoldered]] and the world stood still, [[O'Brien]] was a Navy man.","Anniversary remembered on [[gIme]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coah]]. On that day, as the World Trade Center and Pentagon [[msoldered]] and the world stood still, [[O'Biren]] was a Navy man.",1
"[[Viacom]], [[Disney]] pay \$1.5M FCC [[fine]] Disney and Viacom [[agreed]] to a [[fine]] of \$1.5 [[million]] from the Federal Communications [[Commission]] over claims their children #[[39]];s [[cable]] [[television]] networks violated [[advertising]] restrictions, the FCC said Thursday.","[[Vicaom]], [[Dsiney]] pay \$1.5M FCC [[ifne]] Disney and Viacom [[agreeud]] to a [[fiXne]] of \$1.5 [[mllion]] from the Federal Communications [[CommissHion]] over claims their children #[[3c9]];s [[Ncable]] [[tlevision]] networks violated [[adertising]] restrictions, the FCC said Thursday.",2
Pfizer Sends Out Update On [[Drug]] Bextra Pfizer [[Inc]]. said Friday that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the drug #[[39]];s long-term cardiovascular safety record.,Pfizer Sends Out Update On [[rDug]] Bextra Pfizer [[Icn]]. said Friday that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to confirm the drug #[[3j9]];s long-term cardiovascular safety record.,2
"[[Restive]] Maldives [[eases]] curfew after [[rounding]] up [[dissidents]] (AFP) AFP - A curfew in the capital of the Maldives was [[eased]] but [[parliament]] sessions were put off indefinitely and emergency rule continued following last [[week's]] [[riots]], [[officials]] and residents [[said]].","[[RestivF]] Maldives [[eapes]] curfew after [[roundieg]] up [[dissidelnts]] (AFP) AFP - A curfew in the capital of the Maldives was [[eansed]] but [[parPliament]] sessions were put off indefinitely and emergency rule continued following last [[weewk's]] [[iots]], [[oXficials]] and residents [[saYd]].",0
Sun's Looking Glass [[Provides]] [[3D]] [[View]] [[Developers]] [[get]] [[early]] [[code]] for new operating [[system]] '[[skin']] still being [[crafted]].,Sun's Looking Glass [[Povides]] [[3aD]] [[SView]] [[Depelopers]] [[bet]] [[aerly]] [[coed]] for new operating [[sytsem]] '[[skbn']] still being [[cratfed]].,3
"[[US]] [[Airways]], Pilots [[Union]] Near Agreement [[US]] [[Airways]] is seeking \$800 million in [[concessions]] from [[employee]] unions as it attempts to avoid [[filing]] Chapter 11. [[The]] Air Line Pilots [[Association]] will present its proposal on the evening of ","[[U]] [[Airwyas]], Pilots [[xUnion]] Near Agreement [[S]] [[NAirways]] is seeking \$800 million in [[concssions]] from [[Uemployee]] unions as it attempts to avoid [[filsng]] Chapter 11. [[hTe]] Air Line Pilots [[Assoication]] will present its proposal on the evening of ",2
"PeopleSoft CEO Ousted for  #39;[[Situational]] [[Ethics]] #39; [[AccountingWEB]].com - October 06, 2004 - The opening of a trial related to Oracle #[[39]];s takeover bid of PeopleSoft featured the revelation that CEO Craig Conway was fired last week for making misleading statements about PeopleSoft #39;s [[sales]].","PeopleSoft CEO Ousted for  #39;[[Situaional]] [[thics]] #39; [[AcountingWEB]].com - October 06, 2004 - The opening of a trial related to Oracle #[[L9]];s takeover bid of PeopleSoft featured the revelation that CEO Craig Conway was fired last week for making misleading statements about PeopleSoft #39;s [[slaes]].",2
