"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[security]] SINGAPORE : The government is extending third-party war risk [[assurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[air]] group.",0.2762451767921448,0.8286144137382507,2,0,2,72,"Successful"
"Mills Grabs \$1B Portfolio; Taubman [[Likely]] to Lose Contracts Mills [[Corp]]. agreed to purchase a 50 percent interest in nine malls owned by [[General]] Motors [[Asset]] Management Corp. for just over \$1 [[billion]], [[creating]] a new joint venture between the groups. The [[deal]] will extend ...","Mills Grabs \$1B Portfolio; Taubman [[plans]] to Lose Contracts Mills [[d]]. agreed to purchase a 50 percent interest in nine malls owned by [[gm]] Motors [[asset]] Management Corp. for just over \$1 [[trillion]], [[developing]] a new joint venture between the groups. The [[business]] will extend ...",0.27719563245773315,0.280781626701355,2,2,2,80,"Failed"
"[[Fed]] Cup all tied up FRANCE #39;S Russian-born Tatiana Golovin left the Fed [[Cup]] final [[hanging]] in the balance today as she beat Russia #39;s [[US]] Open champion Svetlana Kuznetsova 6-4, 6-1 to [[level]] the tie at 2-2 and take it to the final doubles match.","[[challenge]] Cup all tied up FRANCE #39;S Russian-born Tatiana Golovin left the Fed [[s]] final [[cup]] in the balance today as she beat Russia #39;s [[world]] Open champion Svetlana Kuznetsova 6-4, 6-1 to [[open]] the tie at 2-2 and take it to the final doubles match.",0.3785064220428467,0.3934211730957031,1,1,1,95,"Failed"
"Sun to shine spotlight on new operating system, Solaris 10 Sun [[Microsystems]] SUNW is expected to release a new [[version]] of its operating system today - a big [[part]] of the struggling computer maker #39;s plan to save itself.","Sun to shine spotlight on new operating system, Solaris 10 Sun [[wy]] SUNW is expected to release a new [[part]] of its operating system today - a big [[share]] of the struggling computer maker #39;s plan to save itself.",0.21664756536483765,0.22608262300491333,3,3,3,65,"Failed"
"[[Today]] in Athens Leontien Zijlaard-van Moorsel of the [[Netherlands]] wipes a tear after winning the gold [[medal]] in the women #39;s road [[cycling]] individual time [[trial]] at the Vouliagmeni Olympic Centre in Athens on Wednesday. ","[[held]] in Athens Leontien Zijlaard-van Moorsel of the [[holland]] wipes a tear after winning the gold [[medals]] in the women #39;s road [[bicycle]] individual time [[course]] at the Vouliagmeni Olympic Centre in Athens on Wednesday. ",0.37698572874069214,0.39175593852996826,1,1,1,39,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.85254967212677,0.85254967212677,2,2,3,1,"Skipped"
"President Hu [[congratulates]] Sihamoni on becoming king of Cambodia Chinese [[President]] Hu Jintao sent a message to Norodom Sihamoni on [[Thursday]] to congratulate him on his election as the king of Cambodia.","President Hu [[ston]] Sihamoni on becoming king of Cambodia Chinese [[envoy]] Hu Jintao sent a message to Norodom Sihamoni on [[friday]] to congratulate him on his election as the king of Cambodia.",0.3016444444656372,0.30554646253585815,0,0,0,60,"Failed"
"Afghans rocky [[road]] to historic elections KALAKAN, Afghanistan There were toothless old [[men]], turbaned and gray-bearded, and young men not [[yet]] [[old]] [[enough]] to shave. There were mullahs and mujahedeen, and the [[presidential]] candidate #39;s 3-year-old son.","Afghans rocky [[race]] to historic elections KALAKAN, Afghanistan There were toothless old [[ladies]], turbaned and gray-bearded, and young men not [[exactly]] [[young]] [[yet]] to shave. There were mullahs and mujahedeen, and the [[american]] candidate #39;s 3-year-old son.",0.30201250314712524,0.31545495986938477,0,0,0,119,"Failed"
"[[Oil]] Prices Set a New Record Above \$50  SINGAPORE (Reuters) - [[Oil]] prices set a new record above \$50  a barrel on [[Tuesday]] as a prolonged U.S. production outage  following [[Hurricane]] Ivan attracted [[fresh]] speculative buying.","[[petrol]] Prices Set a New Record Above \$50  SINGAPORE (Reuters) - [[fuel]] prices set a new record above \$50  a barrel on [[weekdays]] as a prolonged U.S. production outage  following [[storm]] Ivan attracted [[new]] speculative buying.",0.26649755239486694,0.2894565463066101,2,2,2,57,"Failed"
"[[Nokia]] announces Near Field Communication products With the Nokia NFC ([[Near]] [[Field]] [[Communication]]) shell on their phone, consumers will be able to [[access]] a variety of services and exchange information with a simple touch gesture.","[[company]] announces Near Field Communication products With the Nokia NFC ([[home]] [[telephone]] [[communication]]) shell on their phone, consumers will be able to [[buy]] a variety of services and exchange information with a simple touch gesture.",0.21920883655548096,0.23504161834716797,3,3,3,81,"Failed"
"Phelps Seeks [[More]] [[Gold]] at World [[Championships]]  INDIANAPOLIS (Reuters) - Still riding a [[wave]] of euphoria  from the [[Olympics]], Michael Phelps [[returns]] to the pool this [[week]]  at the [[world]] short course swimming championships seeking a  repeat of his six [[gold]] medals in Athens.","Phelps Seeks [[gold]] [[medals]] at World [[championships]]  INDIANAPOLIS (Reuters) - Still riding a [[train]] of euphoria  from the [[paralympics]], Michael Phelps [[goes]] to the pool this [[regatta]]  at the [[worlds]] short course swimming championships seeking a  repeat of his six [[paralympic]] medals in Athens.",0.3818156123161316,0.3940417170524597,1,1,1,131,"Failed"
"Viacom, Disney pay \$1.5M FCC fine [[Disney]] and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable [[television]] networks violated advertising restrictions, the FCC said Thursday.","Viacom, Disney pay \$1.5M FCC fine [[online]] and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable [[broadband]] networks violated advertising restrictions, the FCC said Thursday.",0.3133128881454468,0.583943247795105,2,3,2,84,"Successful"
"[[US]] suspends helicopter flights after Japan crash (AFP) [[AFP]] - The United States suspended flights of CH-53D military helicopters in [[Japan]], bowing to [[protests]] over a [[crash]] in an Okinawa university campus.","[[france]] suspends helicopter flights after Japan crash (AFP) [[france]] - The United States suspended flights of CH-53D military helicopters in [[tokyo]], bowing to [[protest]] over a [[incident]] in an Okinawa university campus.",0.294594407081604,0.30461084842681885,0,0,0,60,"Failed"
"Anniversary remembered on game day [[When]] the attacks came on Sept. 11, 2001, [[Tom]] [[O'Brien]], if only for a moment, stopped being Boston College's coach. [[On]] that day, as the [[World]] Trade Center and Pentagon smoldered and the [[world]] [[stood]] still, O'Brien was a Navy man.","Anniversary remembered on game day [[where]] the attacks came on Sept. 11, 2001, [[tom]] [[mcnamara]], if only for a moment, stopped being Boston College's coach. [[along]] that day, as the [[worlds]] Trade Center and Pentagon smoldered and the [[earth]] [[fought]] still, O'Brien was a Navy man.",0.3675656318664551,0.47218382358551025,1,1,1,90,"Failed"
"Pfizer Sends Out Update On Drug [[Bextra]] Pfizer [[Inc]]. [[said]] Friday that it will provide health-care professionals with [[additional]] information about its [[Bextra]] arthritis drug and that it will conduct further studies to [[confirm]] the drug #39;s long-term cardiovascular safety record.","Pfizer Sends Out Update On Drug [[listing]] Pfizer [[company]]. [[says]] Friday that it will provide health-care professionals with [[further]] information about its [[developing]] arthritis drug and that it will conduct further studies to [[secure]] the drug #39;s long-term cardiovascular safety record.",0.276259183883667,0.29379546642303467,2,2,2,60,"Failed"
"Ljubicic Downs Hanescu at Open De Moselle Top-seeded Ivan Ljubicic of Croatia beat Victor Hanescu of Romania 6-4, 6-4 Tuesday in the first round of the Open de Moselle.","Ljubicic Downs Hanescu at Open De Moselle Top-seeded Ivan Ljubicic of Croatia beat Victor Hanescu of Romania 6-4, 6-4 Tuesday in the first round of the Open de Moselle.",0.8774189949035645,0.8774189949035645,1,1,0,1,"Skipped"
"Restive Maldives [[eases]] curfew after [[rounding]] up dissidents (AFP) AFP - [[A]] curfew in the capital of the Maldives was [[eased]] but parliament sessions were put off indefinitely and emergency [[rule]] continued following last week's riots, officials and residents [[said]].","Restive Maldives [[day]] curfew after [[getting]] up dissidents (AFP) AFP - [[afternoon]] curfew in the capital of the Maldives was [[continued]] but parliament sessions were put off indefinitely and emergency [[sessions]] continued following last week's riots, officials and residents [[riot]].",0.3012089133262634,0.3064115643501282,0,0,0,229,"Failed"
"[[Protests]] in Canada over Ukraine crisis (AFP) [[AFP]] - Hundreds of Canadians, many of Ukrainian descent, [[braved]] freezing [[temperatures]] to protest what they consider to be the fixed outcome of the Ukrainian [[presidential]] election.","[[outrage]] in Canada over Ukraine crisis (AFP) [[demonstrations]] - Hundreds of Canadians, many of Ukrainian descent, [[had]] freezing [[time]] to protest what they consider to be the fixed outcome of the Ukrainian [[legislative]] election.",0.3014468550682068,0.3097385764122009,0,0,0,78,"Failed"
"Sun's Looking Glass [[Provides]] 3D View Developers get early [[code]] for new operating system 'skin' still being crafted.","Sun's Looking Glass [[provides]] 3D View Developers get early [[start]] for new operating system 'skin' still being crafted.",0.22008997201919556,0.2251175045967102,3,3,3,25,"Failed"
"Hostages plight clouds meeting of Blairs party BRIGHTON, England [[The]] annual conference of [[Prime]] Minister Tony Blair #39;s Labour Party opened here Monday under the [[pall]] of the war in Iraq, as the fate of the British [[hostage]] Ken Bigley remained uncertain amid fresh appeals for his [[release]] from family ","Hostages plight clouds meeting of Blairs party BRIGHTON, England [[an]] annual conference of [[blair]] Minister Tony Blair #39;s Labour Party opened here Monday under the [[course]] of the war in Iraq, as the fate of the British [[hostages]] Ken Bigley remained uncertain amid fresh appeals for his [[relief]] from family ",0.30512285232543945,0.3103852868080139,0,0,0,73,"Failed"
"US Airways, Pilots Union Near Agreement US Airways is [[seeking]] \$800 million in [[concessions]] from employee unions as it attempts to avoid [[filing]] Chapter 11. [[The]] Air Line Pilots Association will [[present]] its proposal on the evening of ","US Airways, Pilots Union Near Agreement US Airways is [[pursuing]] \$800 million in [[backing]] from employee unions as it attempts to avoid [[voking]] Chapter 11. [[this]] Air Line Pilots Association will [[launch]] its proposal on the evening of ",0.2691916823387146,0.2819977402687073,2,2,2,98,"Failed"
"UN #39;s Kofe Annan Calls [[Iraq]] War Illegal United [[Nations]] Secretary General Kofi Annan said this week that the [[US]] war in Iraq is illegal and questioned [[whether]] the country could hold credible ","UN #39;s Kofe Annan Calls [[continued]] War Illegal United [[nations]] Secretary General Kofi Annan said this week that the [[continuing]] war in Iraq is illegal and questioned [[if]] the country could hold credible ",0.3052108883857727,0.3090709447860718,0,0,0,46,"Failed"
"HD [[DVD]] will boost quality, [[help]] stores Four Hollywood studios this week embraced a [[new]] [[high-definition]] DVD format from electronics giant Toshiba - raising [[many]] questions for video lovers who have [[driven]] sales of pre-recorded [[DVDs]] to new heights.","HD [[dvds]] will boost quality, [[film]] stores Four Hollywood studios this week embraced a [[major]] [[cable]] DVD format from electronics giant Toshiba - raising [[numerous]] questions for video lovers who have [[lowered]] sales of pre-recorded [[dvds]] to new heights.",0.25192397832870483,0.28299015760421753,3,3,3,123,"Failed"
"EC presses for safer internet [[The]] [[EU]] Telecommunications Council today today launched Safer Internet Plus, a [[scheme]] to [[help]] parents and teachers control what children view [[online]].","EC presses for safer internet [[this]] [[world]] Telecommunications Council today today launched Safer Internet Plus, a [[plan]] to [[aid]] parents and teachers control what children view [[today]].",0.24029308557510376,0.2593589425086975,3,3,3,78,"Failed"
"Cycling: [[Petacchi]] wins second stage in Spain MADRID : Alessandro [[Petacchi]] showed why he is considered one of the [[world]] #39;s top sprinters when coming out on [[top]] in a mass dash to the line in the second stage of the [[Tour]] of [[Spain]].","Cycling: [[riders]] wins second stage in Spain MADRID : Alessandro [[greco]] showed why he is considered one of the [[worlds]] #39;s top sprinters when coming out on [[tops]] in a mass dash to the line in the second stage of the [[tours]] of [[spain]].",0.3568112254142761,0.36925381422042847,1,1,1,90,"Failed"
"Pakistan collapses at the WACA [[Opener]] Justin Langer was last out after a [[glorious]] innings of 191 as Australia totaled 381 on the [[second]] morning of the first test against Pakistan in Perth on [[Friday]].","Pakistan collapses at the WACA [[stadium]] Justin Langer was last out after a [[fast]] innings of 191 as Australia totaled 381 on the [[early]] morning of the first test against Pakistan in Perth on [[ground]].",0.37083661556243896,0.4043465256690979,1,1,1,121,"Failed"
"Colgate to cut workforce CONSUMER [[goods]] maker Colgate-Palmolive said today it would cut about 12 [[per]] cent of its 37,000-person work force and close a third of its [[factories]] worldwide as part of a four-year restructuring.","Colgate to cut workforce CONSUMER [[devices]] maker Colgate-Palmolive said today it would cut about 12 [[out]] cent of its 37,000-person work force and close a third of its [[manufacturing]] worldwide as part of a four-year restructuring.",0.2701343297958374,0.3654048442840576,2,2,2,41,"Failed"
"[[ESPN]].com news services Six months ago, Scottie Pippen [[issued]] a  [[quot]];This is probably it for me quot; declaration, that last season was looking more and more [[like]] his last in an NBA uniform.","[[yahoo]].com news services Six months ago, Scottie Pippen [[typed]] a  [[blog]];This is probably it for me quot; declaration, that last season was looking more and more [[from]] his last in an NBA uniform.",0.3964371085166931,0.5518783926963806,1,1,1,162,"Failed"
"The Next Giant [[Leap]] Rendezvous quot; for the docking techniques he [[developed]] while at MIT earning his PhD in astronautics. Lessig: [[Technology]] over ideology!","The Next Giant [[space]] Rendezvous quot; for the docking techniques he [[observed]] while at MIT earning his PhD in astronautics. Lessig: [[thought]] over ideology!",0.19727462530136108,0.3118360638618469,3,3,3,82,"Failed"
"[[Two]] Britons shot dead near death railway bridge (AFP) [[AFP]] - Two Britons were shot dead by unknown [[gunmen]] [[near]] the famous Bridge over the River Kwai in western [[Thailand]], police [[said]].","[[one]] Britons shot dead near death railway bridge (AFP) [[twenty]] - Two Britons were shot dead by unknown [[shooters]] [[at]] the famous Bridge over the River Kwai in western [[thailand]], police [[arrived]].",0.30058884620666504,0.31537580490112305,0,0,0,100,"Failed"
"[[Novell]] launches Linux for desktop computers Novell, one of the popular names in the [[open-source]] community, has launched Linux Desktop 9 OS for [[enterprise]] computer systems today for lower deployment and [[management]] prices.","[[software]] launches Linux for desktop computers Novell, one of the popular names in the [[software]] community, has launched Linux Desktop 9 OS for [[home]] computer systems today for lower deployment and [[lowered]] prices.",0.21603870391845703,0.22363144159317017,3,3,3,60,"Failed"
"Broncos DT Elliss [[Out]] for the Season  ENGLEWOOD, Colo. (Sports [[Network]]) - Veteran [[defensive]]  tackle Luther Elliss of the Denver Broncos will miss the  [[remainder]] of the season because of a herniated disk in his  lower back.","Broncos DT Elliss [[is]] for the Season  ENGLEWOOD, Colo. (Sports [[field]]) - Veteran [[defense]]  tackle Luther Elliss of the Denver Broncos will miss the  [[middle]] of the season because of a herniated disk in his  lower back.",0.42317283153533936,0.4382125735282898,1,1,1,88,"Failed"
"Kmart to Sell [[18]] Stores to [[Home]] [[Depot]]  NEW YORK (Reuters) - Retailer Kmart Holdings Corp. &[[lt]];[[A]] [[HREF]]=""[[http]]://[[www]].[[investor]].reuters.com/FullQuote.aspx?ticker=KMRT.O target=/stocks/quickinfo/fullquote""&gt;KMRT.O&lt;/A&gt;  on Monday said it finalized a deal to sell 18 of its stores to  Home Depot Inc. &lt;[[A]] HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HD.N target=/stocks/quickinfo/fullquote""&gt;HD.N&lt;/A&gt; for \$271 million.","Kmart to Sell [[two]] Stores to [[hardware]] [[store]]  NEW YORK (Reuters) - Retailer Kmart Holdings Corp. &[[shell]];[[a]] [[client]]=""[[email]]://[[source]].[[business]].reuters.com/FullQuote.aspx?ticker=KMRT.O target=/stocks/quickinfo/fullquote""&gt;KMRT.O&lt;/A&gt;  on Monday said it finalized a deal to sell 18 of its stores to  Home Depot Inc. &lt;[[b]] HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HD.N target=/stocks/quickinfo/fullquote""&gt;HD.N&lt;/A&gt; for \$271 million.",0.26889801025390625,0.3015943169593811,2,2,2,347,"Failed"
