"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt [[extends]] third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt [[gallop]] third-party war risk [[indemnity]] SINGAPORE : The government is extending third-party war risk [[indemnity]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.2762451767921448,0.6478608846664429,2,0,2,197,"Successful"
"[[Mills]] [[Grabs]] \$1B Portfolio; Taubman Likely to [[Lose]] Contracts [[Mills]] Corp. agreed to [[purchase]] a 50 [[percent]] [[interest]] in [[nine]] [[malls]] owned by [[General]] [[Motors]] Asset Management Corp. for just over \$1 [[billion]], creating a [[new]] [[joint]] [[venture]] between the groups. The [[deal]] will extend ...","[[grind]] [[snap]] \$1B Portfolio; Taubman Likely to [[suffer]] Contracts [[factory]] Corp. agreed to [[leverage]] a 50 [[pct]] [[sake]] in [[ennead]] [[promenade]] owned by [[universal]] [[drive]] Asset Management Corp. for just over \$1 [[1000000000]], creating a [[raw]] [[join]] [[adventure]] between the groups. The [[stack]] will extend ...",0.27719563245773315,0.5988409519195557,2,3,2,424,"Successful"
"[[Sun]] to [[shine]] [[spotlight]] on [[new]] [[operating]] [[system]], Solaris [[10]] [[Sun]] Microsystems SUNW is [[expected]] to [[release]] a [[new]] [[version]] of its [[operating]] [[system]] [[today]] - a [[big]] [[part]] of the struggling [[computer]] [[maker]] #39;s plan to [[save]] itself.","[[Sunday]] to [[strike]] [[foreground]] on [[unexampled]] [[mesh]] [[arrangement]], Solaris [[tenner]] [[Sunday]] Microsystems SUNW is [[bear]] to [[button]] a [[newfangled]] [[reading]] of its [[mesh]] [[organization]] [[now]] - a [[braggart]] [[percentage]] of the struggling [[figurer]] [[manufacturer]] #39;s plan to [[relieve]] itself.",0.21664756536483765,0.5503740310668945,3,3,3,541,"Failed"
"[[Fed]] [[Cup]] all [[tied]] up FRANCE #39;[[S]] Russian-born Tatiana Golovin [[left]] the [[Fed]] [[Cup]] [[final]] [[hanging]] in the [[balance]] today as she beat [[Russia]] #39;s [[US]] [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to [[level]] the [[tie]] at 2-2 and take it to the final doubles match.","[[fertilize]] [[transfuse]] all [[fastened]] up FRANCE #39;[[entropy]] Russian-born Tatiana Golovin [[give]] the [[Federal]] [[cup]] [[terminal]] [[flow]] in the [[Balance]] today as she beat [[USSR]] #39;s [[uranium]] [[surface]] [[booster]] Svetlana Kuznetsova 6-4, 6-1 to [[tied]] the [[bond]] at 2-2 and take it to the final doubles match.",0.3785064220428467,0.4661535620689392,1,1,1,758,"Failed"
"Nokia [[announces]] [[Near]] [[Field]] [[Communication]] [[products]] With the Nokia NFC ([[Near]] [[Field]] Communication) [[shell]] on their [[phone]], [[consumers]] will be able to [[access]] a [[variety]] of [[services]] and [[exchange]] information with a simple [[touch]] gesture.","Nokia [[harbinger]] [[good]] [[battleground]] [[communicating]] [[merchandise]] With the Nokia NFC ([[about]] [[sphere]] Communication) [[cuticle]] on their [[telephone]], [[consumer]] will be able to [[admission]] a [[form]] of [[serve]] and [[substitute]] information with a simple [[equal]] gesture.",0.21920883655548096,0.24301916360855103,3,3,3,417,"Failed"
"[[Today]] in [[Athens]] Leontien Zijlaard-van Moorsel of the [[Netherlands]] wipes a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #39;s road [[cycling]] [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] Centre in [[Athens]] on [[Wednesday]]. ","[[nowadays]] in [[Athinai]] Leontien Zijlaard-van Moorsel of the [[Holland]] wipes a [[buck]] after [[acquire]] the [[amber]] [[decoration]] in the [[char]] #39;s road [[motorcycle]] [[private]] [[sentence]] [[tryout]] at the Vouliagmeni [[Olympian]] Centre in [[Athinai]] on [[Wed]]. ",0.37698572874069214,0.4362559914588928,1,1,1,230,"Failed"
"[[President]] Hu [[congratulates]] Sihamoni on [[becoming]] king of Cambodia Chinese [[President]] Hu Jintao sent a [[message]] to Norodom Sihamoni on Thursday to congratulate him on his election as the [[king]] of Cambodia.","[[chair]] Hu [[felicitate]] Sihamoni on [[get]] king of Cambodia Chinese [[prexy]] Hu Jintao sent a [[content]] to Norodom Sihamoni on Thursday to congratulate him on his election as the [[baron]] of Cambodia.",0.3016444444656372,0.31326138973236084,0,0,0,167,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.85254967212677,0.85254967212677,2,2,3,1,"Skipped"
"[[Afghans]] [[rocky]] [[road]] to historic [[elections]] KALAKAN, Afghanistan There were toothless old [[men]], turbaned and gray-bearded, and young [[men]] not yet old [[enough]] to [[shave]]. There were [[mullahs]] and [[mujahedeen]], and the presidential [[candidate]] #39;s 3-year-old [[son]].","[[Afghan]] [[rough]] [[route]] to historic [[election]] KALAKAN, Afghanistan There were toothless old [[world]], turbaned and gray-bearded, and young [[gentleman]] not yet old [[plenty]] to [[trim]]. There were [[Mollah]] and [[mujahadeen]], and the presidential [[prospect]] #39;s 3-year-old [[boy]].",0.30201250314712524,0.3282774090766907,0,0,0,272,"Failed"
"[[Oil]] [[Prices]] [[Set]] a [[New]] [[Record]] Above \$50  SINGAPORE (Reuters) - [[Oil]] prices set a [[new]] [[record]] above \$50  a [[barrel]] on Tuesday as a prolonged U.[[S]]. production outage  [[following]] Hurricane Ivan attracted [[fresh]] speculative buying.","[[petroleum]] [[toll]] [[typeset]] a [[raw]] [[disk]] Above \$50  SINGAPORE (Reuters) - [[petroleum]] prices set a [[unexampled]] [[disk]] above \$50  a [[drum]] on Tuesday as a prolonged U.[[entropy]]. production outage  [[espouse]] Hurricane Ivan attracted [[smart]] speculative buying.",0.26649755239486694,0.624557614326477,2,3,2,494,"Successful"
