original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[insuranace]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[AirlCines]] group.",2
"[[Nokia]] announces Near Field [[Communication]] products [[With]] the [[Nokia]] [[NFC]] ([[Near]] [[Field]] [[Communication]]) [[shell]] on their [[phone]], [[consumers]] will be [[able]] to [[access]] a [[variety]] of [[services]] and [[exchange]] [[information]] with a simple [[touch]] gesture.","[[okia]] announces Near Field [[CommunicatioX]] products [[WAth]] the [[NLkia]] [[NSFC]] ([[Nedr]] [[Filed]] [[Communicaiton]]) [[shdell]] on their [[pnone]], [[consumer]] will be [[abel]] to [[acess]] a [[fariety]] of [[ervices]] and [[exhcange]] [[inOformation]] with a simple [[toIch]] gesture.",3
[[President]] Hu [[congratulates]] [[Sihamoni]] on becoming [[king]] of [[Cambodia]] Chinese [[President]] [[Hu]] [[Jintao]] [[sent]] a message to [[Norodom]] [[Sihamoni]] on Thursday to congratulate him on his election as the king of [[Cambodia]].,[[Pesident]] Hu [[congratulwtes]] [[Sihamonl]] on becoming [[knig]] of [[Camboia]] Chinese [[Presiednt]] [[u]] [[Jintoa]] [[seYt]] a message to [[NorHodom]] [[SiOamoni]] on Thursday to congratulate him on his election as the king of [[Cmbodia]].,0
"[[Afghans]] [[rocky]] [[road]] to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] There were toothless [[old]] [[men]], [[turbaned]] and gray-bearded, and [[young]] [[men]] not [[yet]] [[old]] [[enough]] to shave. [[There]] were [[mullahs]] and [[mujahedeen]], and the presidential candidate #39;s 3-year-old son.","[[Afgxhans]] [[zrocky]] [[rad]] to [[xistoric]] [[eletcions]] KALAKAN, [[Afghanitsan]] There were toothless [[ol]] [[meL]], [[turQbaned]] and gray-bearded, and [[yuong]] [[Jen]] not [[yte]] [[ol]] [[enoRgh]] to shave. [[hTere]] were [[mulahs]] and [[mujaedeen]], and the presidential candidate #39;s 3-year-old son.",0
[[Sun's]] [[Looking]] [[Glass]] [[Provides]] [[3D]] View [[Developers]] [[get]] early [[code]] for new operating [[system]] '[[skin']] [[still]] being [[crafted]].,[[Sunx's]] [[LZoking]] [[Gass]] [[Provieds]] [[D3]] View [[DeveloAers]] [[et]] early [[cod]] for new operating [[systeJ]] '[[ski']] [[stiLll]] being [[crfted]].,3
"US suspends [[helicopter]] flights after Japan crash ([[AFP]]) [[AFP]] - The United States suspended [[flights]] of [[CH-53D]] military [[helicopters]] in [[Japan]], bowing to [[protests]] over a [[crash]] in an [[Okinawa]] university campus.","US suspends [[helicoptex]] flights after Japan crash ([[APF]]) [[AFnP]] - The United States suspended [[fligths]] of [[CHa53D]] military [[elicopters]] in [[JapaMn]], bowing to [[protets]] over a [[crasS]] in an [[kOinawa]] university campus.",0
"Anniversary [[remembered]] on [[game]] day When the attacks came on Sept. [[11]], 2001, Tom O'Brien, if only for a [[moment]], stopped being Boston College's [[coach]]. On that day, as the [[World]] Trade [[Center]] and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary [[remebmered]] on [[gmame]] day When the attacks came on Sept. [[E1]], 2001, Tom O'Brien, if only for a [[mmoent]], stopped being Boston College's [[caoch]]. On that day, as the [[WorUd]] Trade [[VCenter]] and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"Viacom, [[Disney]] pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications [[Commission]] over claims their children #39;s [[cable]] television networks violated advertising restrictions, the FCC said Thursday.","Viacom, [[DiVney]] pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications [[Cmomission]] over claims their children #39;s [[cale]] television networks violated advertising restrictions, the FCC said Thursday.",2
[[Pfizer]] [[Sends]] Out Update On [[Drug]] [[Bextra]] Pfizer [[Inc]]. [[said]] Friday that it will [[provide]] [[health-care]] [[professionals]] with additional information about its Bextra [[arthritis]] drug and that it will [[conduct]] further [[studies]] to [[confirm]] the [[drug]] #[[39]];s [[long-term]] cardiovascular safety record.,[[PIizer]] [[Send]] Out Update On [[rug]] [[Bextrma]] Pfizer [[Icn]]. [[saJid]] Friday that it will [[Hrovide]] [[healh-care]] [[pDofessionals]] with additional information about its Bextra [[arthitis]] drug and that it will [[conJuct]] further [[tsudies]] to [[monfirm]] the [[drgu]] #[[3g]];s [[long-Eerm]] cardiovascular safety record.,2
"[[Restive]] [[Maldives]] [[eases]] [[curfew]] after [[rounding]] up [[dissidents]] ([[AFP]]) [[AFP]] - A [[curfew]] in the capital of the Maldives was eased but [[parliament]] sessions were put off indefinitely and [[emergency]] rule [[continued]] following last [[week's]] riots, officials and residents said.","[[Restiev]] [[Maldies]] [[easys]] [[curfeQw]] after [[roundiqng]] up [[dissidenSs]] ([[APF]]) [[AFcP]] - A [[ucrfew]] in the capital of the Maldives was eased but [[pavliament]] sessions were put off indefinitely and [[emergecny]] rule [[continude]] following last [[weMek's]] riots, officials and residents said.",0
