"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"#[[Tories]] #[[Labour]] #GE2017 #[[Conservatives]] [[Conservatives]] URL theresa_may: [[Since]] my [[very]] first day in 10DowningStreet [[I]]’ve [[made]] it my personal [[mission]] to [[fix]] our broken housing system. [[Doing]] [[so]] underpins [[so]] much of what this Government is… URL","#[[Tory]] #[[Laborers]] #GE2017 #[[Curator]] [[Governors]] URL theresa_may: [[Until]] my [[awfully]] first day in 10DowningStreet [[me]]’ve [[filed]] it my personal [[functions]] to [[honing]] our broken housing system. [[Exert]] [[too]] underpins [[too]] much of what this Government is… URL",0.0641016960144043,0.5010395050048828,0,1,0,381,"Successful"
"@USER @USER @USER @USER @USER Only people that own guns get a say on what to do about gun control.","@USER @USER @USER @USER @USER Only people that own guns get a say on what to do about gun control.",0.8848352432250977,0.8848352432250977,0,0,1,1,"Skipped"
"if i have to [[tolerate]] ur loud [[ass]] maga merch [[dont]] [[say]] [[shit]] about my [[nike]] anything [[kiss]] my [[ass]]","if i have to [[admit]] ur loud [[cul]] maga merch [[didnt]] [[mentioned]] [[freaking]] about my [[niki]] anything [[hug]] my [[spank]]",0.16277599334716797,0.5342540740966797,1,0,1,272,"Successful"
"@USER @USER @USER No he was not! He scary as hell thats what he is!","@USER @USER @USER No he was not! He scary as hell thats what he is!",0.8264028429985046,0.8264028429985046,1,1,0,1,"Skipped"
"@USER @USER @USER I’ll accept your framing if you accept that it’s perfectly legit for me to [[say]] Vox contributes meaningfully to Antifa violence and the [[internment]] of Uighur Muslims in China. Call it a [[deal]]","@USER @USER @USER I’ll accept your framing if you accept that it’s perfectly legit for me to [[avowed]] Vox contributes meaningfully to Antifa violence and the [[slammer]] of Uighur Muslims in China. Call it a [[manipulating]]",0.1105145812034607,0.5632492899894714,0,1,0,167,"Successful"
"#Loomer Rachel Rollins a Dem running for DA in Boston. She [[plans]] to decriminalize what she [[calls]] petty crimes (e.g. breaking and entering) she is [[running]] in a crowded field &amp; is being hailed by the media as the best candidate. [[Thanks]] for doing what “conservatives” refuse to do! URL","#Loomer Rachel Rollins a Dem running for DA in Boston. She [[schemes]] to decriminalize what she [[solicited]] petty crimes (e.g. breaking and entering) she is [[executes]] in a crowded field &amp; is being hailed by the media as the best candidate. [[Felicitations]] for doing what “conservatives” refuse to do! URL",0.15335798263549805,0.5073117017745972,0,1,0,196,"Successful"
"@USER Take a stand against all violence!  [[Talk]] to your ANTIFA friends.","@USER Take a stand against all violence!  [[Schmooze]] to your ANTIFA friends.",0.08968323469161987,0.7270256280899048,0,1,0,58,"Successful"
"@USER I'M SO FUCKING READY","@USER I'M SO FUCKING READY",0.7612665891647339,0.7612665891647339,1,1,0,1,"Skipped"
"@[[USER]] I am a survivor of sexual abuse. This [[woman]] is obviously [[lying]]. Believe me you remember every detail. It's [[so]] obvious these woman only come forward to [[hurt]] [[conservatives]]. But who they truly are hurting is innocent [[men]] and women who really have been abused. She should be [[ashamed]]!","@[[ABUSERS]] I am a survivor of sexual abuse. This [[giri]] is obviously [[falsehoods]]. Believe me you remember every detail. It's [[thus]] obvious these woman only come forward to [[injuries]] [[republicans]]. But who they truly are hurting is innocent [[muchachos]] and women who really have been abused. She should be [[humbled]]!",0.26656198501586914,0.5054112672805786,1,0,1,241,"Successful"
"@USER @USER @USER @USER Oh boo you sound so [[ignorant]] with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.","@USER @USER @USER @USER Oh boo you sound so [[uninformed]] with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.",0.4419406056404114,0.6900760531425476,1,0,1,66,"Successful"
"@USER @[[USER]] Her [[life]] is [[crappy]] [[because]] she is [[crappy]]. And she’s threatening to [[kill]] everyone. Another [[nut]] job...Listen up FBI!","@USER @[[USERNAME]] Her [[hayat]] is [[bad]] [[once]] she is [[soiled]]. And she’s threatening to [[fatalities]] everyone. Another [[topside]] job...Listen up FBI!",0.17646807432174683,0.5349429845809937,1,0,1,181,"Successful"
"@USER But honestly the cameras suck ass they're great if you don't zoom in","@USER But honestly the cameras suck ass they're great if you don't zoom in",0.7389422059059143,0.7389422059059143,1,1,0,1,"Skipped"
"@USER My divorce. Everyone says, We're not picking a side."" And then, they all totally do. Trials of [[life]] are [[great]] indicators about the realness of people. [[It]] sucks at first, but then the after is [[great]]. #EverybodyTalks""","@USER My divorce. Everyone says, We're not picking a side."" And then, they all totally do. Trials of [[inhabit]] are [[super]] indicators about the realness of people. [[He]] sucks at first, but then the after is [[gargantuan]]. #EverybodyTalks""",0.09027320146560669,0.5394242405891418,0,1,0,158,"Successful"
"@[[USER]] omg you are 💕","@[[ABUSERS]] omg you are 💕",0.04895830154418945,0.4453684687614441,0,0,0,30,"Failed"
"@USER You can't lump small l Liberal conservatives in with the far right nutbags.......","@USER You can't lump small l Liberal conservatives in with the far right nutbags.......",0.6995013952255249,0.6995013952255249,1,1,0,1,"Skipped"
