original_text,perturbed_text,label
HK democrats to take seats A new crop of Hong Kong democrats are due to be sworn in to the Legislative Council.,Hong Kong's Legislative Council will soon welcome a group of newly elected democrats.,0
"S Leone takes control of Freetown UN peacekeepers hand control of security in the Sierra Leone capital, Freetown, to local forces after the end of a brutal war.",Local forces in Sierra Leone take over security control of Freetown from UN peacekeepers following the conclusion of a violent conflict.,0
Orange tells customers to Talk Now European carrier Orange is rolling out its own Push To Talk service ahead of efforts to create a standardized PTT system. European mobile carrier Orange has announced ,that it is launching its own Push To Talk service before a standardized PTT system is established.,3
"Thaksin in the Firing Line After Massacre BANGKOK/JEDDAH, 29 October 2004 - A bomb ripped through two bars in southern Thailand yesterday, killing two people and wounding about 20, in what could be the first reaction to the deaths of 78 Muslims in police custody this week.","Thaksin is under scrutiny following a massacre as a bomb exploded in two bars in southern Thailand, resulting in two deaths and approximately 20 injuries. This could be a response to the recent deaths of 78 Muslims in police custody.",0
"White House May Pick Bernanke The White House, seeking a strong economic team to craft and sell key features of its second-term agenda, is considering tapping Federal Reserve Board member Ben S. Bernanke to serve as chairman ","The White House is considering appointing Ben S. Bernanke, a member of the Federal Reserve Board, as chairman to lead its economic team for its second-term agenda.",2
"Dollar hits new low against euro The US Treasury Secretary pledges commitment to a strong dollar, as the currency hits another record low against euro.","The dollar has reached a new low against the euro, prompting the US Treasury Secretary to promise a strong dollar.",2
Britons still prefer fish n'chips (AFP) AFP - Traditional fish-and-chips along with cherished pub grub remain the dishes of choice for Britons outstripping Chinese or Indian take-aways.,"Fish and chips and pub food are still the top choices for Britons, surpassing Chinese and Indian takeout.",0
"Cingular Sees Merger Savings Above Plan Cingular Wireless, the nation #39;s largest wireless carrier following the company #39;s merger with AT amp;T Wireless, said Wednesday that it has completed integration activities ahead of schedule and now expects merger-related cost savings to exceed prior estimates ","Cingular Wireless, the biggest wireless carrier in the US after merging with AT&T Wireless, has finished integration activities earlier than expected and anticipates cost savings from the merger to surpass previous projections.",2
"Chips are down in tech world EUROPE #39;s biggest chipmaker, Infineon, rocked the technology world today as profits fell e100m (70m) short of analysts #39; expectations.","Infineon, the largest chipmaker in Europe, disappointed analysts as profits fell €100m ($70m) below expectations.",2
Flight Diverted to UK After Bomb Threat A Singapore Airlines passenger jet from Frankfurt to New York was diverted to Manchester Airport in northern England on Monday after a bomb threat that police said may have been a hoax.,A Singapore Airlines flight from Frankfurt to New York was diverted to Manchester Airport in northern England on Monday due to a bomb threat that police believe may have been a hoax.,0
"Enter your e-mail: If you can #39;t beat Google, make it better--that seems to be the lesson of A9.com, Amazon #39;s intriguing new search site. For Web searches, A9 simply gives you Google #39;s results, but it does a lot more--for instance ","To improve upon Google, A9.com, Amazon's new search site, provides Google's search results while also offering additional features. Enter your email to access the site.",3
"Board with Mukesh: Reliance Mumbai, Nov. 26: Mukesh Ambani apparently commands the full support of the board on all recent decisions, including the controversial one that elevated him to the final authority in the group.","The board of Reliance Mumbai fully supports Mukesh Ambani's recent decisions, including the controversial one that made him the ultimate authority in the group.",2
Rugby: Kiwis earn draw New Zealand hold Australia 16-16 in the first game of the 2004 Tri-Nations series.,New Zealand and Australia tied 16-16 in the opening match of the 2004 Tri-Nations rugby series.,0
Cox Communications forms committee to advise on buyout Cox Communications Inc. #39;s board of directors has formed a special committee of independent directors to consider Cox Enterprises Inc. #39;s proposal to take the company private in a \$8 billion stock buyout. ,Cox Communications has created a committee of independent directors to evaluate Cox Enterprises' offer to purchase the company for $8 billion in stocks.,2
"Scientist Ramanna mourned BOMBAY: Raja Ramanna, the scientist who pioneered India #39;s drive to become a nuclear power, died yesterday in Bombay at age 79.","Raja Ramanna, the scientist who led India's nuclear program, passed away at the age of 79 in Bombay, causing grief among the scientific community.",0
"Miracle in mud! REAL: Philippine rescuers were yesterday frantically digging for more survivors after four people, including a toddler, were pulled alive from a building crushed by a landslide 11 days ago.","Rescuers in the Philippines are searching for more survivors after four people, including a toddler, were rescued from a building that was crushed by a landslide 11 days ago.",0
Big Dig no roadblock Huge cost overruns. Tunnel leaks. Multimillion-dollar lawsuits. Big trouble for the companies managing Boston's Big Dig? Not really.,"Despite the Big Dig facing issues such as costly overruns, tunnel leaks, and lawsuits, the companies managing it are not significantly affected.",2
"Study: Wrecks Jump 3 Days After Terrorism Fatal traffic accidents increase sharply in Israel on the third day after a terrorist attack, and researchers are searching for an explanation why.","Research shows that fatal traffic accidents in Israel rise significantly three days after a terrorist attack, and the cause is being investigated.",3
"Web domains approved for Posties, travel The Internet Corporation for Assigned Names and Numbers (ICANN) has approved two new sponsored Internet domains, .post and .travel, specifically for the post and travel industries.","ICANN has approved two new sponsored Internet domains, .post and .travel, for the post and travel industries.",3
"Citrix buying VPN company Net6 for \$50 million BOSTON - Citrix Systems is buying Net6, a privately-held maker of SSL (Secure Socket Layer) VPN (Virtual Private Network) technology, for \$50 million cash, Citrix said Tuesday.","Citrix Systems is acquiring Net6, a private company that produces SSL VPN technology, for $50 million in cash.",3
"Microsoft/Sun documents If you #39;re up for some light reading, see the links below for the underlying documents that formed Microsoft #39;s April settlement with Sun Microsystems.","For those interested, the documents that led to Microsoft's settlement with Sun Microsystems in April can be found in the links provided.",3
"Cloud rat arrives at London Zoo London zoo celebrates the birth of a Panay cloud rat, a very rare tree-living rodent from the Philippines.","London Zoo welcomes the birth of a rare tree-dwelling rodent, the Panay cloud rat, from the Philippines.",3
"Hurricane Ivan again growing in strength, Caribbean islands &lt;b&gt;...&lt;/b&gt; Islanders scrambled to put up storm shutters and buy water as hurricane Ivan churned toward Barbados just days after hurricane Frances tore across the Caribbean and through Florida.","As Hurricane Ivan gained strength, residents of Caribbean islands rushed to prepare by installing storm shutters and purchasing water, following closely on the heels of Hurricane Frances which recently hit the region and Florida.",0
Sex Toy Shuts Down Australian Airport A scare triggered by a vibrating sex toy shut down a major Australian regional airport for almost an hour on Monday. The vibrating object was discovered on Monday morning inside a garbage can at the terminal ,An Australian airport was closed for nearly an hour due to a vibrating sex toy found in a garbage can.,0
"Copy, rip, or import? If you #39;ve been using the new Windows Media Player 10 for Windows XP, you may have noticed that Microsoft shifted from some of the more formal language that it used in Windows Media Player 9 --  quot;Copy from CD quot; and  quot;Copy to CD quot; -- to the more casual terms ","When using Windows Media Player 10 for Windows XP, you may have noticed that Microsoft changed the language from formal to casual, replacing ""Copy from CD"" and ""Copy to CD"" with different terms.",3
U.S. Says N.Korea Miscalculating by Stalling on Talks  TOKYO (Reuters) - The United States accused North Korea  Tuesday of miscalculation by refusing to resume talks on its  nuclear programs before the U.S. presidential election while  China renewed a diplomatic drive to end the stalemate.,"The US claims that North Korea is making a mistake by delaying talks on its nuclear programs until after the US presidential election, while China is attempting to resolve the issue diplomatically.",0
"Amazon Burning Makes Brazil a Leading Polluter &lt;p&gt;&lt;/p&gt;&lt;p&gt; By Axel Bugge&lt;/p&gt;&lt;p&gt; BRASILIA, Brazil (Reuters) - Burning of the Amazon andother forests accounts for three quarters of Brazil'sgreenhouse gas emissions and has made the country one of theworld's leading polluters, a long-delayed government reportshowed on Wednesday.&lt;/p&gt;","A government report revealed that Brazil has become a top polluter due to the burning of the Amazon and other forests, which accounts for 75% of the country's greenhouse gas emissions.",0
